SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq100K.5
0,0,0,1,0,0,0,0,0,1,0,1,1,0,398.44
0,1,0,1,0,0,1,0,0,1,1,0,1,1,393.25
0,0,1,1,1,0,1,0,1,1,1,0,1,0,388.17
0,0,0,1,1,0,1,0,1,1,0,0,1,0,391.35
0,0,1,0,0,0,0,0,1,0,1,0,1,1,392.44
0,0,1,0,1,0,1,0,0,0,0,0,0,1,388.05
0,1,1,1,1,1,1,0,1,1,0,1,1,1,406.55
1,1,0,1,0,0,0,1,0,1,0,1,0,0,401.85
1,0,1,1,0,0,0,1,1,1,1,0,0,0,392.65
1,1,0,0,1,1,1,0,0,0,0,1,1,0,397.86
1,0,0,1,1,1,1,0,1,1,1,1,0,1,395.48
0,0,0,0,0,1,0,1,0,0,0,0,0,1,388.42
1,1,1,1,1,1,1,1,1,1,1,0,0,1,393.38
0,0,1,1,0,0,1,1,0,0,1,1,0,0,398.54
1,1,1,0,1,0,1,1,1,1,0,1,0,0,400.67
0,0,0,1,1,0,0,0,0,1,1,0,1,0,389.97
1,1,0,0,1,0,0,0,1,0,0,1,1,0,398.86
0,1,0,1,1,0,0,0,0,0,0,1,1,0,397.1
1,0,0,1,0,1,0,0,1,1,1,1,1,0,404.09
1,1,1,1,1,1,0,0,1,1,1,0,0,0,396.73
1,0,1,0,1,1,0,0,1,1,1,1,0,1,403.04
0,0,1,1,0,1,0,1,0,0,1,1,0,1,398.27
0,1,0,1,0,0,1,1,1,1,1,0,1,1,393.73
1,0,0,1,1,1,1,0,1,0,0,1,1,0,397.89
1,0,0,1,1,0,1,0,1,1,0,1,1,0,396.46
0,0,1,1,0,0,0,0,1,1,0,0,1,0,388.11
0,0,0,0,1,1,1,1,1,0,1,0,1,0,393.97
1,0,0,1,1,1,1,1,1,0,1,0,0,1,386.87
1,1,0,0,0,1,0,0,1,0,0,1,0,0,399.12
1,0,1,1,0,0,0,0,0,0,1,1,0,0,396.63
1,0,1,0,1,0,0,0,1,0,0,1,0,0,397.4
0,1,1,1,1,1,0,1,1,0,0,0,0,0,389.64
0,1,0,0,0,1,0,0,1,0,1,1,0,0,408.85
1,0,0,0,1,1,0,0,0,1,1,0,0,1,391.92
1,1,0,1,1,0,0,1,1,0,0,1,0,0,403.65
1,0,1,1,0,1,0,1,1,1,1,0,1,1,398.28
0,1,1,0,1,1,1,0,0,1,1,0,0,1,398.7
1,1,0,1,0,0,1,1,0,0,1,1,1,0,398.05
0,1,0,1,1,0,1,1,0,1,1,0,1,0,391.59
1,0,0,1,1,0,1,1,0,1,0,1,0,1,398.16
1,1,1,0,1,0,0,0,1,0,0,0,0,1,388.07
0,0,1,1,0,0,1,0,0,1,0,1,0,1,398.93
0,1,1,0,0,0,1,1,0,0,1,0,0,1,391.42
0,1,1,1,1,1,0,0,0,1,1,1,0,1,401.98
1,0,1,0,0,0,1,0,1,0,0,1,0,0,397.22
0,0,1,0,0,1,1,0,1,0,0,0,1,1,392.55
1,1,1,0,0,0,0,1,0,0,1,1,1,1,398.71
0,0,0,1,0,1,1,1,1,1,0,0,0,0,390.73
0,1,1,0,0,0,0,0,1,0,1,1,1,1,401.06
0,1,0,0,0,0,0,1,0,1,1,1,1,0,401.66
0,1,1,1,1,0,1,1,1,1,1,0,0,0,392.56
0,0,0,1,1,0,0,0,0,1,1,1,0,1,403.1
1,0,1,0,0,1,0,0,0,0,0,0,1,1,389.83
1,0,1,0,1,1,0,0,1,1,0,1,0,0,399.78
0,1,1,1,0,1,0,0,0,0,0,1,0,0,398.29
1,0,1,1,0,1,0,1,0,0,0,0,1,1,390.65
0,1,1,1,1,0,0,1,1,1,1,0,0,0,391.66
0,1,0,1,1,0,1,0,0,1,1,0,1,0,390.99
0,0,1,1,1,0,0,1,1,1,1,0,1,0,393.01
1,0,1,1,1,1,1,1,0,1,1,0,1,0,394.91
0,0,1,1,1,0,1,0,0,1,1,1,0,1,404.91
1,1,0,0,0,0,1,1,1,1,1,0,1,0,394.97
0,1,1,1,0,1,0,0,0,0,1,1,1,0,400.01
1,1,1,1,0,1,1,1,1,1,1,0,1,1,389.39
1,1,1,0,0,0,1,0,0,1,1,0,1,1,390.94
1,0,0,0,0,1,1,1,1,1,0,1,1,0,397.27
1,1,0,1,1,0,1,1,0,1,0,1,1,1,395.17
1,0,1,1,1,1,0,0,1,0,1,0,0,1,392.89
0,0,1,1,0,0,1,0,0,0,1,0,1,0,389.87
1,1,0,1,0,1,0,1,0,1,0,0,0,0,390.39
1,1,1,0,0,1,1,0,1,0,0,1,0,0,397.46
1,1,0,1,0,1,1,0,1,1,0,1,0,1,406.49
1,0,1,0,1,0,1,1,0,1,0,1,1,0,396.31
1,0,1,1,0,1,0,0,1,0,1,1,0,1,397.89
1,0,0,0,1,0,0,1,0,1,1,0,1,1,398.56
1,0,0,1,0,0,0,1,1,1,1,0,0,0,391.94
1,0,1,0,0,1,1,1,1,1,1,0,0,1,395.66
1,0,0,0,0,1,0,1,0,0,0,0,1,0,388.96
0,1,1,1,1,1,0,0,1,1,0,0,1,1,397.3
1,1,1,1,1,1,0,1,0,0,0,1,1,0,400.75
1,1,1,1,0,0,1,0,1,1,0,0,1,0,389.01
0,1,0,1,0,0,1,0,1,0,0,1,0,0,398.98
0,1,0,1,1,0,1,0,1,1,1,0,0,1,396.87
0,0,1,1,0,1,0,1,1,0,0,0,0,0,389.29
0,0,1,1,0,1,0,1,0,1,0,0,1,0,392.68
