Index,<$Training_time,<$Testing_time,<$Accuracy
0,2.669252634,0.020715475,91.31652661
1,4.063242197,0.022540092,91.03641457
2,2.765892267,0.022143364,91.31652661
3,3.919233799,0.021010399,91.03641457
4,2.693673134,0.021471739,89.63585434
5,4.138039112,0.021665096,88.79551821
6,2.787786961,0.025796175,89.63585434
7,3.941492558,0.021822214,88.79551821
8,2.759797096,0.022128582,89.91596639
9,4.281918526,0.022513151,90.19607843
10,2.834221601,0.025841713,89.91596639
11,3.952555418,0.026038408,90.19607843
12,2.68411541,0.021626234,88.51540616
13,3.896858692,0.0207479,88.23529412
14,2.876430988,0.021492958,88.51540616
15,4.033198595,0.020710707,88.23529412
16,3.975220203,0.021514416,90.75630252
17,6.649286032,0.02084446,90.47619048
18,4.169143677,0.020261288,90.75630252
19,6.486205816,0.022150755,90.47619048
20,4.149634361,0.02136755,88.79551821
21,6.615285158,0.026808262,89.3557423
22,4.021565199,0.02089262,88.79551821
23,7.001466036,0.022782087,89.3557423
24,3.99656558,0.02101922,89.07563025
25,6.462379217,0.022947073,89.3557423
26,4.103984356,0.02192688,89.07563025
27,6.470291615,0.021536589,89.3557423
28,3.987104654,0.022451878,88.51540616
29,6.72181797,0.022365808,88.23529412
30,3.974685431,0.021313429,88.51540616
31,6.685898781,0.020900488,88.23529412
32,2.705128431,0.023928642,90.75630252
33,3.888287067,0.02192831,88.79551821
34,2.625963926,0.021230459,90.75630252
35,4.241129637,0.024428368,88.79551821
36,2.817940235,0.021199465,89.3557423
37,3.891376495,0.021740913,89.07563025
38,2.593616724,0.021658659,89.3557423
39,3.842682362,0.021631718,89.07563025
40,2.702833652,0.021856546,90.19607843
41,3.902243137,0.022053957,89.91596639
42,2.565380573,0.020639658,90.19607843
43,3.781382799,0.021725893,89.91596639
44,2.570058584,0.0236516,89.63585434
45,3.960870028,0.021142244,88.79551821
46,2.663688898,0.020546436,89.63585434
47,3.841335535,0.02081728,88.79551821
48,3.905497551,0.020796776,89.63585434
49,6.607583046,0.020848513,91.03641457
50,3.848889589,0.023647308,89.63585434
51,6.8936584,0.020287037,91.03641457
52,4.10554719,0.021305799,89.63585434
53,6.340787172,0.021058559,89.3557423
54,4.000383377,0.020781755,89.63585434
55,6.576490879,0.020812273,89.3557423
56,3.968784571,0.023980856,89.63585434
57,6.7263906,0.024963617,90.19607843
58,4.106022596,0.021240473,89.63585434
59,6.691120386,0.020701647,90.19607843
60,4.23069787,0.023445606,88.79551821
61,6.659638643,0.024388313,89.63585434
62,4.035391331,0.024128914,88.79551821
63,7.017689705,0.021607161,89.63585434
64,2.786808968,0.022283792,91.31652661
65,4.115644693,0.022210836,91.03641457
66,2.913466692,0.021866798,91.31652661
67,4.216799021,0.023299694,91.03641457
68,2.752250671,0.021509647,89.63585434
69,4.039745092,0.021159649,88.79551821
70,2.790804148,0.0222404,89.63585434
71,4.219522715,0.024642229,88.79551821
72,2.783820152,0.020973921,89.91596639
73,4.075658321,0.021778107,90.19607843
74,2.845010519,0.022706985,89.91596639
75,4.287478685,0.023367405,90.19607843
76,3.001137257,0.022563696,88.51540616
77,4.130767822,0.021387577,88.23529412
78,2.822364807,0.025300741,88.51540616
79,4.679636002,0.023296595,88.23529412
80,4.112292767,0.021674395,90.75630252
81,6.69946909,0.020798206,90.47619048
82,4.217686415,0.022693396,90.75630252
83,6.739176512,0.022309065,90.47619048
84,4.048628807,0.023337126,88.79551821
85,6.894680738,0.022053957,89.3557423
86,4.239789009,0.024263859,88.79551821
87,6.87394619,0.021505356,89.3557423
88,4.156295776,0.021709681,89.07563025
89,6.57639122,0.02047801,89.3557423
90,4.374286413,0.021498203,89.07563025
91,6.527682304,0.021790981,89.3557423
92,3.966647387,0.020632029,88.51540616
93,6.61504221,0.023445129,88.23529412
94,3.96780777,0.020867586,88.51540616
95,6.470363617,0.02321434,88.23529412
96,2.650062323,0.021811724,90.75630252
97,3.893329859,0.02085638,88.79551821
98,2.623436689,0.020531178,90.75630252
99,3.886698723,0.021117926,88.79551821
100,2.726294518,0.021034479,89.3557423
101,3.87776351,0.021805525,89.07563025
102,2.577610731,0.02527976,89.3557423
103,3.882277727,0.02161932,89.07563025
104,2.670420408,0.022221804,90.19607843
105,4.194666624,0.02264595,89.91596639
106,2.670185804,0.022475958,90.19607843
107,3.858795643,0.022338152,89.91596639
108,2.572088242,0.021913528,89.63585434
109,3.967965841,0.020954609,88.79551821
