Index, $Training_time, <$Testing_time, <$Accuracy
0,0.008918523788452148,0.00030922889709472656,73.0769230769
1,0.009181499481201172,0.0003521442413330078,73.0769230769
2,0.008635759353637695,0.0002899169921875,73.0769230769
3,0.0092010498046875,0.00032401084899902344,73.0769230769
4,0.00833272933959961,0.00026869773864746094,73.0769230769
5,0.009281396865844727,0.0003402233123779297,76.9230769231
6,0.008343696594238281,0.0002727508544921875,73.0769230769
7,0.00922393798828125,0.00026726722717285156,80.7692307692
8,0.00886678695678711,0.00024199485778808594,73.0769230769
9,0.009663581848144531,0.0002827644348144531,73.0769230769
10,0.008821964263916016,0.000286102294921875,73.0769230769
11,0.009844779968261719,0.00033783912658691406,76.9230769231
12,0.008798599243164062,0.00022268295288085938,73.0769230769
13,0.009629011154174805,0.0002894401550292969,76.9230769231
14,0.00882101058959961,0.0002257823944091797,73.0769230769
15,0.009819984436035156,0.0002639293670654297,84.6153846154
16,0.00796365737915039,0.0002319812774658203,73.0769230769
17,0.00861811637878418,0.0002627372741699219,73.0769230769
18,0.008156538009643555,0.0002338886260986328,73.0769230769
19,0.008710145950317383,0.00026679039001464844,84.6153846154
20,0.007985353469848633,0.0002300739288330078,73.0769230769
21,0.00859379768371582,0.00028014183044433594,73.0769230769
22,0.008296012878417969,0.0002484321594238281,73.0769230769
23,0.008753061294555664,0.0002644062042236328,84.6153846154
24,0.008278846740722656,0.0002536773681640625,73.0769230769
25,0.009212732315063477,0.00029087066650390625,73.0769230769
26,0.008528709411621094,0.00029754638671875,73.0769230769
27,0.009327888488769531,0.00033783912658691406,84.6153846154
28,0.008385419845581055,0.00026869773864746094,73.0769230769
29,0.009185075759887695,0.00028514862060546875,73.0769230769
30,0.008733272552490234,0.00024366378784179688,73.0769230769
31,0.009299039840698242,0.0002751350402832031,84.6153846154
32,0.008320331573486328,0.00025773048400878906,73.0769230769
33,0.009084224700927734,0.00026607513427734375,73.0769230769
34,0.008277654647827148,0.0002243518829345703,73.0769230769
35,0.009335041046142578,0.00029015541076660156,73.0769230769
36,0.008304119110107422,0.00021409988403320312,73.0769230769
37,0.009052515029907227,0.00026535987854003906,76.9230769231
38,0.008197784423828125,0.0002541542053222656,73.0769230769
39,0.009342193603515625,0.00029015541076660156,80.7692307692
40,0.008934259414672852,0.0002872943878173828,73.0769230769
41,0.009720087051391602,0.0002930164337158203,73.0769230769
42,0.008836984634399414,0.00029730796813964844,73.0769230769
43,0.010029315948486328,0.0003190040588378906,76.9230769231
44,0.008855581283569336,0.00025081634521484375,73.0769230769
45,0.009746313095092773,0.0002913475036621094,76.9230769231
46,0.008860111236572266,0.00023031234741210938,73.0769230769
47,0.01004171371459961,0.00026917457580566406,84.6153846154
48,0.00791621208190918,0.0002257823944091797,73.0769230769
