spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,<$solving_time_amazon_nano_2_7_10286
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005
1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.02
1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,5.0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01
1,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.01
1,1,0,1,0,0,0,0,0,0,0,0,0,0,5.0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.005
1,0,1,1,0,0,0,0,0,0,0,0,0,0,5.0
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.01
1,1,1,1,0,0,0,0,0,0,0,0,0,0,5.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.07
1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.02
1,1,0,0,1,0,0,0,0,0,0,0,0,0,5.0
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.065
1,0,1,0,1,0,0,0,0,0,0,0,0,0,5.0
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0.02
1,1,1,0,1,0,0,0,0,0,0,0,0,0,5.0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.065
1,0,0,1,1,0,0,0,0,0,0,0,0,0,5.0
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.02
1,1,0,1,1,0,0,0,0,0,0,0,0,0,5.0
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.065
1,0,1,1,1,0,0,0,0,0,0,0,0,0,5.0
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.02
1,1,1,1,1,0,0,0,0,0,0,0,0,0,5.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.02
1,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.03
1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.795
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.02
1,0,1,0,0,1,0,0,0,0,0,0,0,0,5.0
0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.025
1,1,1,0,0,1,0,0,0,0,0,0,0,0,1.71
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.02
1,0,0,1,0,1,0,0,0,0,0,0,0,0,2.84
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.04
1,1,0,1,0,1,0,0,0,0,0,0,0,0,2.19
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.01
1,0,1,1,0,1,0,0,0,0,0,0,0,0,2.81
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0.035
1,1,1,1,0,1,0,0,0,0,0,0,0,0,2.225
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.01
1,0,0,0,1,1,0,0,0,0,0,0,0,0,5.0
0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.04
1,1,0,0,1,1,0,0,0,0,0,0,0,0,5.0
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0.01
1,0,1,0,1,1,0,0,0,0,0,0,0,0,5.0
0,1,1,0,1,1,0,0,0,0,0,0,0,0,0.04
1,1,1,0,1,1,0,0,0,0,0,0,0,0,5.0
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.02
1,0,0,1,1,1,0,0,0,0,0,0,0,0,5.0
0,1,0,1,1,1,0,0,0,0,0,0,0,0,0.04
1,1,0,1,1,1,0,0,0,0,0,0,0,0,5.0
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.01
1,0,1,1,1,1,0,0,0,0,0,0,0,0,5.0
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0.04
1,1,1,1,1,1,0,0,0,0,0,0,0,0,5.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.015
1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.025
1,1,0,0,0,0,1,0,0,0,0,0,0,0,5.0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.01
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.215
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.04
1,1,1,0,0,0,1,0,0,0,0,0,0,0,5.0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.01
1,0,0,1,0,0,1,0,0,0,0,0,0,0,5.0
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0.015
1,1,0,1,0,0,1,0,0,0,0,0,0,0,5.0
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.015
1,0,1,1,0,0,1,0,0,0,0,0,0,0,4.465
0,1,1,1,0,0,1,0,0,0,0,0,0,0,0.005
1,1,1,1,0,0,1,0,0,0,0,0,0,0,2.92
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.04
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1.795
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.06
1,1,0,0,1,0,1,0,0,0,0,0,0,0,5.0
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.015
1,0,1,0,1,0,1,0,0,0,0,0,0,0,5.0
0,1,1,0,1,0,1,0,0,0,0,0,0,0,0.05
1,1,1,0,1,0,1,0,0,0,0,0,0,0,5.0
0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.0
1,0,0,1,1,0,1,0,0,0,0,0,0,0,1.165
0,1,0,1,1,0,1,0,0,0,0,0,0,0,0.01
1,1,0,1,1,0,1,0,0,0,0,0,0,0,1.33
0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0
1,0,1,1,1,0,1,0,0,0,0,0,0,0,5.0
0,1,1,1,1,0,1,0,0,0,0,0,0,0,0.025
1,1,1,1,1,0,1,0,0,0,0,0,0,0,4.96
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.015
1,0,0,0,0,1,1,0,0,0,0,0,0,0,5.0
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.04
1,1,0,0,0,1,1,0,0,0,0,0,0,0,5.0
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.015
1,0,1,0,0,1,1,0,0,0,0,0,0,0,5.0
0,1,1,0,0,1,1,0,0,0,0,0,0,0,0.04
1,1,1,0,0,1,1,0,0,0,0,0,0,0,5.0
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.015
1,0,0,1,0,1,1,0,0,0,0,0,0,0,5.0
0,1,0,1,0,1,1,0,0,0,0,0,0,0,0.025
1,1,0,1,0,1,1,0,0,0,0,0,0,0,5.0
0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.02
1,0,1,1,0,1,1,0,0,0,0,0,0,0,2.9
0,1,1,1,0,1,1,0,0,0,0,0,0,0,0.025
1,1,1,1,0,1,1,0,0,0,0,0,0,0,0.385
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.01
1,0,0,0,1,1,1,0,0,0,0,0,0,0,5.0
0,1,0,0,1,1,1,0,0,0,0,0,0,0,0.045
1,1,0,0,1,1,1,0,0,0,0,0,0,0,5.0
0,0,1,0,1,1,1,0,0,0,0,0,0,0,0.015
1,0,1,0,1,1,1,0,0,0,0,0,0,0,5.0
0,1,1,0,1,1,1,0,0,0,0,0,0,0,0.03
1,1,1,0,1,1,1,0,0,0,0,0,0,0,5.0
0,0,0,1,1,1,1,0,0,0,0,0,0,0,0.02
1,0,0,1,1,1,1,0,0,0,0,0,0,0,5.0
0,1,0,1,1,1,1,0,0,0,0,0,0,0,0.04
1,1,0,1,1,1,1,0,0,0,0,0,0,0,3.28
0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.02
1,0,1,1,1,1,1,0,0,0,0,0,0,0,5.0
0,1,1,1,1,1,1,0,0,0,0,0,0,0,0.025
1,1,1,1,1,1,1,0,0,0,0,0,0,0,5.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.025
1,1,0,0,0,0,0,1,0,0,0,0,0,0,5.0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,5.0
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.0
1,1,1,0,0,0,0,1,0,0,0,0,0,0,5.0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.01
1,0,0,1,0,0,0,1,0,0,0,0,0,0,5.0
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.005
1,1,0,1,0,0,0,1,0,0,0,0,0,0,5.0
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.005
1,0,1,1,0,0,0,1,0,0,0,0,0,0,5.005
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0.015
1,1,1,1,0,0,0,1,0,0,0,0,0,0,5.0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.06
1,0,0,0,1,0,0,1,0,0,0,0,0,0,5.0
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.02
1,1,0,0,1,0,0,1,0,0,0,0,0,0,5.0
0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.06
1,0,1,0,1,0,0,1,0,0,0,0,0,0,5.0
0,1,1,0,1,0,0,1,0,0,0,0,0,0,0.02
1,1,1,0,1,0,0,1,0,0,0,0,0,0,5.0
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.07
1,0,0,1,1,0,0,1,0,0,0,0,0,0,5.0
0,1,0,1,1,0,0,1,0,0,0,0,0,0,0.02
1,1,0,1,1,0,0,1,0,0,0,0,0,0,5.0
0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.07
1,0,1,1,1,0,0,1,0,0,0,0,0,0,5.0
0,1,1,1,1,0,0,1,0,0,0,0,0,0,0.02
1,1,1,1,1,0,0,1,0,0,0,0,0,0,4.99
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.02
1,0,0,0,0,1,0,1,0,0,0,0,0,0,5.0
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.03
1,1,0,0,0,1,0,1,0,0,0,0,0,0,5.0
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.02
1,0,1,0,0,1,0,1,0,0,0,0,0,0,5.0
0,1,1,0,0,1,0,1,0,0,0,0,0,0,0.03
1,1,1,0,0,1,0,1,0,0,0,0,0,0,4.94
0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.02
1,0,0,1,0,1,0,1,0,0,0,0,0,0,5.0
