 ,../Data/storm-obj1_feature6.csv,../Data/storm-obj1_feature7.csv,../Data/storm-obj1_feature8.csv,../Data/storm-obj1_feature9.csv
../Data/storm-obj1_feature6.csv,-1,3,9,279
../Data/storm-obj1_feature7.csv,269,-1,359,317
../Data/storm-obj1_feature8.csv,111,65,-1,287
../Data/storm-obj1_feature9.csv,100,318,221,-1
