SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandom.4
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.254879690392
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.0248191149251
0,1,0,1,0,1,0,1,0,0,1,0,1,1,0.224549890628
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0.418265185933
1,0,0,1,1,1,0,1,1,1,0,0,1,1,0.0185091704526
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.0317179875484
0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.219165404678
1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.351505973414
1,0,1,1,1,0,1,0,1,1,1,1,1,0,0.348897863032
1,0,0,1,1,1,0,1,1,0,1,1,0,0,0.387346458018
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0.270991081945
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0.340694935218
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0.187657748612
0,1,1,1,1,0,0,1,0,1,0,0,1,0,0.11017163049
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0.291603567222
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0.0185933030456
1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.302877334679
1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.351968702675
1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.490408884402
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.451834090527
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.295431600202
1,0,0,0,1,1,0,0,1,1,1,0,0,0,0.0224213360256
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.14975601548
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0.0982668685849
1,1,0,1,0,0,0,0,1,1,0,0,1,1,0.0198552919401
0,0,1,0,0,0,1,0,1,1,0,1,0,0,0.215463570587
0,1,1,0,1,1,0,1,1,0,0,1,1,0,0.511694430422
1,0,0,1,1,0,1,1,0,0,0,1,1,0,0.205325593135
