SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqbatch.1
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.0842533410808
1,0,0,0,1,1,0,0,1,1,1,0,0,0,0.0633352701917
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.0203370133643
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0.0464846019756
1,1,0,1,0,0,0,0,1,1,0,0,1,1,0.0662405578152
0,0,1,0,0,0,1,0,1,1,0,1,0,0,0.517141196979
0,1,1,0,1,1,0,1,1,0,0,1,1,0,0.384660081348
1,0,0,1,1,0,1,1,0,0,0,1,1,0,0.604880883207
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0.105752469494
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.0337013364323
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0.482858803021
1,0,1,1,1,1,0,1,0,0,0,1,0,0,0.490993608367
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.0947123765253
0,1,0,1,0,0,0,0,0,0,1,1,0,1,0.449738524114
1,1,0,1,1,1,0,1,0,0,0,0,0,0,0.0772806507844
0,1,1,0,0,0,1,0,0,1,1,1,0,0,0.435212085997
0,1,1,0,0,0,0,1,0,1,1,0,0,1,0.0923881464265
1,1,1,0,1,1,0,0,1,0,1,1,1,1,0.402091807089
0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.00406740267286
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.427077280651
1,0,0,0,1,0,1,1,0,0,1,0,1,0,0.055200464846
1,0,0,1,0,1,0,1,1,0,0,0,1,0,0.0749564206856
0,1,1,0,0,0,1,1,1,1,1,1,0,0,0.411969785009
1,0,1,1,0,0,0,0,1,1,1,0,1,0,0.0999418942475
0,0,0,1,1,0,0,1,0,1,1,0,1,1,0.0807669959326
1,1,1,1,1,0,0,1,1,1,0,0,1,0,0.0714700755375
1,0,1,0,0,1,1,1,1,0,1,1,0,1,0.388727484021
0,1,0,1,1,1,0,0,1,1,0,0,1,0,0.0778617083091
0,1,1,1,1,1,1,0,1,1,1,0,1,0,0.034282393957
0,1,0,1,0,0,1,1,1,1,1,0,0,0,0.0557815223707
1,0,1,1,1,0,1,0,1,1,0,1,1,0,0.471237652528
1,0,0,1,1,1,1,0,0,0,1,1,1,0,0.45671121441
1,0,0,1,0,0,1,1,0,0,0,0,0,1,0.112725159791
1,1,1,0,0,1,0,0,1,0,1,0,1,1,0.0604299825683
0,0,1,1,0,1,0,1,1,1,0,0,0,0,0.11504938989
1,0,0,0,1,1,0,1,0,1,1,1,1,0,0.503776873911
1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.0453224869262
0,0,1,0,1,1,1,0,0,0,1,0,0,0,0.034282393957
1,1,1,0,0,0,0,0,0,1,1,0,0,0,0.201626961069
0,0,0,0,0,1,1,1,1,0,0,1,1,0,0.409064497385
0,0,1,1,1,0,1,1,0,0,1,0,0,0,0.0575246949448
0,1,0,0,0,1,1,1,1,1,0,1,1,0,0.447414294015
0,0,0,1,0,0,0,0,0,1,1,0,0,1,0.0615920976177
1,0,0,0,1,1,0,1,0,1,1,1,0,0,0.503776873911
0,0,1,1,0,0,1,1,0,1,1,1,1,0,0.423009877978
0,1,1,1,1,0,1,0,0,0,1,0,1,0,0.0244044160372
0,0,0,1,0,0,0,0,0,1,0,1,1,0,0.440441603719
0,1,0,1,0,0,1,0,0,1,1,0,1,1,0.0790238233585
0,0,1,1,1,0,1,0,1,1,1,0,1,0,0.171411969785
0,0,0,1,1,0,1,0,1,1,0,0,1,0,0.0679837303893
0,0,1,0,0,0,0,0,1,0,1,0,1,1,0.0679837303893
0,0,1,0,1,0,1,0,0,0,0,0,0,1,0.0557815223707
0,1,1,1,1,1,1,0,1,1,0,1,1,1,0.421847762929
1,1,0,1,0,0,0,1,0,1,0,1,0,0,0.510749564207
1,0,1,1,0,0,0,1,1,1,1,0,0,0,0.0517141196979
1,1,0,0,1,1,1,0,0,0,0,1,1,0,0.435212085997
1,0,0,1,1,1,1,0,1,1,1,1,0,1,0.542707728065
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.129575828007
1,1,1,1,1,1,1,1,1,1,1,0,0,1,0.11504938989
0,0,1,1,0,0,1,1,0,0,1,1,0,0,0.373038930854
1,1,1,0,1,0,1,1,1,1,0,1,0,0,0.549680418361
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.253341080767
1,1,0,0,1,0,0,0,1,0,0,1,1,0,0.435793143521
0,1,0,1,1,0,0,0,0,0,0,1,1,0,0.395119116793
1,0,0,1,0,1,0,0,1,1,1,1,1,0,0.439279488669
1,1,1,1,1,1,0,0,1,1,1,0,0,0,0.148169668797
1,0,1,0,1,1,0,0,1,1,1,1,0,1,0.542707728065
0,0,1,1,0,1,0,1,0,0,1,1,0,1,0.366066240558
0,1,0,1,0,0,1,1,1,1,1,0,1,1,0.0162696106915
1,0,0,1,1,1,1,0,1,0,0,1,1,0,0.42940151075
1,0,0,1,1,0,1,0,1,1,0,1,1,0,0.557234166182
0,0,1,1,0,0,0,0,1,1,0,0,1,0,0.0906449738524
0,0,0,0,1,1,1,1,1,0,1,0,1,0,0.0639163277164
1,0,0,1,1,1,1,1,1,0,1,0,0,1,0.0703079604881
1,1,0,0,0,1,0,0,1,0,0,1,0,0,0.473561882626
1,0,1,1,0,0,0,0,0,0,1,1,0,0,0.439860546194
1,0,1,0,1,0,0,0,1,0,0,1,0,0,0.48518303312
0,1,1,1,1,1,0,1,1,0,0,0,0,0,0.0337013364323
0,1,0,0,0,1,0,0,1,0,1,1,0,0,0.384660081348
1,0,0,0,1,1,0,0,0,1,1,0,0,1,0.0708890180128
1,1,0,1,1,0,0,1,1,0,0,1,0,0,0.535153980244
1,0,1,1,0,1,0,1,1,1,1,0,1,1,0.0790238233585
0,1,1,0,1,1,1,0,0,1,1,0,0,1,0.0859965136549
1,1,0,1,0,0,1,1,0,0,1,1,1,0,0.455549099361
0,1,0,1,1,0,1,1,0,1,1,0,1,0,0.0615920976177
1,0,0,1,1,0,1,1,0,1,0,1,0,1,0.536316095293
1,1,1,0,1,0,0,0,1,0,0,0,0,1,0.0900639163277
0,0,1,1,0,0,1,0,0,1,0,1,0,1,0.441022661243
0,1,1,0,0,0,1,1,0,0,1,0,0,1,0.110400929692
0,1,1,1,1,1,0,0,0,1,1,1,0,1,0.429982568274
1,0,1,0,0,0,1,0,1,0,0,1,0,0,0.436955258571
0,0,1,0,0,1,1,0,1,0,0,0,1,1,0.076118535735
1,1,1,0,0,0,0,1,0,0,1,1,1,1,0.388146426496
0,0,0,1,0,1,1,1,1,1,0,0,0,0,0.108076699593
0,1,1,0,0,0,0,0,1,0,1,1,1,1,0.383497966299
0,1,0,0,0,0,0,1,0,1,1,1,1,0,0.453224869262
0,1,1,1,1,0,1,1,1,1,1,0,0,0,0.10517141197
0,0,0,1,1,0,0,0,0,1,1,1,0,1,0.505520046485
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0.0923881464265
1,0,1,0,1,1,0,0,1,1,0,1,0,0,0.527600232423
0,1,1,1,0,1,0,0,0,0,0,1,0,0,0.388146426496
1,0,1,1,0,1,0,1,0,0,0,0,1,1,0.0865775711795
0,1,1,1,1,0,0,1,1,1,1,0,0,0,0.0848343986055
0,1,0,1,1,0,1,0,0,1,1,0,1,0,0.0703079604881
0,0,1,1,1,0,0,1,1,1,1,0,1,0,0.0482277745497
1,0,1,1,1,1,1,1,0,1,1,0,1,0,0.0174317257408
0,0,1,1,1,0,1,0,0,1,1,1,0,1,0.446252178966
1,1,0,0,0,0,1,1,1,1,1,0,1,0,0.0737943056363
0,1,1,1,0,1,0,0,0,0,1,1,1,0,0.341661824521
1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.0517141196979
1,1,1,0,0,0,1,0,0,1,1,0,1,1,0.0464846019756
1,0,0,0,0,1,1,1,1,1,0,1,1,0,0.458454386984
1,1,0,1,1,0,1,1,0,1,0,1,1,1,0.486926205694
1,0,1,1,1,1,0,0,1,0,1,0,0,1,0.112725159791
0,0,1,1,0,0,1,0,0,0,1,0,1,0,0.0
1,1,0,1,0,1,0,1,0,1,0,0,0,0,0.142940151075
1,1,1,0,0,1,1,0,1,0,0,1,0,0,0.406740267286
1,1,0,1,0,1,1,0,1,1,0,1,0,1,0.547937245787
1,0,1,0,1,0,1,1,0,1,0,1,1,0,0.485764090645
1,0,1,1,0,1,0,0,1,0,1,1,0,1,0.468332364904
1,0,0,0,1,0,0,1,0,1,1,0,1,1,0.10517141197
1,0,0,1,0,0,0,1,1,1,1,0,0,0,0.116792562464
1,0,1,0,0,1,1,1,1,1,1,0,0,1,0.0923881464265
1,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0755374782103
0,1,1,1,1,1,0,0,1,1,0,0,1,1,0.09529343405
1,1,1,1,1,1,0,1,0,0,0,1,1,0,0.449738524114
1,1,1,1,0,0,1,0,1,1,0,0,1,0,0.107495642069
0,1,0,1,0,0,1,0,1,0,0,1,0,0,0.449738524114
0,1,0,1,1,0,1,0,1,1,1,0,0,1,0.111563044741
0,0,1,1,0,1,0,1,1,0,0,0,0,0,0.101685066822
0,0,1,1,0,1,0,1,0,1,0,0,1,0,0.0958744915747
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.102266124346
0,1,1,0,1,0,0,1,0,0,0,1,1,0,0.385822196397
0,1,1,1,0,1,0,1,0,0,1,1,1,1,0.443346891342
1,1,0,0,1,1,1,0,0,1,1,1,1,1,0.481115630447
1,1,1,0,0,0,0,1,1,0,0,1,1,1,0.486926205694
1,1,1,1,1,1,0,1,1,0,0,0,1,0,0.137710633353
1,1,0,0,0,1,0,1,1,0,1,1,1,0,0.473561882626
0,1,0,0,0,1,0,1,1,0,0,1,0,0,0.391632771644
1,0,1,1,1,1,0,1,1,0,0,1,1,1,0.45787332946
1,0,0,1,1,1,0,0,1,0,1,0,1,1,0.00116211504939
0,1,0,1,1,1,0,1,1,0,0,1,1,0,0.449738524114
1,1,1,1,1,1,1,1,1,0,0,0,1,0,0.0877396862289
0,0,1,1,1,1,0,1,1,1,1,1,1,1,0.414294015107
0,1,1,0,0,0,0,0,0,1,0,1,1,1,0.420685647879
1,0,1,0,0,0,1,1,1,0,0,0,0,1,0.112725159791
1,1,0,1,0,0,0,0,0,0,0,0,1,0,0.068564787914
0,1,1,0,1,1,1,1,1,1,0,0,1,1,0.0923881464265
1,1,1,1,1,0,1,0,1,0,0,0,1,1,0.10400929692
1,1,1,0,0,1,0,0,0,1,1,1,0,0,0.479372457873
0,1,1,1,1,0,1,0,0,1,1,1,1,0,0.449738524114
1,1,1,1,1,0,1,0,1,1,0,1,1,0,0.450319581639
1,0,0,0,1,0,1,1,1,1,0,0,0,0,0.125508425334
0,1,0,0,0,1,0,1,1,0,0,1,1,1,0.405578152237
0,1,0,0,1,0,0,1,1,1,0,0,1,1,0.0865775711795
0,1,1,0,0,0,0,0,1,1,0,1,0,1,0.484601975596
1,0,0,1,1,1,0,1,0,1,1,1,1,0,0.495642068565
0,0,1,0,1,0,0,1,1,1,1,0,1,0,0.0540383497966
0,1,1,1,1,0,0,1,1,1,1,1,1,1,0.432887855898
1,0,0,1,1,1,0,1,0,1,1,1,0,1,1.0
0,0,0,1,0,0,1,0,0,1,1,1,1,1,0.420685647879
1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.106914584544
1,1,0,1,0,1,1,0,1,1,0,0,0,1,0.17083091226
1,1,1,0,1,0,1,1,0,0,1,1,0,1,0.445090063916
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.0883207437536
1,1,0,1,1,0,1,0,1,1,1,1,1,1,0.452062754213
0,0,1,1,1,1,0,1,0,0,0,1,0,1,0.492155723417
0,0,1,1,1,1,1,0,1,0,0,1,0,0,0.432306798373
0,1,1,1,0,0,0,0,0,1,1,1,1,1,0.404997094712
0,1,1,0,1,1,0,0,1,1,1,1,0,1,0.453224869262
1,0,0,1,1,1,1,0,0,1,0,1,0,0,0.601394538059
0,1,0,1,1,1,1,1,1,0,0,1,1,1,0.407902382336
1,0,1,1,0,0,0,0,0,0,1,1,1,0,0.508425334108
1,1,0,0,0,1,0,1,0,1,1,1,0,1,0.477629285299
0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.107495642069
0,1,1,0,1,0,1,0,0,0,0,1,1,1,0.45671121441
1,0,1,1,0,0,0,0,1,1,1,0,0,0,0.0424171993027
1,1,1,0,1,1,0,1,1,0,0,1,0,1,0.484601975596
0,1,1,1,1,1,1,0,0,1,0,0,0,0,0.0766995932597
1,0,1,0,1,1,0,1,1,1,1,1,1,0,0.507844276583
0,0,1,0,1,0,0,1,1,0,0,1,0,0,0.425915165601
1,0,0,1,1,1,0,1,0,1,0,0,1,0,0.0650784427658
1,0,1,1,1,0,0,0,1,0,0,1,0,1,0.493898895991
1,0,0,0,1,1,1,1,1,1,1,1,0,0,0.489831493318
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.0639163277164
0,1,1,0,0,0,1,0,0,1,1,1,1,1,0.454386984311
0,1,1,1,0,1,1,0,1,1,0,1,0,0,0.579895409646
0,0,0,0,1,1,1,1,1,0,0,1,1,1,0.357350377687
1,1,1,0,0,1,1,0,1,0,0,1,1,1,0.4753050552
0,1,1,0,0,1,1,0,1,0,0,0,0,0,0.0703079604881
1,1,1,0,0,1,0,1,1,1,1,0,1,0,0.0627542126671
0,1,1,1,0,1,0,0,1,0,0,0,1,0,0.0522951772225
1,1,1,1,0,1,0,0,1,0,1,1,1,1,0.403253922138
1,1,1,0,1,0,1,1,0,1,1,1,0,0,0.650784427658
1,1,0,1,0,0,1,0,0,0,0,1,0,0,0.465427077281
1,1,0,0,1,0,0,0,1,1,1,0,1,1,0.0261475886113
1,1,0,0,0,1,0,1,0,0,0,1,0,0,0.483439860546
0,1,0,1,1,1,1,0,0,1,1,0,0,0,0.0766995932597
0,1,0,0,1,1,0,0,0,0,0,1,1,1,0.450319581639
0,0,1,0,1,1,1,1,0,1,0,0,1,0,0.0830912260314
0,0,0,0,0,1,1,1,1,0,1,0,1,1,0.061011040093
0,1,1,1,1,1,0,0,0,1,0,1,0,1,0.489250435793
1,1,1,1,1,0,1,0,1,0,0,1,1,1,0.47646717025
0,1,1,1,0,1,1,0,0,1,1,0,1,1,0.0528762347472
0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.10517141197
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0.041836141778
0,1,0,0,0,0,0,0,0,1,1,0,1,1,0.102847181871
1,1,0,0,1,1,1,1,1,1,1,0,0,1,0.108657757118
0,1,0,1,0,0,1,0,1,0,0,0,1,0,0.0674026728646
1,1,1,1,0,0,1,0,0,1,1,1,0,1,0.508425334108
1,1,0,1,0,0,0,0,0,1,1,0,1,0,0.10517141197
1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.120859965137
0,0,0,1,0,1,1,1,1,0,0,1,0,1,0.450900639163
1,1,0,0,0,0,1,0,1,1,0,0,1,0,0.110400929692
0,0,0,1,1,1,0,1,1,0,1,0,1,0,0.0563625798954
1,1,0,0,1,1,1,1,0,0,1,0,1,1,0.0871586287042
0,1,0,1,0,1,0,1,1,1,0,1,0,1,0.481115630447
0,0,1,1,1,0,0,0,0,1,1,1,1,1,0.48634514817
1,0,0,0,1,0,1,1,1,0,0,1,1,0,0.437536316095
0,0,1,1,1,1,1,1,0,0,1,1,0,1,0.358512492737
0,0,1,1,0,0,1,1,1,1,1,0,1,1,0.034282393957
0,1,0,0,1,1,1,0,0,1,1,1,1,1,0.440441603719
1,0,1,0,1,1,0,1,1,0,0,0,0,1,0.110981987217
0,1,1,0,1,0,1,1,0,0,0,0,0,0,0.0900639163277
1,0,0,0,0,0,1,1,0,0,0,1,1,0,0.45671121441
1,1,1,1,1,1,1,0,1,0,1,0,0,0,0.111563044741
0,0,0,1,0,1,1,0,1,1,0,0,0,1,0.130737943056
1,0,0,1,1,0,0,1,0,1,1,0,0,0,0.165020337013
1,0,0,1,0,0,1,0,0,0,1,0,1,0,0.0755374782103
1,1,1,0,0,1,0,0,0,0,0,1,1,0,0.425915165601
1,1,0,1,1,1,1,0,0,0,1,0,1,1,0.0360255665311
1,0,1,1,0,1,0,1,0,1,1,1,1,0,0.421847762929
1,0,1,1,1,0,0,0,1,1,1,1,1,0,0.469494479954
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0.100522951772
0,0,1,0,0,0,1,1,1,1,0,1,1,1,0.435793143521
0,1,1,1,0,1,0,1,1,0,0,0,0,0,0.0755374782103
0,0,1,0,0,0,1,1,1,0,1,1,1,1,0.358512492737
0,1,0,0,1,0,0,1,1,0,1,1,0,1,0.484601975596
1,1,1,1,0,1,1,0,1,0,1,1,1,0,0.420104590354
1,1,0,0,1,0,1,1,0,1,1,0,0,1,0.0877396862289
1,0,1,1,1,1,0,1,1,1,1,1,1,1,0.434049970947
0,0,1,1,1,0,1,0,1,1,1,1,1,0,0.449738524114
0,1,0,1,1,1,1,1,1,0,1,0,1,1,0.0615920976177
0,0,0,0,0,1,1,0,1,1,1,0,1,0,0.0842533410808
1,0,0,0,0,0,1,1,0,1,1,0,1,0,0.122603137711
0,0,0,1,0,0,0,0,0,1,0,0,1,1,0.0958744915747
1,1,0,1,0,0,1,1,1,0,0,1,1,1,0.472399767577
1,0,0,0,1,1,1,1,0,0,0,1,0,1,0.460197559558
1,0,1,0,1,0,1,1,0,1,0,1,0,0,0.488088320744
1,0,1,0,1,1,0,1,0,1,1,1,0,1,0.505520046485
1,0,1,1,0,0,0,0,1,1,1,1,1,0,0.517141196979
0,0,1,0,1,1,1,0,0,0,0,0,1,0,0.0366066240558
0,1,0,1,1,1,1,1,1,1,1,0,1,0,0.081929110982
0,1,0,1,0,0,0,0,0,0,1,0,1,0,0.0185938407902
1,0,0,1,0,0,1,1,0,1,1,1,0,1,0.501452643812
0,1,0,0,0,0,0,0,1,1,0,0,0,1,0.159209761766
0,0,1,0,0,1,1,0,1,1,1,1,0,0,0.461359674608
1,0,1,1,0,1,1,1,1,0,0,0,1,1,0.0639163277164
0,1,0,0,1,1,1,1,0,0,0,1,1,0,0.353864032539
1,1,0,0,0,0,0,1,1,1,0,1,0,0,0.532248692621
0,0,1,1,0,1,1,1,0,0,0,1,1,0,0.430563625799
1,0,1,0,0,0,1,1,1,0,1,0,0,1,0.12376525276
0,1,1,0,0,1,0,0,0,1,1,0,0,1,0.134224288205
1,1,0,0,0,0,0,0,0,0,0,1,1,1,0.424171993027
1,0,0,1,0,1,0,0,1,0,1,1,0,0,0.414294015107
1,1,1,0,1,0,1,1,0,1,0,0,0,1,0.102847181871
1,1,0,0,1,1,0,1,0,0,0,1,1,1,0.398605461941
1,0,1,1,0,1,1,1,1,1,0,1,0,1,0.545031958164
0,0,0,0,1,0,1,1,1,0,1,0,0,1,0.0470656595003
0,1,1,1,0,1,0,1,0,1,1,1,0,1,0.464264962231
0,0,1,0,1,1,0,0,0,0,0,1,1,1,0.40092969204
0,1,0,1,0,1,0,0,1,0,1,1,1,1,0.376525276002
0,1,1,0,0,0,1,1,0,0,0,0,0,1,0.0383497966299
0,1,1,1,1,0,1,0,0,0,0,0,0,1,0.0453224869262
1,1,1,1,0,1,0,0,1,0,0,1,0,1,0.404997094712
1,0,1,0,0,1,0,1,1,0,1,1,0,0,0.445090063916
1,0,1,0,0,0,0,1,1,0,1,0,1,0,0.0331202789076
0,1,1,0,0,1,0,0,1,0,1,0,1,1,0.0830912260314
0,0,0,0,0,0,1,0,1,0,1,1,1,0,0.359093550261
0,0,1,0,1,1,1,0,1,0,0,1,0,0,0.423590935503
0,0,1,1,1,0,0,0,1,0,0,1,0,0,0.504357931435
1,0,1,1,1,0,0,1,0,0,1,1,1,0,0.459035444509
0,0,1,0,1,1,0,1,0,1,0,0,1,1,0.0807669959326
1,1,0,0,1,0,0,1,1,1,1,0,1,1,0.146426496223
1,1,0,0,1,1,0,1,0,0,0,1,0,1,0.49506101104
1,0,1,1,0,0,0,0,0,1,0,0,1,0,0.089482858803
1,1,0,0,0,1,0,0,1,1,0,0,1,0,0.113306217316
0,1,0,1,1,0,0,0,0,0,0,1,1,0,0.420685647879
1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.0325392213829
1,1,1,0,0,1,0,1,1,0,0,0,1,0,0.0708890180128
1,0,0,1,0,1,1,0,1,1,1,1,1,1,0.466008134805
1,1,0,1,1,0,1,1,1,1,1,1,1,0,0.521208599651
1,0,0,1,1,1,1,1,0,1,1,0,0,1,0.11388727484
0,0,1,0,1,1,0,0,0,1,0,0,1,0,0.0883207437536
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0.0737943056363
1,1,1,1,0,0,1,1,0,0,0,0,0,1,0.0679837303893
0,1,1,0,0,0,1,1,1,1,0,1,0,1,0.494479953515
0,0,0,1,1,0,1,0,0,0,0,1,1,0,0.408483439861
0,1,0,1,1,0,1,0,1,0,0,0,1,0,0.0441603718768
0,0,0,0,1,0,0,1,1,0,1,1,0,1,0.381754793725
1,1,0,0,0,1,1,1,1,1,1,0,0,0,0.0918070889018
0,1,0,1,1,1,0,1,0,1,0,0,0,1,0.151656013945
1,0,0,1,0,0,0,1,0,0,1,1,0,0,0.40092969204
0,0,0,1,1,0,1,1,1,0,1,1,0,1,0.445671121441
1,1,0,1,0,0,1,0,0,1,1,0,1,0,0.116792562464
0,0,0,1,0,1,0,1,1,0,1,1,0,1,0.383497966299
1,1,1,0,0,1,1,1,1,1,0,1,1,0,0.55200464846
0,1,0,0,0,1,1,1,0,1,1,0,1,0,0.0749564206856
1,1,0,0,0,0,1,1,1,1,1,1,0,1,0.511330621732
1,0,0,1,1,1,1,1,1,0,0,0,1,1,0.0644973852411
1,1,0,0,1,0,0,0,0,1,0,0,1,1,0.0830912260314
1,0,0,1,1,1,1,1,1,1,1,1,0,1,0.527600232423
1,1,0,0,0,1,0,0,1,1,1,0,1,1,0.0604299825683
1,0,1,1,1,0,1,0,0,0,0,1,1,1,0.427077280651
1,1,1,1,1,1,0,0,0,1,1,0,0,0,0.111563044741
0,1,1,1,1,1,0,0,0,1,0,1,1,1,0.452062754213
0,0,1,1,1,1,1,1,1,0,0,0,1,0,0.0697269029634
1,0,1,1,1,1,0,1,0,1,1,0,1,0,0.0447414294015
0,1,0,1,1,0,0,1,1,0,0,1,0,0,0.423590935503
1,1,0,0,0,1,1,1,1,0,0,0,0,1,0.109819872167
0,0,0,1,1,1,0,1,0,1,0,1,0,1,0.493898895991
0,1,1,1,0,0,1,1,1,1,1,0,0,1,0.122603137711
1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.537478210343
1,1,0,1,1,1,0,0,1,1,1,0,0,0,0.0871586287042
0,1,0,1,0,0,1,1,0,1,0,0,0,1,0.150493898896
0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.368971528181
0,1,0,0,1,0,0,1,0,1,0,1,1,0,0.447414294015
0,0,1,0,1,1,1,1,0,0,0,0,1,1,0.089482858803
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.12376525276
0,0,0,0,0,0,1,1,1,1,0,0,1,0,0.0307960488088
1,1,1,1,1,0,1,0,1,0,1,0,0,0,0.102847181871
0,0,1,0,1,1,0,1,0,0,0,0,1,1,0.0766995932597
0,0,1,0,0,1,0,0,1,0,0,1,1,0,0.409064497385
1,0,0,0,1,0,0,1,1,0,1,1,1,0,0.700174317257
1,0,0,1,1,0,0,0,0,0,1,0,0,1,0.0807669959326
0,0,0,1,0,1,1,0,0,1,0,0,0,0,0.115630447414
0,1,1,1,0,0,0,0,0,1,0,1,0,0,0.568274259152
0,1,1,1,1,0,1,1,1,0,1,0,1,0,0.0941313190006
1,0,1,0,0,1,1,0,0,0,0,0,0,0,0.131319000581
1,0,0,0,1,0,0,1,1,1,0,1,1,0,0.475886112725
0,1,1,0,0,0,1,0,0,0,1,1,0,1,0.420685647879
1,0,1,0,1,1,1,0,0,1,1,0,0,0,0.0772806507844
1,0,0,1,0,0,1,0,0,1,1,1,0,1,0.495642068565
1,0,0,0,0,0,1,1,1,0,1,0,1,0,0.0918070889018
1,1,0,0,0,0,0,1,0,0,1,1,1,0,0.442184776293
0,1,1,1,0,0,1,1,0,1,1,1,1,0,0.386403253922
1,1,0,1,1,0,0,1,0,0,1,1,0,0,0.402672864614
1,1,0,1,0,0,1,0,0,1,1,1,1,1,0.497966298664
0,1,0,0,0,1,0,1,0,1,1,1,1,0,0.464264962231
0,1,1,1,1,0,0,1,0,1,1,0,1,1,0.0366066240558
0,0,0,0,0,0,1,0,1,0,1,0,1,1,0.0185938407902
0,1,1,1,1,0,0,0,1,0,0,0,0,0,0.101104009297
0,1,1,1,1,1,1,1,0,0,1,0,1,1,0.00406740267286
0,1,0,0,1,0,0,1,0,1,0,0,1,1,0.117373619988
1,0,1,0,0,0,0,1,0,0,1,1,0,0,0.488669378268
1,1,0,0,1,0,0,1,0,0,0,0,1,0,0.0889018012783
0,1,0,0,1,1,1,0,1,0,1,1,1,1,0.421266705404
1,1,1,0,0,1,0,1,1,0,1,0,0,1,0.089482858803
1,0,0,0,0,0,1,0,1,1,1,0,1,1,0.0563625798954
