SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqbatch.1
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.437536316095
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.110981987217
0,1,0,1,0,1,0,1,0,0,1,0,1,1,0.0522951772225
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0.490993608367
1,0,0,1,1,1,0,1,1,1,0,0,1,1,0.0970366066241
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.0708890180128
0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.457292271935
1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.137129575828
1,0,1,1,1,0,1,0,1,1,1,1,1,0,0.474142940151
1,0,0,1,1,1,0,1,1,0,1,1,0,0,0.449157466589
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0.479372457873
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0.401510749564
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0.0377687391052
0,1,1,1,1,0,0,1,0,1,0,0,1,0,0.081929110982
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0.0464846019756
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0.13248111563
1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.460778617083
1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.482277745497
1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.52353282975
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.426496223126
