Target ,spear_0,spear_1,spear_2,spear_3,spear_4,spear_5,spear_6,spear_7,spear_8,spear_9
spear_0,X,222.65,345.57,641.29,621.65,492.22,571.24,262.64,5822.54,5473.14
spear_1,222.67,X,501.08,837.67,802.02,623.32,775.56,49.44,6915.19,6022.19
spear_2,345.57,501.07,X,350.64,598.92,247.96,585.82,544.59,4867.07,4765.22
spear_3,641.29,837.67,350.63,X,745.55,453.87,607.04,883.65,3973.37,6582.43
spear_4,621.62,802.04,598.9,745.48,X,656.29,714.57,824.79,5792.4,6859.27
spear_5,492.24,623.31,247.96,453.83,656.26,X,571.56,647.65,4735.24,5504.39
spear_6,571.24,775.57,585.82,607.04,714.57,571.56,X,788.97,3166.8,6617.71
spear_7,262.64,49.44,544.59,883.65,824.8,647.64,788.97,X,7069.89,6134.34
spear_8,1215.04,1414.29,1065.97,960.85,1215.41,1022.35,655.86,1426.62,X,9012.31
spear_9,1098.89,1210.53,944.62,1233.66,1365.02,1095.24,1351.02,1244.16,9012.31,X
