Target ,storm-obj2_feature6,storm-obj2_feature7,storm-obj2_feature8,storm-obj2_feature9
storm-obj2_feature6,X,247598.28,1834605.43,8740971.14
storm-obj2_feature7,460548.13,X,1106591.45,8165906.52
storm-obj2_feature8,1040498.04,710185.64,X,7061638.63
storm-obj2_feature9,5011522.73,4429088.89,7061638.63,X
