Target ,storm-obj2_feature6,storm-obj2_feature7,storm-obj2_feature8,storm-obj2_feature9
storm-obj2_feature6,X,0.0,1.0,3.0
storm-obj2_feature7,519.0,X,37.0,17.0
storm-obj2_feature8,0.0,0.0,X,0.0
storm-obj2_feature9,0.0,0.0,0.0,X
