Target ,storm-obj2_feature6,storm-obj2_feature7,storm-obj2_feature8,storm-obj2_feature9
storm-obj2_feature6,X,484.13,1474.87,10122.22
storm-obj2_feature7,1300.28,X,2822.16,14131.68
storm-obj2_feature8,935.17,72.98,X,522.26
storm-obj2_feature9,839.13,70.61,69.84,X
