Target ,storm-obj2_feature6,storm-obj2_feature7,storm-obj2_feature8,storm-obj2_feature9
storm-obj2_feature6,X,45.0,446.0,488.0
storm-obj2_feature7,1.0,X,158.0,60.0
storm-obj2_feature8,581.0,102.0,X,402.0
storm-obj2_feature9,574.0,62.0,103.0,X
