Target ,storm-obj1_feature6,storm-obj1_feature7,storm-obj1_feature8,storm-obj1_feature9
storm-obj1_feature6,X,76.03,757.74,489.87
storm-obj1_feature7,315.43,X,750.49,491.61
storm-obj1_feature8,437.04,158.4,X,442.57
storm-obj1_feature9,330.3,98.04,442.57,X
