Target ,storm-obj1_feature6,storm-obj1_feature7,storm-obj1_feature8,storm-obj1_feature9
storm-obj1_feature6,X,4828819.97,16885945.0,16853902.25
storm-obj1_feature7,15144705.38,X,8042007.64,7411022.93
storm-obj1_feature8,13617508.83,1630341.7,X,7083612.25
storm-obj1_feature9,15962367.92,2099948.88,7083612.25,X
