Target ,sac_4,sac_5,sac_6,sac_7,sac_8,sac_9
sac_4,X,260.75,96.09,97.14,97.76,104.46
sac_5,19103.38,X,297.29,204.4,322.7,3799.04
sac_6,15602.37,15073.55,X,34.99,308.04,2226.24
sac_7,13180.67,9023.38,48.92,X,288.55,2634.87
sac_8,13669.4,40032.28,202.72,172.26,X,3279.43
sac_9,19090.15,36199.05,470.66,379.86,166.51,X
