Target ,sac_4,sac_5,sac_6,sac_7,sac_8,sac_9
sac_4,X,258476.34,170371.86,154784.86,242454.79,292980.12
sac_5,1173938.44,X,139073.97,135764.0,171154.13,199474.97
sac_6,931677.96,138937.1,X,34705.5,219512.3,272831.54
sac_7,767923.9,135764.0,34014.85,X,231874.25,291412.84
sac_8,1130382.98,172512.16,219512.3,231931.36,X,97530.24
sac_9,1439088.35,199603.15,272831.54,291412.84,97206.31,X
