Target ,storm-obj2_feature6,storm-obj2_feature7,storm-obj2_feature8,storm-obj2_feature9
storm-obj2_feature6,X,112.93,253.88,302.85
storm-obj2_feature7,145.97,X,89.36,111.06
storm-obj2_feature8,148.48,49.25,X,94.03
storm-obj2_feature9,169.03,52.69,94.01,X
