SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrand100K.4
0,0,0,1,1,0,0,0,0,1,1,0,1,0,701.39
1,1,0,0,1,0,0,0,1,0,0,1,1,0,702.74
0,1,0,1,1,0,0,0,0,0,0,1,1,0,703.94
1,0,0,1,0,1,0,0,1,1,1,1,1,0,710.12
1,1,1,1,1,1,0,0,1,1,1,0,0,0,714.11
1,0,1,0,1,1,0,0,1,1,1,1,0,1,703.66
0,0,1,1,0,1,0,1,0,0,1,1,0,1,706.5
0,1,0,1,0,0,1,1,1,1,1,0,1,1,705.45
1,0,0,1,1,1,1,0,1,0,0,1,1,0,709.12
1,0,0,1,1,0,1,0,1,1,0,1,1,0,717.23
0,0,1,1,0,0,0,0,1,1,0,0,1,0,696.92
0,0,0,0,1,1,1,1,1,0,1,0,1,0,703.34
1,0,0,1,1,1,1,1,1,0,1,0,0,1,750.86
1,1,0,0,0,1,0,0,1,0,0,1,0,0,714.5
1,0,1,1,0,0,0,0,0,0,1,1,0,0,702.17
1,0,1,0,1,0,0,0,1,0,0,1,0,0,706.13
0,1,1,1,1,1,0,1,1,0,0,0,0,0,705.89
0,1,0,0,0,1,0,0,1,0,1,1,0,0,715.87
1,0,0,0,1,1,0,0,0,1,1,0,0,1,697.67
1,1,0,1,1,0,0,1,1,0,0,1,0,0,712.8
1,0,1,1,0,1,0,1,1,1,1,0,1,1,701.45
0,1,1,0,1,1,1,0,0,1,1,0,0,1,696.05
1,1,0,1,0,0,1,1,0,0,1,1,1,0,711.65
0,1,0,1,1,0,1,1,0,1,1,0,1,0,708.21
1,0,0,1,1,0,1,1,0,1,0,1,0,1,712.75
1,1,1,0,1,0,0,0,1,0,0,0,0,1,709.49
0,0,1,1,0,0,1,0,0,1,0,1,0,1,705.06
0,1,1,0,0,0,1,1,0,0,1,0,0,1,704.87
0,1,1,1,1,1,0,0,0,1,1,1,0,1,706.49
1,0,1,0,0,0,1,0,1,0,0,1,0,0,707.45
0,0,1,0,0,1,1,0,1,0,0,0,1,1,701.83
1,1,1,0,0,0,0,1,0,0,1,1,1,1,706.49
0,0,0,1,0,1,1,1,1,1,0,0,0,0,705.48
0,1,1,0,0,0,0,0,1,0,1,1,1,1,709.02
0,1,0,0,0,0,0,1,0,1,1,1,1,0,705.14
0,1,1,1,1,0,1,1,1,1,1,0,0,0,697.25
0,0,0,1,1,0,0,0,0,1,1,1,0,1,700.62
1,0,1,0,0,1,0,0,0,0,0,0,1,1,700.29
1,0,1,0,1,1,0,0,1,1,0,1,0,0,712.99
0,1,1,1,0,1,0,0,0,0,0,1,0,0,722.39
1,0,1,1,0,1,0,1,0,0,0,0,1,1,703.42
0,1,1,1,1,0,0,1,1,1,1,0,0,0,715.39
0,1,0,1,1,0,1,0,0,1,1,0,1,0,702.75
0,0,1,1,1,0,0,1,1,1,1,0,1,0,704.54
1,0,1,1,1,1,1,1,0,1,1,0,1,0,698.38
0,0,1,1,1,0,1,0,0,1,1,1,0,1,707.4
1,1,0,0,0,0,1,1,1,1,1,0,1,0,709.54
0,1,1,1,0,1,0,0,0,0,1,1,1,0,705.47
1,1,1,1,0,1,1,1,1,1,1,0,1,1,697.52
1,1,1,0,0,0,1,0,0,1,1,0,1,1,698.49
1,0,0,0,0,1,1,1,1,1,0,1,1,0,709.64
1,1,0,1,1,0,1,1,0,1,0,1,1,1,710.08
