SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readseq.5
0,0,0,1,0,1,1,0,0,1,1,1,1,0,31.007
0,0,0,0,1,0,1,0,0,1,0,0,0,1,31.256
0,1,0,1,0,1,0,1,0,0,1,0,1,1,31.654
1,1,0,0,0,1,0,0,1,1,0,1,0,1,31.612
1,0,0,1,1,1,0,1,1,1,0,0,1,1,31.764
1,1,1,1,0,0,1,0,1,1,1,0,1,0,31.232
0,1,1,1,1,1,1,0,0,1,0,1,1,0,31.8
1,0,1,0,1,0,0,1,1,1,0,0,0,1,31.912
1,0,1,1,1,0,1,0,1,1,1,1,1,0,31.45
1,0,0,1,1,1,0,1,1,0,1,1,0,0,31.102
0,1,0,1,0,1,1,0,0,1,0,1,0,0,31.784
0,0,0,1,0,1,0,1,0,1,1,1,0,0,31.731
0,1,0,0,1,1,0,0,1,0,1,0,1,0,31.703
0,1,1,1,1,0,0,1,0,1,0,0,1,0,30.949
1,1,0,1,1,0,0,1,1,0,1,0,0,0,31.31
0,0,1,0,1,1,0,1,1,1,0,0,0,0,32.558
1,0,0,0,1,0,0,1,1,0,0,1,0,1,31.526
1,1,0,0,0,0,0,1,0,0,1,1,1,1,30.676
1,1,0,1,0,0,1,0,0,1,0,1,0,0,32.28
0,0,0,0,0,1,0,1,1,0,0,1,0,1,31.505
0,1,1,1,1,0,0,0,0,1,0,0,1,1,30.858
1,0,0,0,1,1,0,0,1,1,1,0,0,0,31.302
0,1,1,1,0,0,0,0,0,0,1,0,1,1,31.391
1,1,1,1,1,0,0,1,0,1,1,0,1,0,32.042
1,1,0,1,0,0,0,0,1,1,0,0,1,1,31.294
0,0,1,0,0,0,1,0,1,1,0,1,0,0,31.677
0,1,1,0,1,1,0,1,1,0,0,1,1,0,31.464
1,0,0,1,1,0,1,1,0,0,0,1,1,0,31.243
1,1,1,0,0,0,1,0,1,0,0,0,0,1,31.098
0,0,0,0,1,0,0,0,1,0,1,0,1,0,30.464
0,0,0,0,1,0,0,0,0,1,1,1,1,0,30.169
1,0,1,1,1,1,0,1,0,0,0,1,0,0,31.495
0,1,0,1,0,0,0,0,1,0,0,0,0,1,31.508
0,1,0,1,0,0,0,0,0,0,1,1,0,1,31.09
1,1,0,1,1,1,0,1,0,0,0,0,0,0,32.786
0,1,1,0,0,0,1,0,0,1,1,1,0,0,31.072
0,1,1,0,0,0,0,1,0,1,1,0,0,1,31.731
1,1,1,0,1,1,0,0,1,0,1,1,1,1,31.658
0,0,0,0,1,0,1,0,1,0,1,0,1,0,32.251
0,0,0,1,1,1,0,0,0,0,0,1,1,1,31.478
1,0,0,0,1,0,1,1,0,0,1,0,1,0,31.33
1,0,0,1,0,1,0,1,1,0,0,0,1,0,30.969
0,1,1,0,0,0,1,1,1,1,1,1,0,0,31.947
1,0,1,1,0,0,0,0,1,1,1,0,1,0,30.275
0,0,0,1,1,0,0,1,0,1,1,0,1,1,31.999
1,1,1,1,1,0,0,1,1,1,0,0,1,0,31.317
1,0,1,0,0,1,1,1,1,0,1,1,0,1,30.727
0,1,0,1,1,1,0,0,1,1,0,0,1,0,31.191
0,1,1,1,1,1,1,0,1,1,1,0,1,0,31.326
0,1,0,1,0,0,1,1,1,1,1,0,0,0,32.096
1,0,1,1,1,0,1,0,1,1,0,1,1,0,31.856
1,0,0,1,1,1,1,0,0,0,1,1,1,0,31.829
1,0,0,1,0,0,1,1,0,0,0,0,0,1,31.231
