SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrand100K.1
0,0,0,1,0,1,1,0,0,1,1,1,1,0,452.49
0,0,0,0,1,0,1,0,0,1,0,0,0,1,441.79
0,1,0,1,0,1,0,1,0,0,1,0,1,1,442.62
1,1,0,0,0,1,0,0,1,1,0,1,0,1,443.71
1,0,0,1,1,1,0,1,1,1,0,0,1,1,448.18
1,1,1,1,0,0,1,0,1,1,1,0,1,0,455.27
0,1,1,1,1,1,1,0,0,1,0,1,1,0,443.32
1,0,1,0,1,0,0,1,1,1,0,0,0,1,442.92
1,0,1,1,1,0,1,0,1,1,1,1,1,0,446.54
1,0,0,1,1,1,0,1,1,0,1,1,0,0,446.54
0,1,0,1,0,1,1,0,0,1,0,1,0,0,443.72
0,0,0,1,0,1,0,1,0,1,1,1,0,0,451.6
0,1,0,0,1,1,0,0,1,0,1,0,1,0,444.91
0,1,1,1,1,0,0,1,0,1,0,0,1,0,439.48
1,1,0,1,1,0,0,1,1,0,1,0,0,0,445.21
0,0,1,0,1,1,0,1,1,1,0,0,0,0,449.6
1,0,0,0,1,0,0,1,1,0,0,1,0,1,454.23
1,1,0,0,0,0,0,1,0,0,1,1,1,1,453.12
1,1,0,1,0,0,1,0,0,1,0,1,0,0,453.39
0,0,0,0,0,1,0,1,1,0,0,1,0,1,446.8
0,1,1,1,1,0,0,0,0,1,0,0,1,1,440.54
1,0,0,0,1,1,0,0,1,1,1,0,0,0,445.28
0,1,1,1,0,0,0,0,0,0,1,0,1,1,441.1
1,1,1,1,1,0,0,1,0,1,1,0,1,0,441.83
1,1,0,1,0,0,0,0,1,1,0,0,1,1,442.77
0,0,1,0,0,0,1,0,1,1,0,1,0,0,443.9
0,1,1,0,1,1,0,1,1,0,0,1,1,0,442.38
