SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandbatch.4
0,0,0,1,0,1,1,0,0,1,1,1,1,0,21.483
0,0,0,0,1,0,1,0,0,1,0,0,0,1,20.188
0,1,0,1,0,1,0,1,0,0,1,0,1,1,20.146
1,1,0,0,0,1,0,0,1,1,0,1,0,1,21.785
1,0,0,1,1,1,0,1,1,1,0,0,1,1,20.215
1,1,1,1,0,0,1,0,1,1,1,0,1,0,20.016
0,1,1,1,1,1,1,0,0,1,0,1,1,0,21.319
1,0,1,0,1,0,0,1,1,1,0,0,0,1,20.298
1,0,1,1,1,0,1,0,1,1,1,1,1,0,21.559
1,0,0,1,1,1,0,1,1,0,1,1,0,0,21.48
0,1,0,1,0,1,1,0,0,1,0,1,0,0,21.674
0,0,0,1,0,1,0,1,0,1,1,1,0,0,21.458
0,1,0,0,1,1,0,0,1,0,1,0,1,0,20.086
0,1,1,1,1,0,0,1,0,1,0,0,1,0,20.513
1,1,0,1,1,0,0,1,1,0,1,0,0,0,20.172
0,0,1,0,1,1,0,1,1,1,0,0,0,0,20.363
1,0,0,0,1,0,0,1,1,0,0,1,0,1,21.47
1,1,0,0,0,0,0,1,0,0,1,1,1,1,21.245
1,1,0,1,0,0,1,0,0,1,0,1,0,0,21.671
0,0,0,0,0,1,0,1,1,0,0,1,0,1,21.338
0,1,1,1,1,0,0,0,0,1,0,0,1,1,20.149
1,0,0,0,1,1,0,0,1,1,1,0,0,0,20.338
0,1,1,1,0,0,0,0,0,0,1,0,1,1,19.87
1,1,1,1,1,0,0,1,0,1,1,0,1,0,20.126
1,1,0,1,0,0,0,0,1,1,0,0,1,1,20.156
0,0,1,0,0,0,1,0,1,1,0,1,0,0,21.562
0,1,1,0,1,1,0,1,1,0,0,1,1,0,21.255
1,0,0,1,1,0,1,1,0,0,0,1,1,0,21.222
1,1,1,0,0,0,1,0,1,0,0,0,0,1,22.142
0,0,0,0,1,0,0,0,1,0,1,0,1,0,19.914
0,0,0,0,1,0,0,0,0,1,1,1,1,0,21.459
1,0,1,1,1,1,0,1,0,0,0,1,0,0,21.518
0,1,0,1,0,0,0,0,1,0,0,0,0,1,20.178
0,1,0,1,0,0,0,0,0,0,1,1,0,1,21.292
1,1,0,1,1,1,0,1,0,0,0,0,0,0,20.178
0,1,1,0,0,0,1,0,0,1,1,1,0,0,21.477
0,1,1,0,0,0,0,1,0,1,1,0,0,1,20.355
1,1,1,0,1,1,0,0,1,0,1,1,1,1,21.181
0,0,0,0,1,0,1,0,1,0,1,0,1,0,19.928
0,0,0,1,1,1,0,0,0,0,0,1,1,1,21.324
1,0,0,0,1,0,1,1,0,0,1,0,1,0,20.17
1,0,0,1,0,1,0,1,1,0,0,0,1,0,19.915
0,1,1,0,0,0,1,1,1,1,1,1,0,0,21.496
1,0,1,1,0,0,0,0,1,1,1,0,1,0,20.135
0,0,0,1,1,0,0,1,0,1,1,0,1,1,19.954
1,1,1,1,1,0,0,1,1,1,0,0,1,0,20.209
1,0,1,0,0,1,1,1,1,0,1,1,0,1,21.244
0,1,0,1,1,1,0,0,1,1,0,0,1,0,19.995
0,1,1,1,1,1,1,0,1,1,1,0,1,0,19.941
0,1,0,1,0,0,1,1,1,1,1,0,0,0,20.338
1,0,1,1,1,0,1,0,1,1,0,1,1,0,21.572
1,0,0,1,1,1,1,0,0,0,1,1,1,0,21.226
1,0,0,1,0,0,1,1,0,0,0,0,0,1,20.424
1,1,1,0,0,1,0,0,1,0,1,0,1,1,20.044
0,0,1,1,0,1,0,1,1,1,0,0,0,0,20.526
1,0,0,0,1,1,0,1,0,1,1,1,1,0,21.614
1,1,1,0,0,0,0,1,0,0,0,0,0,1,20.045
0,0,1,0,1,1,1,0,0,0,1,0,0,0,19.802
1,1,1,0,0,0,0,0,0,1,1,0,0,0,20.39
0,0,0,0,0,1,1,1,1,0,0,1,1,0,21.054
0,0,1,1,1,0,1,1,0,0,1,0,0,0,22.581
0,1,0,0,0,1,1,1,1,1,0,1,1,0,21.085
0,0,0,1,0,0,0,0,0,1,1,0,0,1,20.289
1,0,0,0,1,1,0,1,0,1,1,1,0,0,21.599
0,0,1,1,0,0,1,1,0,1,1,1,1,0,21.247
0,1,1,1,1,0,1,0,0,0,1,0,1,0,19.844
0,0,0,1,0,0,0,0,0,1,0,1,1,0,21.262
0,1,0,1,0,0,1,0,0,1,1,0,1,1,20.208
0,0,1,1,1,0,1,0,1,1,1,0,1,0,20.148
0,0,0,1,1,0,1,0,1,1,0,0,1,0,19.856
0,0,1,0,0,0,0,0,1,0,1,0,1,1,20.061
0,0,1,0,1,0,1,0,0,0,0,0,0,1,19.971
0,1,1,1,1,1,1,0,1,1,0,1,1,1,21.472
1,1,0,1,0,0,0,1,0,1,0,1,0,0,21.787
1,0,1,1,0,0,0,1,1,1,1,0,0,0,20.143
1,1,0,0,1,1,1,0,0,0,0,1,1,0,21.113
1,0,0,1,1,1,1,0,1,1,1,1,0,1,21.899
0,0,0,0,0,1,0,1,0,0,0,0,0,1,20.176
1,1,1,1,1,1,1,1,1,1,1,0,0,1,20.562
0,0,1,1,0,0,1,1,0,0,1,1,0,0,20.931
1,1,1,0,1,0,1,1,1,1,0,1,0,0,21.551
0,0,0,1,1,0,0,0,0,1,1,0,1,0,19.921
1,1,0,0,1,0,0,0,1,0,0,1,1,0,21.367
0,1,0,1,1,0,0,0,0,0,0,1,1,0,21.376
1,0,0,1,0,1,0,0,1,1,1,1,1,0,23.751
1,1,1,1,1,1,0,0,1,1,1,0,0,0,20.217
1,0,1,0,1,1,0,0,1,1,1,1,0,1,21.492
0,0,1,1,0,1,0,1,0,0,1,1,0,1,21.228
0,1,0,1,0,0,1,1,1,1,1,0,1,1,20.06
1,0,0,1,1,1,1,0,1,0,0,1,1,0,21.165
1,0,0,1,1,0,1,0,1,1,0,1,1,0,21.373
0,0,1,1,0,0,0,0,1,1,0,0,1,0,20.156
0,0,0,0,1,1,1,1,1,0,1,0,1,0,20.011
1,0,0,1,1,1,1,1,1,0,1,0,0,1,19.93
1,1,0,0,0,1,0,0,1,0,0,1,0,0,21.717
1,0,1,1,0,0,0,0,0,0,1,1,0,0,21.499
1,0,1,0,1,0,0,0,1,0,0,1,0,0,21.613
0,1,1,1,1,1,0,1,1,0,0,0,0,0,19.937
0,1,0,0,0,1,0,0,1,0,1,1,0,0,22.632
1,0,0,0,1,1,0,0,0,1,1,0,0,1,20.319
1,1,0,1,1,0,0,1,1,0,0,1,0,0,21.488
1,0,1,1,0,1,0,1,1,1,1,0,1,1,19.917
0,1,1,0,1,1,1,0,0,1,1,0,0,1,20.081
1,1,0,1,0,0,1,1,0,0,1,1,1,0,21.262
0,1,0,1,1,0,1,1,0,1,1,0,1,0,20.461
1,0,0,1,1,0,1,1,0,1,0,1,0,1,21.615
1,1,1,0,1,0,0,0,1,0,0,0,0,1,20.169
0,0,1,1,0,0,1,0,0,1,0,1,0,1,21.57
0,1,1,0,0,0,1,1,0,0,1,0,0,1,20.084
0,1,1,1,1,1,0,0,0,1,1,1,0,1,21.128
1,0,1,0,0,0,1,0,1,0,0,1,0,0,21.462
0,0,1,0,0,1,1,0,1,0,0,0,1,1,19.765
1,1,1,0,0,0,0,1,0,0,1,1,1,1,21.261
0,0,0,1,0,1,1,1,1,1,0,0,0,0,20.201
0,1,1,0,0,0,0,0,1,0,1,1,1,1,21.067
0,1,0,0,0,0,0,1,0,1,1,1,1,0,24.564
0,1,1,1,1,0,1,1,1,1,1,0,0,0,23.722
0,0,0,1,1,0,0,0,0,1,1,1,0,1,24.609
1,0,1,0,0,1,0,0,0,0,0,0,1,1,20.095
1,0,1,0,1,1,0,0,1,1,0,1,0,0,21.467
0,1,1,1,0,1,0,0,0,0,0,1,0,0,21.365
1,0,1,1,0,1,0,1,0,0,0,0,1,1,20.048
0,1,1,1,1,0,0,1,1,1,1,0,0,0,20.073
0,1,0,1,1,0,1,0,0,1,1,0,1,0,20.168
0,0,1,1,1,0,0,1,1,1,1,0,1,0,20.101
1,0,1,1,1,1,1,1,0,1,1,0,1,0,19.845
0,0,1,1,1,0,1,0,0,1,1,1,0,1,21.5
1,1,0,0,0,0,1,1,1,1,1,0,1,0,19.971
0,1,1,1,0,1,0,0,0,0,1,1,1,0,21.276
1,1,1,1,0,1,1,1,1,1,1,0,1,1,20.11
1,1,1,0,0,0,1,0,0,1,1,0,1,1,20.12
1,0,0,0,0,1,1,1,1,1,0,1,1,0,21.553
1,1,0,1,1,0,1,1,0,1,0,1,1,1,21.437
1,0,1,1,1,1,0,0,1,0,1,0,0,1,20.343
0,0,1,1,0,0,1,0,0,0,1,0,1,0,19.958
