SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqsync.2
0,1,0,0,0,1,0,1,0,1,1,1,1,0,2958.5
0,1,1,1,1,0,0,1,0,1,1,0,1,1,2959.8
0,0,0,0,0,0,1,0,1,0,1,0,1,1,2922.7
0,1,1,1,1,0,0,0,1,0,0,0,0,0,2958.1
0,1,1,1,1,1,1,1,0,0,1,0,1,1,2923.1
0,1,0,0,1,0,0,1,0,1,0,0,1,1,2929.5
1,0,1,0,0,0,0,1,0,0,1,1,0,0,2949.2
1,1,0,0,1,0,0,1,0,0,0,0,1,0,2931.1
0,1,0,0,1,1,1,0,1,0,1,1,1,1,2944.4
1,1,1,0,0,1,0,1,1,0,1,0,0,1,2968.6
1,0,0,0,0,0,1,0,1,1,1,0,1,1,2973.1
1,0,0,1,1,0,1,1,1,1,1,1,1,1,2953.1
1,1,0,1,1,1,0,0,1,1,0,1,0,0,2964.9
0,1,1,1,0,0,1,1,1,1,1,0,0,0,2953.5
0,0,0,1,0,1,0,1,0,0,1,0,0,0,2924.0
1,0,1,0,0,1,1,0,0,1,1,1,1,0,2949.1
0,1,1,0,0,0,0,1,1,1,0,0,1,0,2922.2
1,0,0,1,0,1,1,0,0,1,1,1,1,1,2935.8
1,0,1,0,1,0,0,0,1,1,1,0,1,0,2935.0
1,0,1,1,1,1,1,0,0,1,1,1,1,0,2948.2
0,1,1,0,1,1,1,1,0,1,0,1,0,0,2957.0
0,0,1,0,0,0,0,0,1,0,1,1,0,1,2940.3
0,1,1,1,0,0,0,0,0,0,0,1,0,1,2939.0
0,0,1,1,0,0,1,0,0,1,0,0,1,0,2933.4
0,1,1,0,0,1,1,0,0,1,0,1,0,0,2951.3
0,1,0,1,0,0,0,1,0,0,1,1,0,0,2946.3
0,0,1,1,0,1,0,1,0,1,0,1,1,1,2945.9
1,1,0,0,0,0,1,1,0,1,1,1,1,0,2946.7
0,1,1,1,1,0,1,1,1,1,0,0,0,0,2943.7
0,1,0,0,0,0,1,0,0,1,1,0,0,0,2957.4
1,0,1,0,0,1,0,1,0,0,1,1,1,0,2949.7
0,0,1,1,0,1,1,1,0,1,0,0,0,1,2950.8
0,0,1,1,0,1,1,0,0,0,0,1,0,0,2959.8
1,1,0,1,1,1,1,0,1,1,0,0,0,0,2936.1
1,1,0,0,0,0,0,1,0,1,0,1,1,0,2952.2
0,0,1,0,0,0,1,0,1,0,0,1,1,0,2949.4
0,0,0,0,1,0,0,1,0,1,1,1,1,1,2945.9
0,1,0,1,1,1,0,1,0,0,0,1,1,1,2946.0
1,0,0,0,1,0,0,0,0,1,0,1,1,1,2949.7
1,0,1,1,0,0,0,1,1,0,1,0,1,0,2934.0
0,0,1,0,1,1,1,1,0,0,0,0,0,1,2936.8
1,0,0,0,0,1,0,0,1,0,0,1,1,0,2944.8
1,0,0,0,1,1,1,1,0,1,0,0,0,1,2950.2
0,1,1,1,0,0,0,0,0,0,0,0,1,1,2933.7
1,1,0,1,0,1,0,1,1,1,0,0,0,0,2931.3
0,1,1,1,0,0,0,1,1,1,0,0,0,0,2945.1
0,1,1,1,1,1,0,0,1,1,1,1,1,1,2960.7
1,0,0,0,0,0,0,0,0,0,1,0,1,0,2922.3
0,1,0,1,0,0,0,1,1,1,0,1,0,0,2949.6
0,1,0,0,0,0,1,1,1,1,1,0,0,1,2940.4
0,0,0,0,0,1,0,0,1,0,0,0,0,1,2936.5
1,1,0,1,1,1,0,1,0,0,1,1,1,1,2948.8
0,0,1,0,0,1,1,1,0,1,0,1,1,1,2944.5
0,0,0,1,1,1,0,0,1,0,1,1,1,0,2940.8
0,1,0,0,1,1,0,0,1,0,0,0,0,0,2943.0
1,0,0,0,0,1,1,1,0,0,0,1,0,0,2975.3
1,1,0,1,0,0,0,1,1,0,0,1,1,1,2963.3
1,1,0,0,0,1,1,1,0,0,0,0,1,0,2982.5
1,0,0,1,1,0,0,1,1,1,1,1,1,1,2946.6
0,1,1,0,1,0,1,1,1,0,0,1,1,1,2924.9
0,1,0,1,1,0,1,1,0,0,0,0,1,0,2944.1
1,0,0,0,1,1,1,1,1,1,1,0,0,0,2946.0
1,0,1,1,0,1,0,1,0,0,1,1,0,1,2955.0
1,0,1,0,1,0,0,1,1,0,1,0,0,1,2918.1
1,1,1,1,1,1,1,1,1,1,1,0,1,1,2936.7
1,1,1,0,1,1,0,0,1,1,0,1,1,1,2951.8
0,1,0,1,1,0,0,0,1,0,1,0,0,1,2928.9
1,0,1,0,1,1,0,1,1,1,1,0,1,1,2951.8
0,0,0,1,1,0,1,1,0,1,1,1,0,0,2955.1
1,0,0,0,0,1,0,1,1,0,1,0,0,1,2932.0
1,0,1,0,0,1,1,1,1,1,0,0,1,0,2924.5
0,0,0,1,0,0,1,1,1,1,1,0,1,1,2947.9
0,0,0,0,1,0,1,1,1,1,1,1,0,0,2932.8
0,1,1,0,0,0,1,0,1,0,1,0,1,0,2926.8
0,1,0,0,1,0,1,0,0,0,1,0,0,0,2951.0
1,0,0,1,1,1,0,1,0,1,1,1,1,1,2940.2
1,1,0,0,1,0,0,0,1,1,1,1,1,0,2940.8
1,1,0,1,0,0,0,0,0,1,0,1,1,1,2956.9
0,0,1,1,1,1,1,0,1,1,0,1,1,0,2938.9
0,1,1,0,0,0,1,0,1,0,0,0,1,0,2955.5
0,1,0,1,1,0,1,1,0,1,1,1,0,0,2953.2
0,1,1,0,0,1,0,0,1,1,1,1,1,1,2931.8
1,0,1,1,0,1,1,0,1,1,0,1,0,0,2948.3
0,1,0,1,0,0,1,1,1,0,1,0,0,1,2932.7
1,0,1,1,0,0,1,0,1,0,1,1,1,1,2943.8
0,0,1,1,0,1,1,0,1,0,1,0,0,1,2930.9
0,0,0,1,1,1,0,1,0,1,0,1,0,1,2927.5
1,1,1,0,0,0,0,1,1,1,1,1,0,1,2946.8
0,1,0,0,0,1,0,0,1,1,0,0,1,0,2933.2
1,0,0,1,1,1,1,0,1,0,0,0,1,1,2943.0
1,1,0,1,1,1,1,1,0,1,1,1,1,1,2951.1
1,0,1,0,0,1,0,0,1,1,1,0,0,1,2936.3
0,1,0,1,1,0,1,1,1,1,1,1,0,0,2952.4
1,0,0,1,0,1,0,0,0,1,1,0,0,1,2942.9
0,1,0,1,0,1,1,1,0,0,1,1,1,0,2940.9
1,0,1,1,0,0,0,1,1,0,1,1,1,1,2934.8
1,0,1,1,0,0,0,0,1,0,1,1,1,1,2942.6
0,1,1,1,1,0,1,1,0,1,0,1,0,1,2946.3
1,1,1,1,1,1,1,0,0,0,0,0,0,1,2933.0
1,0,0,0,1,0,0,0,1,1,1,0,0,1,2934.9
0,0,0,0,1,0,1,0,1,1,1,0,0,0,2931.5
0,1,1,1,0,1,1,1,0,1,1,0,1,0,2925.0
0,1,1,0,0,0,1,0,1,0,1,1,1,0,2944.8
0,0,0,0,0,1,0,0,0,0,0,1,0,1,2925.3
1,1,0,0,0,1,1,1,0,0,1,1,1,0,2953.5
1,0,0,0,0,0,1,0,0,0,0,1,0,0,2955.3
1,1,0,1,1,1,0,1,0,1,0,1,1,0,2958.9
0,1,0,1,1,1,1,0,1,1,1,0,1,1,2932.4
0,1,0,1,1,0,0,0,0,0,0,0,0,1,2924.9
1,1,0,1,0,0,0,1,1,1,0,0,1,0,2942.8
0,1,0,1,1,0,0,0,0,0,1,1,1,0,2954.4
0,1,1,1,0,1,1,1,1,1,0,0,1,1,2924.9
0,0,1,1,1,0,1,1,0,1,1,0,1,1,2934.6
1,1,0,0,0,0,1,0,1,1,0,1,0,1,2944.9
0,0,0,0,1,0,1,1,0,0,1,1,1,0,2951.2
1,1,0,1,0,0,0,0,0,0,1,0,0,0,2944.2
0,1,1,0,0,0,1,1,0,1,0,0,1,0,2932.0
1,0,1,1,1,1,0,0,1,0,1,0,0,1,2926.8
1,1,1,1,0,0,1,0,1,1,1,1,0,0,2949.7
1,0,1,0,0,0,1,1,0,0,0,0,0,0,2929.8
1,1,1,0,1,1,0,0,1,0,0,0,0,0,2940.8
1,1,0,0,1,1,0,0,1,0,0,1,0,0,2951.3
0,0,0,1,1,0,1,0,0,1,0,0,0,0,2948.7
0,0,0,0,1,1,0,0,1,0,1,1,0,0,2935.1
0,0,1,1,0,0,1,1,1,1,1,0,0,1,2942.1
1,0,1,0,0,0,0,1,0,1,0,0,0,0,2909.4
0,0,1,0,1,1,0,0,1,0,0,1,1,0,2953.0
0,0,0,1,1,1,0,1,0,1,0,1,1,1,2962.9
1,1,1,1,1,0,1,0,0,1,1,0,1,0,2928.9
0,1,1,1,0,1,1,1,0,0,1,1,1,1,2942.8
0,0,1,1,0,1,0,0,1,0,0,0,1,0,2931.3
0,1,1,1,1,0,0,1,0,0,1,1,0,1,2947.0
0,0,1,1,0,0,1,1,0,0,1,0,0,1,2935.7
1,1,1,0,1,1,1,0,1,0,0,0,1,0,2923.7
1,1,0,0,1,0,1,0,0,1,0,0,0,0,2933.4
0,0,1,1,1,1,0,1,0,1,0,1,1,1,2959.4
0,0,1,1,1,0,1,0,0,1,1,0,1,1,2932.0
0,1,0,0,1,0,0,0,1,1,0,0,1,0,2935.2
0,0,1,0,0,0,1,1,0,0,1,1,0,0,2977.1
1,1,0,0,0,0,0,1,1,1,1,0,0,0,2939.9
0,1,0,0,1,0,0,0,0,1,1,0,1,0,2959.5
0,0,1,1,0,0,0,1,0,0,0,0,0,0,2943.8
1,0,1,0,1,0,0,0,1,0,0,1,0,0,2939.1
1,0,1,1,1,0,0,1,0,0,0,1,1,0,2938.1
0,1,1,0,0,0,1,1,0,1,0,0,0,1,2941.6
1,0,1,1,0,0,0,0,0,0,1,0,1,0,2931.6
1,0,0,0,0,0,1,0,0,1,1,0,1,1,2934.5
1,1,1,1,0,1,0,1,0,0,0,1,1,0,2945.0
0,1,1,0,0,0,0,0,1,1,1,1,0,0,2933.6
1,1,1,1,0,0,0,1,1,1,0,0,0,0,2942.9
0,0,0,1,1,0,0,0,0,1,1,0,1,0,2936.0
1,1,0,0,1,0,0,0,1,1,0,0,1,0,2946.8
0,1,1,0,0,0,1,0,1,1,0,0,1,1,2946.5
1,1,1,0,0,1,0,0,1,1,0,1,1,0,2947.7
0,1,0,1,0,1,1,1,1,1,1,0,1,1,2949.4
0,1,1,0,0,1,0,0,1,0,1,1,0,0,2944.0
1,0,0,0,1,1,0,0,1,1,0,1,1,1,2941.6
0,0,1,0,0,1,1,1,1,0,1,1,1,0,2961.2
0,1,0,1,1,0,1,1,1,0,1,0,0,1,2938.9
1,0,1,0,0,0,0,0,1,0,0,0,1,1,2930.4
0,1,1,0,0,0,1,0,0,0,0,0,1,1,2967.2
0,1,1,0,0,1,0,0,0,1,1,1,1,1,2957.4
0,1,0,1,0,0,0,0,0,0,0,0,1,1,2930.5
0,0,1,0,1,0,0,1,1,0,1,0,0,0,2938.6
1,1,0,0,0,1,1,0,1,0,0,1,0,1,2944.7
1,0,0,0,0,0,1,0,1,1,0,0,1,1,2941.9
0,1,1,1,0,1,0,0,1,0,1,0,1,0,2951.4
0,0,0,1,0,0,0,1,1,0,0,0,1,0,2932.5
1,0,1,0,1,0,0,0,0,1,0,1,1,0,2932.6
1,0,0,1,1,0,1,0,1,1,1,0,0,1,2941.2
1,1,1,0,1,0,1,0,1,1,0,0,1,1,2954.2
0,1,1,1,0,0,1,1,1,0,1,1,1,0,2977.3
1,1,0,1,1,0,1,1,1,0,0,1,1,0,2963.2
1,0,1,0,0,1,0,1,0,1,1,0,1,0,2965.7
0,1,0,0,1,0,0,0,1,0,1,0,1,1,2946.2
1,0,0,1,1,0,1,0,0,0,1,0,0,0,2930.8
1,0,1,0,1,1,1,0,0,1,0,0,0,1,2937.4
1,1,1,1,0,0,0,1,1,1,1,1,0,1,2946.8
1,1,1,0,0,0,0,1,0,1,0,1,0,0,2946.2
1,0,0,1,1,1,0,0,0,0,0,0,0,1,2950.9
0,1,1,1,0,0,0,1,1,0,1,1,0,1,2927.8
0,1,0,1,1,0,0,0,0,0,0,1,0,1,2937.0
0,0,0,0,0,1,1,0,1,1,1,0,0,0,2926.2
0,1,1,0,0,0,0,1,0,1,1,0,1,0,2933.9
0,1,1,0,1,1,0,0,0,1,0,1,1,1,2935.3
1,1,1,1,0,1,1,1,0,1,0,0,1,0,2925.2
0,1,0,0,1,0,1,0,1,1,0,1,0,0,2939.1
1,1,0,1,0,1,1,0,0,1,1,1,1,0,2939.2
1,1,1,0,1,0,1,1,1,0,1,0,0,1,2924.4
1,0,0,0,0,1,1,0,1,1,1,1,1,0,2949.9
0,0,1,1,0,1,1,1,1,1,1,0,0,0,2930.7
0,1,0,1,1,0,1,1,1,0,0,0,1,1,2950.5
1,0,1,1,0,0,1,0,1,0,0,1,1,1,2923.9
0,1,0,0,1,0,1,0,1,0,0,0,1,1,2908.7
1,1,1,1,1,0,1,0,1,1,0,0,0,0,2939.0
0,1,0,1,0,0,1,0,0,1,1,1,0,0,2949.3
1,1,1,1,1,1,1,1,1,1,0,0,0,0,2931.7
0,1,0,1,1,0,1,0,1,0,1,1,0,0,2925.5
1,0,0,1,1,0,0,0,0,1,1,0,0,1,2962.0
1,1,0,1,0,1,1,0,0,1,1,1,0,0,2944.5
0,0,1,1,1,1,0,0,1,0,0,0,0,1,2926.4
0,0,1,0,0,0,0,0,1,1,1,1,0,0,2932.7
0,0,1,0,0,1,0,0,0,0,1,0,1,0,2930.0
1,0,1,0,0,1,1,0,0,1,1,0,0,0,2938.6
1,0,0,1,0,0,1,0,1,0,1,1,0,1,2936.8
0,0,1,1,1,0,1,0,0,1,1,0,1,0,2935.5
1,1,1,1,0,1,1,0,0,0,1,0,1,1,2915.4
1,1,0,1,1,1,0,1,0,0,1,1,1,1,2937.4
0,1,0,1,1,0,1,0,1,0,0,0,0,0,2933.0
1,0,0,0,1,0,1,1,1,0,0,1,1,1,2921.9
0,0,1,0,1,1,1,0,0,0,0,1,1,0,2938.6
1,0,1,0,0,1,1,0,0,0,1,0,1,0,2964.5
0,0,0,0,1,1,0,1,1,1,1,1,0,1,2934.6
0,0,0,1,0,1,1,0,0,1,0,0,1,1,2923.2
1,1,0,1,0,0,0,0,1,1,1,1,0,0,2937.8
0,1,1,1,0,1,0,1,1,0,1,1,1,1,2945.9
0,1,1,1,0,1,1,1,0,0,0,1,1,1,2945.2
1,0,0,0,0,0,1,0,0,1,0,1,1,0,2944.4
1,1,1,0,1,1,1,1,0,0,0,0,1,1,2925.0
1,1,1,1,0,0,0,1,1,0,1,0,0,0,2909.3
0,0,0,1,0,0,1,1,1,1,0,1,0,0,2936.0
0,0,1,1,0,1,0,0,0,1,1,0,1,0,2927.1
0,0,0,1,1,0,0,1,0,1,0,1,1,1,2943.6
1,1,0,1,1,1,0,1,0,0,1,0,0,1,2920.2
1,0,1,1,1,1,1,1,0,1,0,0,0,1,2937.1
0,0,1,0,1,0,1,0,1,0,0,0,1,0,2919.5
0,1,0,0,0,1,0,0,0,0,0,1,1,0,2932.6
0,0,1,0,1,0,0,0,0,1,1,0,0,0,2919.9
1,1,0,1,0,1,1,0,1,0,0,0,1,1,2937.6
1,0,0,1,0,0,0,1,1,0,1,0,1,1,2919.6
1,1,0,1,1,0,1,0,0,1,1,0,0,1,2932.6
0,0,0,0,1,0,0,0,1,1,1,0,1,1,2922.4
0,1,1,0,0,0,0,1,0,1,0,1,1,1,2939.2
1,0,1,0,0,1,0,0,1,0,1,0,0,0,2919.7
0,1,0,1,1,1,0,0,1,0,1,0,0,0,2929.0
0,1,1,0,0,0,1,0,0,1,1,0,1,1,2942.8
1,0,0,1,1,0,1,1,0,1,0,1,1,1,2923.4
1,0,1,1,0,1,0,1,1,0,1,1,1,1,2932.2
0,0,1,1,1,0,1,1,1,1,1,0,1,1,2924.4
1,0,1,1,1,0,1,1,1,0,0,0,0,0,2905.0
1,0,1,1,1,1,0,0,0,0,1,0,1,0,2921.2
0,0,1,0,0,0,1,1,0,1,0,1,1,0,2932.7
1,1,1,0,1,1,1,1,0,0,0,1,1,1,2924.9
0,1,0,1,0,1,1,0,1,0,1,0,1,1,2913.9
0,1,1,1,0,0,0,0,1,1,1,0,0,0,2948.6
0,1,0,1,0,1,0,1,0,0,0,0,1,1,2911.5
1,1,0,0,1,0,0,1,0,0,0,1,1,0,2934.9
0,1,0,1,1,0,0,0,1,0,1,0,0,1,2921.9
0,1,1,0,0,1,1,0,0,1,0,0,0,0,2931.3
0,0,1,1,1,1,1,0,0,1,0,1,1,1,2953.9
1,0,1,1,1,1,0,1,0,1,0,0,0,1,2938.0
1,1,1,0,1,0,1,0,1,1,0,0,0,0,2903.0
1,0,0,0,1,1,0,1,1,0,1,1,1,1,2942.3
0,1,1,0,1,1,1,1,1,1,1,0,1,1,2931.3
0,0,1,0,1,1,1,1,1,0,1,1,0,1,2960.4
0,0,1,1,1,0,0,1,1,1,0,1,1,1,2932.6
0,0,0,0,1,0,1,1,0,1,0,0,0,0,2924.7
1,1,1,1,1,1,1,1,0,0,0,0,1,1,2921.6
0,0,1,1,0,0,0,1,1,0,0,0,1,1,2908.9
0,0,1,0,1,1,1,0,1,1,1,1,0,0,2952.1
0,1,0,1,1,0,0,0,1,1,0,0,1,1,2926.5
0,0,1,1,1,0,1,0,0,1,1,1,1,0,2948.9
0,0,0,1,0,0,0,0,1,0,1,1,0,1,2934.4
0,0,0,0,0,1,1,0,1,1,1,0,0,1,2928.7
1,0,1,1,1,1,0,1,1,1,0,1,1,0,2939.0
1,0,0,0,1,0,1,1,0,0,1,0,1,0,2937.1
1,0,0,0,1,0,1,0,1,0,1,0,1,0,2931.2
0,0,0,1,0,1,1,1,0,0,1,1,1,0,2953.6
1,1,0,1,1,1,0,1,1,0,0,1,0,1,2969.5
0,1,0,0,0,1,1,1,0,1,0,0,1,0,2914.7
1,1,1,0,0,1,1,1,1,1,0,1,1,1,2945.6
1,1,0,1,1,0,1,1,0,1,0,0,0,1,2950.6
0,1,1,0,0,1,0,1,0,0,1,1,0,1,2933.7
1,1,1,0,0,1,0,1,0,1,1,1,0,0,2933.8
1,1,0,1,1,1,1,0,0,0,1,0,1,0,2921.6
1,0,0,0,0,0,1,0,0,1,0,1,1,1,2932.4
1,1,0,1,1,0,1,1,0,1,0,1,0,1,2947.3
0,1,1,0,0,1,0,0,1,1,0,0,1,1,2954.2
1,1,1,1,1,1,1,0,1,1,1,0,0,0,2936.9
1,1,1,0,1,1,1,0,1,1,0,0,1,1,2908.5
0,0,1,0,1,1,1,1,1,0,0,1,1,1,2939.2
1,0,0,1,1,1,1,1,1,1,0,1,0,1,2936.7
1,0,1,1,1,0,0,0,1,1,0,0,1,1,2946.0
1,0,0,1,1,1,1,0,1,1,1,1,1,0,2944.1
0,0,1,1,1,0,1,1,1,1,0,1,0,0,2940.2
1,0,0,0,0,0,1,0,1,1,0,0,0,1,2930.3
0,1,0,0,1,0,1,0,1,0,0,0,1,0,2916.3
1,0,0,1,1,1,0,1,0,0,0,1,1,1,2913.3
0,0,1,0,0,1,1,1,1,0,0,0,0,1,2926.8
1,1,0,1,1,0,1,1,0,0,1,0,0,0,2932.5
0,1,0,0,1,1,1,1,1,0,1,1,0,1,2937.1
1,0,1,0,1,0,1,1,1,1,1,0,0,1,2933.7
1,0,0,0,1,0,1,1,1,0,1,0,0,1,2934.7
0,0,1,1,1,0,1,0,1,1,1,1,0,1,2956.6
1,1,1,1,0,0,0,0,0,0,0,0,1,0,2943.5
0,1,1,1,1,0,0,1,0,0,0,0,1,1,2931.4
1,1,0,1,1,0,1,0,1,0,1,1,0,1,2934.6
1,0,1,0,1,1,1,0,1,0,1,1,0,1,2934.3
0,0,0,1,0,1,0,0,1,0,0,1,0,0,2949.0
0,0,0,1,0,0,1,0,1,0,0,0,0,1,2911.5
0,1,1,1,1,0,0,0,1,0,1,1,0,0,2938.9
0,1,0,1,0,0,0,0,1,1,1,1,1,0,2945.5
0,0,0,1,1,1,0,1,1,1,1,1,1,1,2923.2
1,1,1,0,0,0,1,1,0,1,1,1,0,0,2962.9
0,1,0,0,0,1,1,1,0,0,1,0,1,0,2933.7
1,1,0,1,0,0,0,0,0,0,0,0,1,0,2948.0
0,0,1,1,0,0,1,0,1,1,1,1,1,1,2944.1
1,1,1,1,1,0,1,0,1,0,1,1,1,1,2945.9
1,0,1,1,1,0,0,0,0,1,1,1,0,1,2949.8
0,0,0,1,0,0,1,0,1,1,0,0,0,1,2926.5
1,0,0,1,0,1,0,0,1,0,1,1,1,1,2951.4
1,1,0,0,1,0,1,0,0,0,0,0,1,1,2925.8
0,1,1,0,0,1,0,0,0,1,1,1,0,1,2927.8
1,1,1,0,0,0,0,0,1,0,0,0,0,1,2933.6
0,0,1,0,1,1,0,0,0,0,1,0,0,1,2931.1
1,1,1,1,0,1,1,0,0,1,1,0,1,1,2929.1
0,1,0,0,1,1,0,0,0,1,1,1,0,0,2946.4
0,0,0,1,0,0,0,0,0,1,1,0,0,1,2929.0
0,0,1,1,1,1,1,0,0,0,1,1,1,1,2941.3
0,0,1,1,0,1,0,1,1,1,1,1,0,1,2942.3
0,0,1,0,1,0,1,0,1,1,0,1,0,0,2950.9
1,1,1,0,0,1,0,1,0,1,0,0,1,0,2935.7
0,1,1,0,0,0,0,1,0,1,1,1,1,1,2926.5
0,0,0,1,1,1,0,0,0,1,1,1,1,0,2930.3
0,1,0,0,0,1,1,0,1,1,1,1,1,0,2943.8
1,1,0,1,0,0,1,1,1,0,1,0,1,0,2922.7
1,0,1,0,1,0,1,0,0,1,1,1,1,1,2947.4
1,1,0,0,0,1,0,1,0,1,1,0,1,0,2943.0
1,1,0,1,1,1,0,0,1,1,1,1,1,0,2957.3
0,1,1,1,0,0,0,1,1,1,1,1,0,0,2972.1
0,1,1,1,0,1,0,0,0,0,0,0,0,0,2926.9
1,0,1,0,0,0,1,0,0,0,1,0,1,0,2911.4
1,0,0,0,1,0,1,1,0,1,0,0,0,1,2957.3
0,0,1,0,0,1,0,0,0,0,0,0,1,1,2918.9
0,1,0,0,1,0,0,0,0,1,0,0,1,1,2907.1
0,0,1,0,1,0,1,1,0,0,1,1,0,0,2929.2
1,1,0,1,0,0,0,1,0,1,1,1,0,1,2944.2
0,0,1,0,0,1,0,0,1,0,0,1,0,1,2921.5
0,0,0,1,0,1,1,0,0,0,1,1,0,0,2942.6
0,0,1,1,1,0,0,0,1,0,0,0,0,1,2925.7
0,1,0,1,1,0,0,0,1,0,1,0,0,0,2912.3
1,0,0,0,0,0,1,0,1,0,1,1,1,1,2966.8
0,0,0,1,0,0,0,0,0,0,1,0,0,0,2944.3
1,1,1,1,0,0,0,0,1,1,1,1,1,0,2947.4
0,0,0,0,0,0,1,1,0,0,0,0,1,1,2921.7
0,1,0,0,0,1,1,0,1,0,1,1,0,0,2937.4
0,0,0,0,1,1,0,1,1,1,0,0,0,0,2922.3
0,0,1,0,0,0,1,1,1,0,0,0,0,1,2929.7
0,0,1,0,1,0,1,0,0,0,1,1,1,1,2935.3
0,0,1,1,0,1,1,1,1,0,0,0,1,0,2923.3
0,0,1,0,1,1,0,1,0,1,0,0,1,1,2944.3
1,1,0,1,0,0,0,0,0,0,0,1,1,0,2933.8
0,1,1,0,0,0,1,0,1,1,0,0,0,0,2945.6
1,1,0,1,1,1,0,0,0,1,0,0,0,1,2920.7
1,0,1,0,1,1,0,0,1,1,1,0,1,1,2934.5
1,0,0,0,1,1,1,0,0,1,1,0,1,1,2930.9
1,1,1,0,1,0,1,0,1,1,1,0,0,0,2931.6
1,1,0,1,0,0,1,0,0,0,1,0,1,1,2916.5
1,1,1,0,0,1,1,0,1,0,0,0,0,0,2930.9
1,1,0,0,0,0,0,1,1,0,0,1,1,0,2946.8
0,0,1,1,0,0,1,1,0,0,0,1,1,1,2958.6
0,1,0,1,0,1,0,1,1,1,1,1,0,1,2934.5
0,1,1,0,1,1,0,1,0,1,0,0,1,1,2925.1
1,1,1,0,0,1,0,0,0,1,0,1,1,0,2955.0
1,0,1,0,0,1,0,0,1,0,1,1,1,1,2918.6
1,1,0,1,0,1,0,0,0,1,0,0,1,0,2920.9
0,0,1,1,0,1,1,0,0,1,0,1,1,0,2942.2
0,1,0,0,1,0,1,1,0,1,0,1,1,1,2938.4
0,1,0,1,0,0,0,1,0,1,1,1,0,1,2942.5
1,0,1,1,1,0,0,0,1,1,1,0,1,1,2916.9
0,1,0,0,0,0,1,0,0,1,1,1,0,1,2936.6
0,0,0,1,0,1,1,0,1,1,1,1,1,1,2935.0
1,0,0,0,0,1,0,0,1,0,0,1,1,0,2925.7
0,0,0,0,0,1,0,0,1,1,1,0,0,1,2932.0
1,0,1,1,0,0,1,1,0,1,1,1,1,1,2951.7
0,0,0,0,1,0,1,1,0,0,1,1,0,0,2936.2
0,1,1,1,1,0,1,1,0,1,1,0,1,0,2906.1
0,1,1,0,1,0,1,0,1,0,0,1,1,1,2942.5
1,1,0,1,0,1,0,0,1,0,1,0,1,1,2953.7
0,0,1,1,1,0,1,1,0,0,0,1,1,1,2918.1
1,1,1,0,0,0,0,1,1,0,0,0,1,0,2934.7
0,0,0,1,0,1,1,1,1,0,0,1,0,1,2940.4
1,1,0,0,0,0,1,0,1,1,1,0,0,1,2926.2
0,1,1,0,1,0,0,1,1,0,0,0,0,1,2891.6
1,1,0,1,0,1,1,0,0,1,1,1,0,1,2933.6
1,1,1,0,1,0,1,0,1,0,0,1,0,0,2933.9
0,1,1,0,1,0,0,1,1,1,0,0,0,0,2953.1
1,1,0,0,0,0,1,1,0,1,0,0,1,1,2946.9
0,1,1,0,1,0,1,1,1,1,0,0,0,1,2933.3
0,0,1,0,1,1,0,1,0,0,0,1,1,0,2930.5
0,1,0,1,1,1,1,0,1,1,1,1,0,1,2935.7
0,0,1,1,0,0,0,0,1,1,0,0,0,0,2919.1
1,1,0,0,0,1,0,0,1,0,1,1,0,1,2943.8
0,1,0,1,0,1,1,0,1,1,0,0,1,0,2933.9
0,0,1,1,0,0,0,1,1,0,1,1,1,0,2938.9
0,0,1,1,0,1,0,1,1,0,1,1,0,1,2937.7
0,1,0,0,0,1,0,0,1,0,1,0,0,1,2922.5
1,0,1,0,0,1,0,1,1,1,0,1,1,1,2952.3
0,1,1,1,1,0,0,0,1,0,0,0,0,0,2926.7
1,1,0,1,0,1,0,1,0,1,1,0,1,1,2962.4
1,1,1,1,1,1,0,1,1,0,0,1,1,0,2915.9
0,1,0,1,0,0,0,1,0,0,1,0,0,0,2928.4
0,1,0,0,1,0,1,1,1,0,1,1,1,1,2958.1
1,1,0,1,0,1,0,0,0,0,0,0,0,1,2911.3
0,1,1,0,1,0,1,0,1,0,0,1,1,0,2932.6
0,0,0,0,0,1,1,1,0,0,0,0,0,1,2936.9
0,1,1,0,0,1,1,1,0,0,0,0,1,1,2929.3
1,0,0,1,1,1,0,1,1,0,1,1,1,1,2927.7
0,1,0,0,1,1,1,0,0,1,0,0,1,1,2923.4
1,0,0,1,1,0,0,0,0,1,0,1,0,1,2947.0
0,1,0,0,0,0,0,1,1,0,1,0,0,1,2899.2
1,1,1,0,0,1,1,0,0,0,1,0,0,1,2920.8
0,1,0,1,0,1,1,0,0,0,1,0,1,0,2919.0
1,1,1,0,0,1,0,1,1,1,1,1,0,0,2930.4
