SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readseq.8
0,0,0,1,0,1,1,0,0,1,1,1,1,0,3.498
0,0,0,0,1,0,1,0,0,1,0,0,0,1,3.415
0,1,0,1,0,1,0,1,0,0,1,0,1,1,3.526
1,1,0,0,0,1,0,0,1,1,0,1,0,1,3.483
1,0,0,1,1,1,0,1,1,1,0,0,1,1,3.388
1,1,1,1,0,0,1,0,1,1,1,0,1,0,3.485
0,1,1,1,1,1,1,0,0,1,0,1,1,0,3.611
1,0,1,0,1,0,0,1,1,1,0,0,0,1,3.398
1,0,1,1,1,0,1,0,1,1,1,1,1,0,3.539
1,0,0,1,1,1,0,1,1,0,1,1,0,0,3.461
0,1,0,1,0,1,1,0,0,1,0,1,0,0,3.522
0,0,0,1,0,1,0,1,0,1,1,1,0,0,3.539
0,1,0,0,1,1,0,0,1,0,1,0,1,0,3.574
0,1,1,1,1,0,0,1,0,1,0,0,1,0,3.411
1,1,0,1,1,0,0,1,1,0,1,0,0,0,3.463
0,0,1,0,1,1,0,1,1,1,0,0,0,0,3.448
1,0,0,0,1,0,0,1,1,0,0,1,0,1,3.42
1,1,0,0,0,0,0,1,0,0,1,1,1,1,3.433
1,1,0,1,0,0,1,0,0,1,0,1,0,0,3.544
0,0,0,0,0,1,0,1,1,0,0,1,0,1,3.593
0,1,1,1,1,0,0,0,0,1,0,0,1,1,3.48
1,0,0,0,1,1,0,0,1,1,1,0,0,0,3.626
0,1,1,1,0,0,0,0,0,0,1,0,1,1,3.537
1,1,1,1,1,0,0,1,0,1,1,0,1,0,3.544
1,1,0,1,0,0,0,0,1,1,0,0,1,1,3.486
0,0,1,0,0,0,1,0,1,1,0,1,0,0,3.395
0,1,1,0,1,1,0,1,1,0,0,1,1,0,3.417
1,0,0,1,1,0,1,1,0,0,0,1,1,0,3.514
1,1,1,0,0,0,1,0,1,0,0,0,0,1,3.544
0,0,0,0,1,0,0,0,1,0,1,0,1,0,3.469
0,0,0,0,1,0,0,0,0,1,1,1,1,0,3.507
1,0,1,1,1,1,0,1,0,0,0,1,0,0,3.427
0,1,0,1,0,0,0,0,1,0,0,0,0,1,3.705
0,1,0,1,0,0,0,0,0,0,1,1,0,1,3.543
1,1,0,1,1,1,0,1,0,0,0,0,0,0,3.649
0,1,1,0,0,0,1,0,0,1,1,1,0,0,3.332
0,1,1,0,0,0,0,1,0,1,1,0,0,1,3.459
1,1,1,0,1,1,0,0,1,0,1,1,1,1,3.699
0,0,0,0,1,0,1,0,1,0,1,0,1,0,3.492
0,0,0,1,1,1,0,0,0,0,0,1,1,1,3.46
1,0,0,0,1,0,1,1,0,0,1,0,1,0,3.429
1,0,0,1,0,1,0,1,1,0,0,0,1,0,3.396
0,1,1,0,0,0,1,1,1,1,1,1,0,0,3.391
1,0,1,1,0,0,0,0,1,1,1,0,1,0,3.498
0,0,0,1,1,0,0,1,0,1,1,0,1,1,3.512
1,1,1,1,1,0,0,1,1,1,0,0,1,0,3.479
1,0,1,0,0,1,1,1,1,0,1,1,0,1,3.514
0,1,0,1,1,1,0,0,1,1,0,0,1,0,3.372
0,1,1,1,1,1,1,0,1,1,1,0,1,0,3.45
0,1,0,1,0,0,1,1,1,1,1,0,0,0,3.427
1,0,1,1,1,0,1,0,1,1,0,1,1,0,3.462
1,0,0,1,1,1,1,0,0,0,1,1,1,0,3.529
1,0,0,1,0,0,1,1,0,0,0,0,0,1,3.496
1,1,1,0,0,1,0,0,1,0,1,0,1,1,3.558
0,0,1,1,0,1,0,1,1,1,0,0,0,0,3.548
1,0,0,0,1,1,0,1,0,1,1,1,1,0,3.562
1,1,1,0,0,0,0,1,0,0,0,0,0,1,3.466
0,0,1,0,1,1,1,0,0,0,1,0,0,0,3.444
1,1,1,0,0,0,0,0,0,1,1,0,0,0,3.365
0,0,0,0,0,1,1,1,1,0,0,1,1,0,3.355
0,0,1,1,1,0,1,1,0,0,1,0,0,0,3.525
0,1,0,0,0,1,1,1,1,1,0,1,1,0,3.396
0,0,0,1,0,0,0,0,0,1,1,0,0,1,3.591
1,0,0,0,1,1,0,1,0,1,1,1,0,0,3.542
0,0,1,1,0,0,1,1,0,1,1,1,1,0,3.419
0,1,1,1,1,0,1,0,0,0,1,0,1,0,3.608
0,0,0,1,0,0,0,0,0,1,0,1,1,0,3.503
0,1,0,1,0,0,1,0,0,1,1,0,1,1,3.489
0,0,1,1,1,0,1,0,1,1,1,0,1,0,3.611
0,0,0,1,1,0,1,0,1,1,0,0,1,0,3.494
0,0,1,0,0,0,0,0,1,0,1,0,1,1,3.427
0,0,1,0,1,0,1,0,0,0,0,0,0,1,3.553
0,1,1,1,1,1,1,0,1,1,0,1,1,1,3.396
1,1,0,1,0,0,0,1,0,1,0,1,0,0,3.675
1,0,1,1,0,0,0,1,1,1,1,0,0,0,3.693
1,1,0,0,1,1,1,0,0,0,0,1,1,0,3.522
1,0,0,1,1,1,1,0,1,1,1,1,0,1,3.716
