SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrandom.6
0,0,0,1,0,1,1,0,0,1,1,1,1,0,6.757
0,0,0,0,1,0,1,0,0,1,0,0,0,1,6.779
0,1,0,1,0,1,0,1,0,0,1,0,1,1,6.581
1,1,0,0,0,1,0,0,1,1,0,1,0,1,6.453
1,0,0,1,1,1,0,1,1,1,0,0,1,1,6.841
1,1,1,1,0,0,1,0,1,1,1,0,1,0,6.564
0,1,1,1,1,1,1,0,0,1,0,1,1,0,6.544
1,0,1,0,1,0,0,1,1,1,0,0,0,1,6.669
1,0,1,1,1,0,1,0,1,1,1,1,1,0,6.314
1,0,0,1,1,1,0,1,1,0,1,1,0,0,6.976
0,1,0,1,0,1,1,0,0,1,0,1,0,0,7.058
0,0,0,1,0,1,0,1,0,1,1,1,0,0,6.475
0,1,0,0,1,1,0,0,1,0,1,0,1,0,9.266
0,1,1,1,1,0,0,1,0,1,0,0,1,0,13.296
1,1,0,1,1,0,0,1,1,0,1,0,0,0,75.106
0,0,1,0,1,1,0,1,1,1,0,0,0,0,80.991
1,0,0,0,1,0,0,1,1,0,0,1,0,1,83.558
1,1,0,0,0,0,0,1,0,0,1,1,1,1,77.333
1,1,0,1,0,0,1,0,0,1,0,1,0,0,29.84
0,0,0,0,0,1,0,1,1,0,0,1,0,1,25.186
0,1,1,1,1,0,0,0,0,1,0,0,1,1,24.672
1,0,0,0,1,1,0,0,1,1,1,0,0,0,18.94
0,1,1,1,0,0,0,0,0,0,1,0,1,1,24.616
1,1,1,1,1,0,0,1,0,1,1,0,1,0,21.939
1,1,0,1,0,0,0,0,1,1,0,0,1,1,21.266
0,0,1,0,0,0,1,0,1,1,0,1,0,0,16.949
0,1,1,0,1,1,0,1,1,0,0,1,1,0,18.925
1,0,0,1,1,0,1,1,0,0,0,1,1,0,19.09
1,1,1,0,0,0,1,0,1,0,0,0,0,1,16.003
0,0,0,0,1,0,0,0,1,0,1,0,1,0,16.002
0,0,0,0,1,0,0,0,0,1,1,1,1,0,16.748
1,0,1,1,1,1,0,1,0,0,0,1,0,0,18.099
0,1,0,1,0,0,0,0,1,0,0,0,0,1,18.526
0,1,0,1,0,0,0,0,0,0,1,1,0,1,14.56
1,1,0,1,1,1,0,1,0,0,0,0,0,0,15.515
0,1,1,0,0,0,1,0,0,1,1,1,0,0,18.457
0,1,1,0,0,0,0,1,0,1,1,0,0,1,13.866
1,1,1,0,1,1,0,0,1,0,1,1,1,1,14.244
0,0,0,0,1,0,1,0,1,0,1,0,1,0,12.352
0,0,0,1,1,1,0,0,0,0,0,1,1,1,12.499
1,0,0,0,1,0,1,1,0,0,1,0,1,0,12.023
1,0,0,1,0,1,0,1,1,0,0,0,1,0,13.686
0,1,1,0,0,0,1,1,1,1,1,1,0,0,13.257
1,0,1,1,0,0,0,0,1,1,1,0,1,0,14.427
0,0,0,1,1,0,0,1,0,1,1,0,1,1,11.977
1,1,1,1,1,0,0,1,1,1,0,0,1,0,10.719
1,0,1,0,0,1,1,1,1,0,1,1,0,1,12.951
0,1,0,1,1,1,0,0,1,1,0,0,1,0,12.377
0,1,1,1,1,1,1,0,1,1,1,0,1,0,12.555
0,1,0,1,0,0,1,1,1,1,1,0,0,0,11.94
1,0,1,1,1,0,1,0,1,1,0,1,1,0,15.297
1,0,0,1,1,1,1,0,0,0,1,1,1,0,16.989
1,0,0,1,0,0,1,1,0,0,0,0,0,1,19.383
1,1,1,0,0,1,0,0,1,0,1,0,1,1,19.396
0,0,1,1,0,1,0,1,1,1,0,0,0,0,18.109
1,0,0,0,1,1,0,1,0,1,1,1,1,0,17.337
1,1,1,0,0,0,0,1,0,0,0,0,0,1,16.448
0,0,1,0,1,1,1,0,0,0,1,0,0,0,16.384
1,1,1,0,0,0,0,0,0,1,1,0,0,0,15.848
0,0,0,0,0,1,1,1,1,0,0,1,1,0,16.94
0,0,1,1,1,0,1,1,0,0,1,0,0,0,14.26
0,1,0,0,0,1,1,1,1,1,0,1,1,0,14.048
0,0,0,1,0,0,0,0,0,1,1,0,0,1,14.007
1,0,0,0,1,1,0,1,0,1,1,1,0,0,17.449
0,0,1,1,0,0,1,1,0,1,1,1,1,0,17.575
0,1,1,1,1,0,1,0,0,0,1,0,1,0,15.259
0,0,0,1,0,0,0,0,0,1,0,1,1,0,13.16
0,1,0,1,0,0,1,0,0,1,1,0,1,1,10.596
0,0,1,1,1,0,1,0,1,1,1,0,1,0,10.903
0,0,0,1,1,0,1,0,1,1,0,0,1,0,11.494
0,0,1,0,0,0,0,0,1,0,1,0,1,1,10.142
