SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrandom.1
0,0,0,1,0,1,1,0,0,1,1,1,1,0,6.461
0,0,0,0,1,0,1,0,0,1,0,0,0,1,6.43
0,1,0,1,0,1,0,1,0,0,1,0,1,1,6.138
1,1,0,0,0,1,0,0,1,1,0,1,0,1,6.365
1,0,0,1,1,1,0,1,1,1,0,0,1,1,6.19
1,1,1,1,0,0,1,0,1,1,1,0,1,0,6.346
0,1,1,1,1,1,1,0,0,1,0,1,1,0,6.24
1,0,1,0,1,0,0,1,1,1,0,0,0,1,6.287
1,0,1,1,1,0,1,0,1,1,1,1,1,0,6.19
1,0,0,1,1,1,0,1,1,0,1,1,0,0,6.848
0,1,0,1,0,1,1,0,0,1,0,1,0,0,6.408
0,0,0,1,0,1,0,1,0,1,1,1,0,0,6.282
0,1,0,0,1,1,0,0,1,0,1,0,1,0,6.483
0,1,1,1,1,0,0,1,0,1,0,0,1,0,6.363
1,1,0,1,1,0,0,1,1,0,1,0,0,0,6.225
0,0,1,0,1,1,0,1,1,1,0,0,0,0,6.326
1,0,0,0,1,0,0,1,1,0,0,1,0,1,6.31
1,1,0,0,0,0,0,1,0,0,1,1,1,1,6.219
1,1,0,1,0,0,1,0,0,1,0,1,0,0,6.253
0,0,0,0,0,1,0,1,1,0,0,1,0,1,6.578
0,1,1,1,1,0,0,0,0,1,0,0,1,1,6.52
1,0,0,0,1,1,0,0,1,1,1,0,0,0,6.344
0,1,1,1,0,0,0,0,0,0,1,0,1,1,6.114
1,1,1,1,1,0,0,1,0,1,1,0,1,0,6.336
1,1,0,1,0,0,0,0,1,1,0,0,1,1,6.462
0,0,1,0,0,0,1,0,1,1,0,1,0,0,6.317
0,1,1,0,1,1,0,1,1,0,0,1,1,0,6.379
1,0,0,1,1,0,1,1,0,0,0,1,1,0,6.166
1,1,1,0,0,0,1,0,1,0,0,0,0,1,6.32
0,0,0,0,1,0,0,0,1,0,1,0,1,0,6.169
0,0,0,0,1,0,0,0,0,1,1,1,1,0,6.331
1,0,1,1,1,1,0,1,0,0,0,1,0,0,6.415
0,1,0,1,0,0,0,0,1,0,0,0,0,1,6.471
0,1,0,1,0,0,0,0,0,0,1,1,0,1,6.206
1,1,0,1,1,1,0,1,0,0,0,0,0,0,6.217
0,1,1,0,0,0,1,0,0,1,1,1,0,0,6.505
0,1,1,0,0,0,0,1,0,1,1,0,0,1,6.412
1,1,1,0,1,1,0,0,1,0,1,1,1,1,6.125
0,0,0,0,1,0,1,0,1,0,1,0,1,0,6.181
0,0,0,1,1,1,0,0,0,0,0,1,1,1,6.318
1,0,0,0,1,0,1,1,0,0,1,0,1,0,6.645
1,0,0,1,0,1,0,1,1,0,0,0,1,0,6.164
0,1,1,0,0,0,1,1,1,1,1,1,0,0,6.365
1,0,1,1,0,0,0,0,1,1,1,0,1,0,6.373
0,0,0,1,1,0,0,1,0,1,1,0,1,1,6.311
1,1,1,1,1,0,0,1,1,1,0,0,1,0,6.261
1,0,1,0,0,1,1,1,1,0,1,1,0,1,6.282
0,1,0,1,1,1,0,0,1,1,0,0,1,0,6.395
0,1,1,1,1,1,1,0,1,1,1,0,1,0,6.252
0,1,0,1,0,0,1,1,1,1,1,0,0,0,6.302
1,0,1,1,1,0,1,0,1,1,0,1,1,0,6.427
1,0,0,1,1,1,1,0,0,0,1,1,1,0,6.189
1,0,0,1,0,0,1,1,0,0,0,0,0,1,6.3
1,1,1,0,0,1,0,0,1,0,1,0,1,1,6.356
0,0,1,1,0,1,0,1,1,1,0,0,0,0,6.331
1,0,0,0,1,1,0,1,0,1,1,1,1,0,6.34
1,1,1,0,0,0,0,1,0,0,0,0,0,1,6.311
0,0,1,0,1,1,1,0,0,0,1,0,0,0,6.225
1,1,1,0,0,0,0,0,0,1,1,0,0,0,6.317
0,0,0,0,0,1,1,1,1,0,0,1,1,0,6.379
0,0,1,1,1,0,1,1,0,0,1,0,0,0,6.385
0,1,0,0,0,1,1,1,1,1,0,1,1,0,6.318
0,0,0,1,0,0,0,0,0,1,1,0,0,1,6.838
1,0,0,0,1,1,0,1,0,1,1,1,0,0,6.278
0,0,1,1,0,0,1,1,0,1,1,1,1,0,6.281
0,1,1,1,1,0,1,0,0,0,1,0,1,0,6.557
0,0,0,1,0,0,0,0,0,1,0,1,1,0,6.357
0,1,0,1,0,0,1,0,0,1,1,0,1,1,6.459
0,0,1,1,1,0,1,0,1,1,1,0,1,0,6.246
0,0,0,1,1,0,1,0,1,1,0,0,1,0,6.466
0,0,1,0,0,0,0,0,1,0,1,0,1,1,6.208
0,0,1,0,1,0,1,0,0,0,0,0,0,1,6.333
0,1,1,1,1,1,1,0,1,1,0,1,1,1,6.377
1,1,0,1,0,0,0,1,0,1,0,1,0,0,6.269
1,0,1,1,0,0,0,1,1,1,1,0,0,0,6.369
1,1,0,0,1,1,1,0,0,0,0,1,1,0,6.341
1,0,0,1,1,1,1,0,1,1,1,1,0,1,6.482
0,0,0,0,0,1,0,1,0,0,0,0,0,1,6.426
1,1,1,1,1,1,1,1,1,1,1,0,0,1,6.351
0,0,1,1,0,0,1,1,0,0,1,1,0,0,6.33
1,1,1,0,1,0,1,1,1,1,0,1,0,0,6.342
0,0,0,1,1,0,0,0,0,1,1,0,1,0,6.316
1,1,0,0,1,0,0,0,1,0,0,1,1,0,6.207
0,1,0,1,1,0,0,0,0,0,0,1,1,0,6.252
1,0,0,1,0,1,0,0,1,1,1,1,1,0,6.363
1,1,1,1,1,1,0,0,1,1,1,0,0,0,6.324
1,0,1,0,1,1,0,0,1,1,1,1,0,1,6.472
0,0,1,1,0,1,0,1,0,0,1,1,0,1,6.305
0,1,0,1,0,0,1,1,1,1,1,0,1,1,6.236
1,0,0,1,1,1,1,0,1,0,0,1,1,0,6.664
1,0,0,1,1,0,1,0,1,1,0,1,1,0,6.395
0,0,1,1,0,0,0,0,1,1,0,0,1,0,6.378
0,0,0,0,1,1,1,1,1,0,1,0,1,0,6.207
1,0,0,1,1,1,1,1,1,0,1,0,0,1,6.356
1,1,0,0,0,1,0,0,1,0,0,1,0,0,6.324
1,0,1,1,0,0,0,0,0,0,1,1,0,0,6.259
1,0,1,0,1,0,0,0,1,0,0,1,0,0,6.2
0,1,1,1,1,1,0,1,1,0,0,0,0,0,6.297
0,1,0,0,0,1,0,0,1,0,1,1,0,0,6.245
1,0,0,0,1,1,0,0,0,1,1,0,0,1,6.22
1,1,0,1,1,0,0,1,1,0,0,1,0,0,6.35
1,0,1,1,0,1,0,1,1,1,1,0,1,1,6.312
0,1,1,0,1,1,1,0,0,1,1,0,0,1,6.233
1,1,0,1,0,0,1,1,0,0,1,1,1,0,6.317
0,1,0,1,1,0,1,1,0,1,1,0,1,0,6.326
1,0,0,1,1,0,1,1,0,1,0,1,0,1,6.697
1,1,1,0,1,0,0,0,1,0,0,0,0,1,6.218
0,0,1,1,0,0,1,0,0,1,0,1,0,1,6.28
0,1,1,0,0,0,1,1,0,0,1,0,0,1,6.522
0,1,1,1,1,1,0,0,0,1,1,1,0,1,6.283
1,0,1,0,0,0,1,0,1,0,0,1,0,0,6.237
0,0,1,0,0,1,1,0,1,0,0,0,1,1,6.317
1,1,1,0,0,0,0,1,0,0,1,1,1,1,6.219
0,0,0,1,0,1,1,1,1,1,0,0,0,0,6.389
0,1,1,0,0,0,0,0,1,0,1,1,1,1,6.173
0,1,0,0,0,0,0,1,0,1,1,1,1,0,6.278
0,1,1,1,1,0,1,1,1,1,1,0,0,0,6.421
0,0,0,1,1,0,0,0,0,1,1,1,0,1,6.382
