SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readseq.12
0,0,0,1,0,1,1,0,0,1,1,1,1,0,2.366
0,0,0,0,1,0,1,0,0,1,0,0,0,1,2.422
0,1,0,1,0,1,0,1,0,0,1,0,1,1,2.261
1,1,0,0,0,1,0,0,1,1,0,1,0,1,2.232
1,0,0,1,1,1,0,1,1,1,0,0,1,1,2.396
1,1,1,1,0,0,1,0,1,1,1,0,1,0,2.492
0,1,1,1,1,1,1,0,0,1,0,1,1,0,2.33
1,0,1,0,1,0,0,1,1,1,0,0,0,1,2.451
1,0,1,1,1,0,1,0,1,1,1,1,1,0,2.433
1,0,0,1,1,1,0,1,1,0,1,1,0,0,2.446
0,1,0,1,0,1,1,0,0,1,0,1,0,0,2.491
0,0,0,1,0,1,0,1,0,1,1,1,0,0,2.222
0,1,0,0,1,1,0,0,1,0,1,0,1,0,3.361
0,1,1,1,1,0,0,1,0,1,0,0,1,0,5.155
1,1,0,1,1,0,0,1,1,0,1,0,0,0,30.831
0,0,1,0,1,1,0,1,1,1,0,0,0,0,30.668
1,0,0,0,1,0,0,1,1,0,0,1,0,1,30.182
1,1,0,0,0,0,0,1,0,0,1,1,1,1,31.736
1,1,0,1,0,0,1,0,0,1,0,1,0,0,11.78
0,0,0,0,0,1,0,1,1,0,0,1,0,1,8.878
0,1,1,1,1,0,0,0,0,1,0,0,1,1,9.47
1,0,0,0,1,1,0,0,1,1,1,0,0,0,6.614
0,1,1,1,0,0,0,0,0,0,1,0,1,1,7.892
1,1,1,1,1,0,0,1,0,1,1,0,1,0,7.976
1,1,0,1,0,0,0,0,1,1,0,0,1,1,8.299
0,0,1,0,0,0,1,0,1,1,0,1,0,0,6.755
0,1,1,0,1,1,0,1,1,0,0,1,1,0,6.671
1,0,0,1,1,0,1,1,0,0,0,1,1,0,7.763
1,1,1,0,0,0,1,0,1,0,0,0,0,1,5.715
0,0,0,0,1,0,0,0,1,0,1,0,1,0,5.944
0,0,0,0,1,0,0,0,0,1,1,1,1,0,6.678
1,0,1,1,1,1,0,1,0,0,0,1,0,0,7.317
0,1,0,1,0,0,0,0,1,0,0,0,0,1,7.177
0,1,0,1,0,0,0,0,0,0,1,1,0,1,5.612
1,1,0,1,1,1,0,1,0,0,0,0,0,0,5.453
0,1,1,0,0,0,1,0,0,1,1,1,0,0,7.333
0,1,1,0,0,0,0,1,0,1,1,0,0,1,4.891
1,1,1,0,1,1,0,0,1,0,1,1,1,1,5.294
0,0,0,0,1,0,1,0,1,0,1,0,1,0,4.679
0,0,0,1,1,1,0,0,0,0,0,1,1,1,4.829
1,0,0,0,1,0,1,1,0,0,1,0,1,0,4.386
1,0,0,1,0,1,0,1,1,0,0,0,1,0,4.763
0,1,1,0,0,0,1,1,1,1,1,1,0,0,4.978
1,0,1,1,0,0,0,0,1,1,1,0,1,0,5.321
0,0,0,1,1,0,0,1,0,1,1,0,1,1,4.211
1,1,1,1,1,0,0,1,1,1,0,0,1,0,3.968
1,0,1,0,0,1,1,1,1,0,1,1,0,1,4.703
0,1,0,1,1,1,0,0,1,1,0,0,1,0,4.763
0,1,1,1,1,1,1,0,1,1,1,0,1,0,4.71
0,1,0,1,0,0,1,1,1,1,1,0,0,0,4.291
1,0,1,1,1,0,1,0,1,1,0,1,1,0,5.818
1,0,0,1,1,1,1,0,0,0,1,1,1,0,6.481
1,0,0,1,0,0,1,1,0,0,0,0,0,1,6.737
1,1,1,0,0,1,0,0,1,0,1,0,1,1,7.19
0,0,1,1,0,1,0,1,1,1,0,0,0,0,6.155
1,0,0,0,1,1,0,1,0,1,1,1,1,0,6.575
1,1,1,0,0,0,0,1,0,0,0,0,0,1,6.009
0,0,1,0,1,1,1,0,0,0,1,0,0,0,6.12
1,1,1,0,0,0,0,0,0,1,1,0,0,0,6.481
0,0,0,0,0,1,1,1,1,0,0,1,1,0,5.542
0,0,1,1,1,0,1,1,0,0,1,0,0,0,5.523
0,1,0,0,0,1,1,1,1,1,0,1,1,0,5.148
0,0,0,1,0,0,0,0,0,1,1,0,0,1,5.196
1,0,0,0,1,1,0,1,0,1,1,1,0,0,6.791
0,0,1,1,0,0,1,1,0,1,1,1,1,0,6.264
0,1,1,1,1,0,1,0,0,0,1,0,1,0,5.548
0,0,0,1,0,0,0,0,0,1,0,1,1,0,4.871
0,1,0,1,0,0,1,0,0,1,1,0,1,1,3.945
0,0,1,1,1,0,1,0,1,1,1,0,1,0,3.946
0,0,0,1,1,0,1,0,1,1,0,0,1,0,4.026
0,0,1,0,0,0,0,0,1,0,1,0,1,1,4.202
0,0,1,0,1,0,1,0,0,0,0,0,0,1,4.604
