step_size,percentage,loss,x264,storm-obj2,storm-obj1,sac,spear
1,0.09,7,22.0,167.25,369.75,448.125,2259.625
1,0.13,3,21.0,167.625,461.5,399.0,1101.0
1,0.13,4,24.25,167.25,434.75,399.0,1898.5
1,0.13,5,18.5,168.0,354.125,399.0,1430.625
1,0.13,6,27.75,168.0,461.5,399.0,1994.875
1,0.13,7,18.5,168.0,369.75,424.0,2760.875
1,0.15,3,22.0,167.625,461.5,399.0,1682.25
1,0.15,4,22.0,171.25,402.25,495.5,2300.875
1,0.15,5,18.5,167.25,520.375,430.75,2863.75
1,0.15,6,19.5,167.25,402.25,399.0,2658.0
1,0.15,7,22.75,169.625,369.75,374.75,1520.375
1,0.18,3,22.0,167.25,402.25,399.0,582.0
1,0.18,4,28.5,167.625,520.375,399.0,1781.875
1,0.18,5,23.5,168.0,369.75,348.75,1898.5
1,0.18,6,17.0,167.25,434.75,349.625,1844.125
1,0.18,7,23.5,167.25,402.25,373.875,1744.5
1,0.1,3,21.25,167.25,488.25,399.0,1620.0
1,0.1,4,22.0,164.0,434.75,374.75,582.0
1,0.1,5,22.0,167.25,369.75,348.75,2658.0
1,0.1,6,36.0,169.625,402.25,399.0,1055.75
1,0.1,7,22.0,168.0,369.75,399.0,1943.75
1,0.2,3,22.0,168.0,369.75,399.0,1101.0
1,0.2,4,26.5,168.0,402.25,399.0,1620.0
1,0.2,5,22.0,167.25,369.75,399.0,2616.75
1,0.2,6,42.25,167.25,369.75,424.0,1620.0
1,0.2,7,32.25,169.625,369.75,348.75,2922.75
2,0.05,3,22.0,167.25,434.75,463.125,2300.875
2,0.05,4,22.0,167.25,369.75,414.875,1943.75
2,0.05,5,22.0,167.25,434.75,348.75,2214.375
2,0.05,6,13.0,167.25,369.75,348.75,2661.25
2,0.05,7,20.25,167.25,531.5,373.875,582.0
2,0.07,3,17.0,169.625,402.25,399.0,1943.75
2,0.07,4,18.5,167.25,369.75,399.0,2664.5
2,0.07,5,18.5,167.25,434.75,373.875,1637.75
2,0.07,6,16.75,171.25,369.75,348.75,1943.75
2,0.07,7,17.0,164.0,369.75,348.75,2664.5
2,0.09,3,18.5,167.25,402.25,348.75,1520.375
2,0.09,4,17.0,167.25,369.75,373.875,2139.0
2,0.09,5,22.0,167.25,434.75,331.375,1682.25
2,0.09,6,22.0,168.0,369.75,340.5,2300.875
2,0.09,7,17.0,167.25,338.5,399.0,2664.5
2,0.13,3,18.5,168.0,429.0,349.625,1943.75
2,0.13,4,15.0,167.25,369.75,399.0,1217.625
2,0.13,5,22.0,168.0,343.0,399.0,2863.75
2,0.13,6,18.5,167.625,338.5,348.75,582.0
2,0.13,7,22.0,168.0,369.75,399.0,1736.625
2,0.15,3,22.0,167.25,354.125,348.75,1055.75
2,0.15,4,22.0,165.625,434.75,374.75,1781.875
2,0.15,5,25.0,167.625,402.25,399.0,1898.5
2,0.15,6,22.0,167.25,369.75,414.875,2760.875
2,0.15,7,22.0,168.0,354.125,399.0,1637.75
2,0.18,3,22.0,168.0,343.0,399.0,1781.875
2,0.18,4,21.25,167.625,369.75,348.75,1620.0
2,0.18,5,22.0,165.625,461.5,350.5,2818.5
2,0.18,6,19.5,167.625,316.25,415.75,2863.75
2,0.18,7,22.0,167.25,369.75,374.75,1943.75
2,0.1,3,21.25,167.25,461.5,348.75,582.0
2,0.1,4,15.25,167.25,488.25,414.875,2259.625
2,0.1,5,13.5,167.25,369.75,399.0,2259.625
2,0.1,6,18.75,167.625,354.125,399.0,1736.625
2,0.1,7,23.5,167.25,369.75,348.75,1781.875
2,0.2,3,15.0,167.625,369.75,348.75,1781.875
2,0.2,4,22.0,164.0,434.75,348.75,1376.25
2,0.2,5,22.0,167.25,338.5,348.75,1943.75
2,0.2,6,27.0,167.25,402.25,399.875,1736.625
2,0.2,7,13.25,167.25,338.5,399.0,2719.625
4,0.05,3,17.0,167.25,327.375,399.0,1538.125
4,0.05,4,22.0,167.25,354.125,399.0,2674.375
4,0.05,5,22.0,167.25,369.75,348.75,2575.5
4,0.05,6,14.75,165.625,434.75,348.75,1055.75
4,0.05,7,18.5,167.25,369.75,349.625,1781.875
4,0.07,3,17.75,167.25,338.5,349.625,1943.75
4,0.07,4,22.0,167.25,354.125,374.75,1798.875
4,0.07,5,22.0,164.0,327.375,348.75,1262.875
4,0.07,6,16.75,167.25,369.75,348.75,2616.75
4,0.07,7,17.0,167.25,369.75,348.75,1430.625
4,0.09,3,22.0,167.25,402.25,340.5,1574.75
4,0.09,4,13.0,167.625,338.5,374.75,1637.75
4,0.09,5,17.0,167.25,369.75,350.5,2773.25
4,0.09,6,22.0,167.25,369.75,348.75,1853.25
4,0.09,7,19.5,167.25,369.75,399.0,582.0
4,0.13,3,22.0,167.25,434.75,348.75,1574.75
4,0.13,4,19.5,167.25,354.125,348.75,1943.75
4,0.13,5,23.0,164.0,354.125,373.875,2764.125
4,0.13,6,22.0,167.25,369.75,399.0,1520.375
4,0.13,7,15.25,167.25,369.75,348.75,2160.0
