../Data/spear_0.csv,1.0,1.5,2.0,4.0,4.5,6.0,3.0,1.5,2.0
../Data/spear_1.csv,1.0,1.0,4.0,4.0,2.0,2.0,2.5,3.5,1.0
../Data/spear_2.csv,1.0,1.5,2.0,2.0,4.0,5.0,4.5,4.0,6.5
../Data/spear_3.csv,1.0,3.0,2.5,9.5,6.0,6.0,12.5,20.5,8.0
../Data/spear_4.csv,1.5,2.5,3.0,4.0,6.0,6.0,6.5,6.0,5.5
../Data/spear_5.csv,1.0,2.0,3.0,4.0,3.5,5.5,6.5,9.5,10.0
../Data/spear_6.csv,1.0,2.5,4.0,5.5,5.5,4.5,11.5,8.5,13.5
../Data/spear_7.csv,1.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0
../Data/spear_8.csv,1.0,2.0,3.0,5.0,8.0,7.0,12.0,10.5,11.5
../Data/spear_9.csv,1.0,5.5,6.5,4.0,4.5,10.0,10.0,9.0,10.5
