Source,../Data/spear_0.csv,../Data/spear_1.csv,../Data/spear_2.csv,../Data/spear_3.csv,../Data/spear_4.csv,../Data/spear_5.csv,../Data/spear_6.csv,../Data/spear_7.csv,../Data/spear_8.csv,../Data/spear_9.csv
../Data/spear_0.csv,X,1.0,0.0,1.0,3.0,3.0,2.0,2.0,4.0,7.0
../Data/spear_1.csv,3.0,X,0.0,1.5,4.0,4.5,2.5,1.0,2.0,4.0
../Data/spear_2.csv,1.0,2.0,X,3.0,2.5,1.0,1.0,0.5,2.5,1.5
../Data/spear_3.csv,2.0,0.0,6.0,X,3.0,4.0,2.5,0.0,3.5,8.0
../Data/spear_4.csv,4.5,5.0,5.5,1.5,X,2.5,2.0,2.0,7.5,7.0
../Data/spear_5.csv,2.5,3.5,0.0,3.0,4.0,X,2.0,2.0,4.0,3.0
../Data/spear_6.csv,2.0,2.5,1.0,1.0,1.5,5.5,X,1.0,4.5,7.0
../Data/spear_7.csv,1.0,0.5,0.5,0.5,2.5,4.0,3.0,X,2.0,3.0
../Data/spear_8.csv,4.0,3.0,2.5,3.0,4.0,2.0,2.0,2.0,X,5.5
../Data/spear_9.csv,4.5,5.5,1.0,4.5,3.0,2.5,4.5,3.0,5.0,X
