Source,../Data/x264_0.csv,../Data/x264_1.csv,../Data/x264_10.csv,../Data/x264_11.csv,../Data/x264_12.csv,../Data/x264_13.csv,../Data/x264_14.csv,../Data/x264_15.csv,../Data/x264_16.csv,../Data/x264_17.csv,../Data/x264_18.csv,../Data/x264_19.csv,../Data/x264_2.csv,../Data/x264_20.csv,../Data/x264_3.csv,../Data/x264_4.csv,../Data/x264_5.csv,../Data/x264_6.csv,../Data/x264_7.csv,../Data/x264_8.csv,../Data/x264_9.csv
../Data/x264_0.csv,X,1.0,5.0,0.5,2.0,2.0,1.5,1.0,11.5,9.5,1.5,11.5,1.0,11.5,1.0,1.5,1.0,5.0,2.5,3.0,4.5
../Data/x264_1.csv,3.5,X,1.0,0.0,3.0,2.0,2.0,2.0,12.5,9.0,1.5,17.5,1.0,6.5,1.5,1.0,0.5,30.0,3.0,2.0,8.0
../Data/x264_10.csv,11.0,1.0,X,0.0,10.0,2.0,2.0,9.0,14.5,11.0,3.5,13.5,4.0,8.0,1.0,1.5,4.0,1.5,0.0,0.0,0.0
../Data/x264_11.csv,7.5,2.0,0.0,X,7.0,2.0,1.0,13.0,11.0,11.0,2.5,18.0,2.5,12.5,7.0,1.0,2.0,1.0,0.0,1.0,1.5
../Data/x264_12.csv,5.5,19.0,33.5,33.0,X,7.5,4.5,6.5,8.5,10.0,3.0,11.0,4.0,16.5,2.5,18.0,3.0,10.5,35.0,31.5,32.5
../Data/x264_13.csv,1.0,1.0,27.0,15.0,2.0,X,1.0,5.5,11.0,13.5,4.0,12.0,2.5,9.0,2.0,0.0,1.0,24.0,1.0,1.0,9.5
../Data/x264_14.csv,1.0,1.0,16.0,0.0,2.0,0.5,X,23.0,10.0,10.5,2.0,17.0,1.0,8.0,1.0,1.0,2.0,33.5,13.5,32.0,17.5
../Data/x264_15.csv,8.0,10.0,15.0,10.5,11.5,14.0,5.0,X,15.5,15.0,7.5,14.5,9.5,11.0,5.0,10.0,5.5,21.0,19.5,14.5,10.5
../Data/x264_16.csv,10.0,6.5,14.0,6.5,15.0,4.0,10.5,12.0,X,9.5,11.0,13.0,5.0,9.5,5.0,3.0,6.5,9.5,10.0,8.5,9.5
../Data/x264_17.csv,12.0,5.5,14.0,13.5,5.0,6.0,7.0,19.0,12.5,X,19.0,14.0,5.5,14.5,11.0,8.0,6.5,12.0,6.5,4.5,11.0
../Data/x264_18.csv,1.0,2.0,6.0,8.0,0.5,3.0,2.0,1.0,6.5,15.5,X,12.5,1.0,11.0,1.5,1.0,1.5,3.0,17.5,10.5,14.5
../Data/x264_19.csv,9.0,5.5,18.0,13.0,16.0,8.0,6.0,15.0,14.0,5.0,9.5,X,9.0,8.5,8.0,6.0,11.0,24.0,7.0,23.5,33.5
../Data/x264_2.csv,1.0,1.0,29.5,2.0,0.5,1.0,1.0,2.0,9.0,8.5,1.0,10.0,X,5.0,2.0,1.0,0.0,28.5,14.5,17.0,8.0
../Data/x264_20.csv,6.0,6.5,23.5,11.0,12.5,6.5,9.0,21.0,16.5,14.5,14.0,15.0,7.5,X,13.5,5.5,7.0,29.5,23.5,7.5,6.5
../Data/x264_3.csv,1.0,3.0,14.5,4.5,1.5,1.5,1.5,3.5,9.5,11.5,1.5,14.5,0.5,9.5,X,2.0,2.5,10.0,7.0,14.0,15.5
../Data/x264_4.csv,1.0,0.0,1.0,2.0,2.0,0.0,0.0,3.5,9.5,8.5,2.0,14.0,0.0,11.0,1.0,X,1.0,9.0,1.5,17.0,8.0
../Data/x264_5.csv,0.5,1.0,2.0,1.0,4.0,1.0,0.5,2.5,10.5,4.0,1.0,15.5,0.0,10.5,1.0,1.5,X,19.5,27.0,31.5,5.0
../Data/x264_6.csv,7.0,7.5,4.0,3.0,3.5,3.0,6.0,13.0,12.0,14.5,2.0,13.5,10.0,10.5,5.0,9.5,6.0,X,3.0,7.0,1.0
../Data/x264_7.csv,3.5,1.0,0.0,0.0,6.0,4.0,2.5,3.5,10.5,7.0,2.5,13.5,5.5,12.0,6.0,1.0,3.5,1.0,X,0.0,2.0
../Data/x264_8.csv,8.0,1.0,0.0,1.0,4.0,2.0,2.5,7.0,10.0,11.5,3.5,13.5,4.0,8.5,2.5,2.0,4.0,2.0,0.0,X,0.0
../Data/x264_9.csv,6.0,4.5,1.0,3.5,3.0,9.0,11.5,30.5,17.5,12.5,4.0,11.5,9.0,12.0,4.5,4.5,6.5,0.0,1.0,1.0,X
