Source,../Data/sqlite_32.csv,../Data/sqlite_57.csv,../Data/sqlite_60.csv,../Data/sqlite_71.csv,../Data/sqlite_74.csv,../Data/sqlite_81.csv,../Data/sqlite_85.csv,../Data/sqlite_87.csv,../Data/sqlite_88.csv,../Data/sqlite_90.csv,../Data/sqlite_91.csv,../Data/sqlite_94.csv,../Data/sqlite_95.csv,../Data/sqlite_96.csv,../Data/sqlite_97.csv
../Data/sqlite_32.csv,X,11.0,10.5,11.0,10.0,7.0,9.0,10.0,13.0,5.0,5.0,7.5,10.5,10.5,10.5
../Data/sqlite_57.csv,14.5,X,5.5,10.0,5.5,16.5,5.5,14.5,6.0,8.5,15.0,10.0,9.0,9.5,8.0
../Data/sqlite_60.csv,18.0,5.0,X,4.0,4.5,15.5,4.5,6.5,4.0,9.0,7.5,12.5,8.0,5.0,7.0
../Data/sqlite_71.csv,12.5,5.5,2.0,X,3.5,17.5,9.5,15.0,4.5,12.5,5.0,7.0,6.5,6.5,9.5
../Data/sqlite_74.csv,14.0,7.5,4.5,4.5,X,16.0,10.0,5.0,3.5,9.0,10.0,8.5,9.0,7.0,7.5
../Data/sqlite_81.csv,3.0,12.5,18.5,17.0,16.0,X,7.5,11.0,18.0,9.0,12.0,9.0,12.0,12.5,8.5
../Data/sqlite_85.csv,7.5,6.0,9.0,6.0,12.5,10.5,X,5.0,6.0,5.0,7.0,7.0,12.0,6.5,4.0
../Data/sqlite_87.csv,11.5,11.0,8.5,9.5,10.5,8.5,11.0,X,9.0,8.0,9.0,8.0,8.0,10.0,8.0
../Data/sqlite_88.csv,6.5,6.5,4.0,8.0,3.5,10.5,4.0,9.5,X,5.5,8.5,5.0,6.0,4.5,8.0
../Data/sqlite_90.csv,7.5,6.0,10.5,10.0,7.5,9.0,7.0,5.5,7.0,X,9.5,8.0,6.0,9.0,7.5
../Data/sqlite_91.csv,4.5,9.0,9.5,5.5,8.5,5.0,7.5,10.0,6.5,7.0,X,6.5,9.5,12.0,7.5
../Data/sqlite_94.csv,8.5,8.5,9.5,7.5,13.0,13.0,10.0,9.5,4.0,10.0,14.5,X,9.0,5.5,11.0
../Data/sqlite_95.csv,7.0,8.5,16.0,7.5,10.0,11.5,12.5,13.5,13.5,6.5,10.0,8.5,X,7.5,10.5
../Data/sqlite_96.csv,15.0,8.0,9.5,8.5,8.5,14.5,8.5,5.0,11.5,9.5,10.5,11.0,8.0,X,6.5
../Data/sqlite_97.csv,7.0,4.5,4.5,4.0,7.5,14.0,9.5,12.0,9.5,8.0,8.0,3.0,7.0,6.0,X
