Source,../Data/x264_0.csv,../Data/x264_1.csv,../Data/x264_10.csv,../Data/x264_11.csv,../Data/x264_12.csv,../Data/x264_13.csv,../Data/x264_14.csv,../Data/x264_15.csv,../Data/x264_16.csv,../Data/x264_17.csv,../Data/x264_18.csv,../Data/x264_19.csv,../Data/x264_2.csv,../Data/x264_20.csv,../Data/x264_3.csv,../Data/x264_4.csv,../Data/x264_5.csv,../Data/x264_6.csv,../Data/x264_7.csv,../Data/x264_8.csv,../Data/x264_9.csv
../Data/x264_0.csv,X,2.0,9.0,17.0,1.5,3.5,1.5,1.0,7.0,5.5,0.5,5.0,1.0,7.5,1.0,2.5,6.5,6.0,6.0,15.0,10.0
../Data/x264_1.csv,1.0,X,12.0,14.5,4.0,0.0,0.0,10.5,2.5,4.0,1.0,5.5,0.0,3.5,1.0,0.0,0.0,15.5,0.5,1.0,5.5
../Data/x264_10.csv,4.5,2.0,X,0.0,4.5,4.0,1.5,12.5,4.5,7.0,5.0,5.0,1.0,8.0,2.0,1.0,0.0,1.5,0.0,0.0,0.5
../Data/x264_11.csv,3.5,2.0,0.0,X,4.0,3.5,2.0,9.0,4.5,6.5,8.5,8.0,2.5,4.0,5.0,3.0,1.0,1.0,0.0,1.0,0.5
../Data/x264_12.csv,2.5,11.5,9.0,13.0,X,9.5,3.5,4.0,7.0,5.0,1.5,6.0,3.0,7.0,2.0,4.0,8.0,4.5,7.0,7.5,6.5
../Data/x264_13.csv,1.0,0.0,0.0,12.5,3.0,X,1.0,5.5,3.5,4.5,1.5,6.0,0.0,4.0,1.5,0.5,0.0,7.5,1.5,1.0,5.5
../Data/x264_14.csv,1.5,0.5,1.0,8.5,4.5,1.0,X,8.0,5.0,4.0,2.0,5.5,0.0,5.0,1.0,1.0,0.0,3.0,5.5,2.0,7.0
../Data/x264_15.csv,4.5,9.5,11.0,10.5,5.5,9.5,6.0,X,8.0,6.5,7.5,9.5,8.0,7.5,7.0,9.5,14.5,6.5,11.0,15.0,12.5
../Data/x264_16.csv,2.5,5.5,9.0,4.5,7.5,7.5,6.0,8.0,X,6.5,4.0,6.5,2.5,4.5,4.5,3.0,4.0,5.5,11.0,9.5,4.5
../Data/x264_17.csv,5.0,6.0,8.5,10.0,5.0,4.5,2.0,7.5,4.5,X,2.5,8.0,1.5,4.5,8.0,5.5,4.5,9.0,7.5,7.0,10.0
../Data/x264_18.csv,1.5,0.5,15.0,12.0,1.0,4.5,1.0,3.0,6.0,4.5,X,11.0,4.0,4.5,3.5,1.5,4.0,13.0,16.5,4.0,15.5
../Data/x264_19.csv,8.0,10.5,8.5,10.0,8.0,6.5,9.5,4.0,6.5,3.5,8.5,X,12.0,10.0,5.5,12.5,12.5,11.5,7.5,8.5,17.0
../Data/x264_2.csv,0.5,1.0,2.0,14.5,8.5,1.0,1.0,7.5,5.0,4.0,1.5,4.5,X,1.0,1.0,1.0,1.0,3.5,0.0,10.0,4.5
../Data/x264_20.csv,6.0,3.5,2.5,8.5,5.0,3.0,2.5,7.5,9.5,3.0,2.0,6.5,3.0,X,8.0,3.0,5.0,2.0,6.5,15.0,7.5
../Data/x264_3.csv,1.5,2.0,8.0,12.0,2.5,2.0,1.0,2.0,5.5,4.0,1.0,7.0,1.0,3.0,X,1.5,2.5,12.0,10.0,12.5,8.0
../Data/x264_4.csv,1.0,0.0,6.5,12.5,3.0,0.0,0.0,3.5,4.0,5.0,0.5,4.5,0.0,1.5,1.0,X,0.0,11.0,13.5,1.5,9.5
../Data/x264_5.csv,1.0,0.0,1.5,15.5,2.0,0.0,0.0,8.0,4.0,4.0,2.0,5.0,1.0,4.0,1.0,1.0,X,9.0,1.0,1.5,5.5
../Data/x264_6.csv,5.0,3.5,1.0,2.5,3.5,11.5,4.5,2.0,5.0,9.0,4.0,5.5,7.0,4.5,4.0,3.0,2.0,X,1.5,2.0,0.5
../Data/x264_7.csv,6.5,2.0,0.0,0.0,8.0,2.5,1.0,6.0,5.0,6.0,8.0,5.0,1.0,7.5,6.0,2.0,1.0,1.0,X,0.0,0.0
../Data/x264_8.csv,4.0,2.0,1.0,0.0,4.5,3.5,3.0,4.0,4.5,7.5,8.0,8.0,2.0,4.5,3.0,1.0,1.5,1.0,1.0,X,0.0
../Data/x264_9.csv,4.0,5.5,1.0,3.0,6.0,5.0,6.0,4.5,6.0,9.0,3.0,5.0,4.5,7.0,8.5,2.5,5.0,1.0,3.5,2.0,X
