Source,../Data/spear_0.csv,../Data/spear_1.csv,../Data/spear_2.csv,../Data/spear_3.csv,../Data/spear_4.csv,../Data/spear_5.csv,../Data/spear_6.csv,../Data/spear_7.csv,../Data/spear_8.csv,../Data/spear_9.csv
../Data/spear_0.csv,X,1.0,8.0,2.0,4.0,3.5,4.0,0.0,3.0,6.5
../Data/spear_1.csv,1.0,X,6.5,2.0,2.0,1.0,2.0,2.0,1.5,11.5
../Data/spear_2.csv,2.0,2.0,X,5.0,3.0,1.0,2.0,2.0,2.0,5.0
../Data/spear_3.csv,2.5,2.5,9.0,X,4.5,3.5,2.0,6.5,4.0,12.0
../Data/spear_4.csv,5.0,3.0,3.5,5.0,X,3.0,2.0,3.5,6.0,8.0
../Data/spear_5.csv,2.5,3.5,1.0,4.5,2.5,X,2.0,2.5,3.0,4.0
../Data/spear_6.csv,2.0,5.5,4.0,3.0,5.5,1.0,X,1.0,4.0,8.0
../Data/spear_7.csv,1.0,2.0,2.0,2.5,2.5,6.5,1.5,X,2.5,7.0
../Data/spear_8.csv,3.5,0.5,8.5,3.0,4.5,8.0,3.0,2.0,X,12.0
../Data/spear_9.csv,6.0,6.5,3.5,5.0,6.0,2.0,4.5,4.0,6.0,X
