../Data/sqlite_32.csv,4.25,9.75,13.25,22.5,23.5,29.5,25.5,43.25,42.0
../Data/sqlite_57.csv,3.75,7.0,10.5,16.5,22.25,23.0,30.0,28.0,32.0
../Data/sqlite_60.csv,4.5,8.0,13.25,16.25,19.75,26.25,33.0,31.25,37.0
../Data/sqlite_71.csv,4.0,8.25,11.0,17.75,20.25,23.75,26.75,39.25,31.0
../Data/sqlite_74.csv,4.0,7.5,11.5,16.5,16.25,25.0,26.0,31.0,36.25
../Data/sqlite_81.csv,5.5,10.75,13.75,22.25,23.25,30.75,34.75,48.75,43.5
../Data/sqlite_85.csv,4.0,9.0,13.5,13.5,20.0,24.25,27.5,37.25,40.25
../Data/sqlite_87.csv,4.0,9.75,12.75,13.5,24.0,31.0,32.25,35.75,45.75
../Data/sqlite_88.csv,3.75,9.25,12.75,13.25,24.75,22.5,29.75,33.0,45.75
../Data/sqlite_90.csv,4.5,9.25,11.25,14.25,16.5,23.25,27.75,27.75,35.0
../Data/sqlite_91.csv,3.5,6.75,11.0,20.0,24.0,24.5,26.25,33.75,41.0
../Data/sqlite_94.csv,4.5,10.0,16.75,20.0,23.25,28.0,36.25,44.0,50.75
../Data/sqlite_95.csv,4.0,9.25,13.25,16.75,16.0,22.25,24.0,32.25,39.75
../Data/sqlite_96.csv,5.0,10.0,15.75,19.5,24.25,30.0,32.5,38.75,45.0
../Data/sqlite_97.csv,5.0,10.25,14.0,23.5,27.5,37.5,32.5,37.0,34.0
