Source,../Data/sqlite_32.csv,../Data/sqlite_57.csv,../Data/sqlite_60.csv,../Data/sqlite_71.csv,../Data/sqlite_74.csv,../Data/sqlite_81.csv,../Data/sqlite_85.csv,../Data/sqlite_87.csv,../Data/sqlite_88.csv,../Data/sqlite_90.csv,../Data/sqlite_91.csv,../Data/sqlite_94.csv,../Data/sqlite_95.csv,../Data/sqlite_96.csv,../Data/sqlite_97.csv
../Data/sqlite_32.csv,X,50.0,43.0,31.0,30.5,20.0,27.0,22.5,42.5,25.5,21.5,19.0,22.5,24.0,31.5
../Data/sqlite_57.csv,44.0,X,8.5,8.0,12.5,42.5,26.5,18.0,15.0,29.5,17.5,26.0,21.0,30.5,26.5
../Data/sqlite_60.csv,38.5,10.0,X,16.0,6.0,43.5,26.0,28.5,9.0,24.5,22.5,25.0,25.0,40.5,17.5
../Data/sqlite_71.csv,44.5,10.5,15.0,X,12.5,43.5,29.0,24.5,11.0,36.5,17.0,25.5,26.0,16.5,33.0
../Data/sqlite_74.csv,31.0,6.0,9.0,7.0,X,46.5,25.0,16.5,10.5,26.0,34.5,22.5,22.5,30.0,15.5
../Data/sqlite_81.csv,15.5,26.5,33.5,28.0,31.5,X,30.5,19.0,46.5,17.0,34.5,36.5,29.0,21.0,14.0
../Data/sqlite_85.csv,32.0,24.0,18.0,27.5,17.0,31.0,X,24.5,14.0,18.5,21.0,27.0,20.5,24.0,28.0
../Data/sqlite_87.csv,12.5,22.5,29.5,29.0,42.0,20.0,42.5,X,34.5,7.5,19.0,24.5,24.0,25.0,32.0
../Data/sqlite_88.csv,26.0,17.0,29.0,38.5,18.5,33.0,23.0,15.0,X,20.0,39.5,22.0,8.5,19.0,28.0
../Data/sqlite_90.csv,16.0,30.0,15.0,24.0,15.0,14.0,21.0,16.0,23.0,X,15.0,15.5,18.0,12.0,24.0
../Data/sqlite_91.csv,18.0,18.5,14.5,25.0,10.5,23.5,23.5,14.5,24.5,13.0,X,23.0,16.0,26.5,29.5
../Data/sqlite_94.csv,29.0,29.5,33.5,26.0,36.5,27.0,15.0,20.0,31.5,35.0,26.0,X,36.0,14.0,14.5
../Data/sqlite_95.csv,15.0,19.5,15.5,17.0,11.0,13.5,22.0,12.0,27.0,28.0,17.0,19.0,X,32.0,23.0
../Data/sqlite_96.csv,30.0,21.5,14.5,26.0,19.5,32.0,33.5,25.0,17.0,21.0,21.0,22.5,15.0,X,23.0
../Data/sqlite_97.csv,38.5,32.0,25.5,14.5,17.0,19.5,19.5,16.5,19.5,27.0,26.5,25.0,21.5,29.5,X
