Source,../Data/x264_0.csv,../Data/x264_1.csv,../Data/x264_10.csv,../Data/x264_11.csv,../Data/x264_12.csv,../Data/x264_13.csv,../Data/x264_14.csv,../Data/x264_15.csv,../Data/x264_16.csv,../Data/x264_17.csv,../Data/x264_18.csv,../Data/x264_19.csv,../Data/x264_2.csv,../Data/x264_20.csv,../Data/x264_3.csv,../Data/x264_4.csv,../Data/x264_5.csv,../Data/x264_6.csv,../Data/x264_7.csv,../Data/x264_8.csv,../Data/x264_9.csv
../Data/x264_0.csv,X,2.0,37.5,9.0,2.0,1.0,1.5,9.5,15.0,4.5,1.0,15.5,1.0,12.0,0.0,1.0,1.0,35.5,6.5,37.0,30.0
../Data/x264_1.csv,1.0,X,1.0,2.0,2.5,1.0,1.0,6.5,12.5,13.0,1.0,19.0,1.0,7.5,1.0,0.0,1.0,8.0,2.0,38.5,34.0
../Data/x264_10.csv,3.0,2.0,X,0.0,7.0,2.0,2.0,14.5,14.0,9.5,5.0,15.5,3.0,5.5,2.0,2.0,1.5,0.0,0.0,0.0,0.0
../Data/x264_11.csv,3.5,2.0,0.0,X,5.0,1.0,3.0,16.0,14.0,14.5,11.0,18.5,2.5,12.0,2.5,3.0,2.0,0.0,0.0,1.0,2.5
../Data/x264_12.csv,1.0,6.0,20.5,28.5,X,1.5,4.0,16.0,22.5,18.0,1.5,15.5,12.0,13.5,5.5,3.0,9.5,15.5,19.0,14.0,23.0
../Data/x264_13.csv,1.5,2.0,17.0,39.0,3.0,X,1.0,25.5,11.0,9.5,1.5,20.0,1.0,10.5,1.0,1.0,1.5,33.0,3.0,2.0,33.5
../Data/x264_14.csv,0.5,0.5,17.5,38.5,1.0,1.5,X,18.0,10.0,10.0,2.0,18.0,1.5,11.0,1.0,1.0,0.5,23.5,21.0,21.5,6.5
../Data/x264_15.csv,4.0,11.5,10.5,25.0,11.0,10.5,11.5,X,9.0,13.0,10.0,20.0,6.0,21.5,11.0,4.5,4.5,6.5,17.5,18.5,8.0
../Data/x264_16.csv,12.5,11.0,14.0,43.5,13.0,7.0,11.5,16.0,X,16.0,6.5,21.5,7.5,15.0,9.0,7.0,6.5,38.5,21.0,20.5,34.5
../Data/x264_17.csv,13.5,7.0,3.5,19.0,19.0,11.0,1.0,20.5,11.5,X,18.5,22.5,7.0,9.5,5.0,7.5,7.0,16.0,17.5,8.5,36.0
../Data/x264_18.csv,2.0,7.5,19.0,38.5,2.0,2.5,3.0,3.0,13.0,7.5,X,9.0,1.0,3.0,1.5,1.0,3.5,1.5,37.0,39.0,34.0
../Data/x264_19.csv,18.5,16.5,29.5,19.5,33.0,14.5,15.5,14.0,19.0,16.0,30.0,X,16.0,23.0,32.5,19.5,8.5,30.5,16.0,41.5,43.5
../Data/x264_2.csv,0.5,1.0,19.0,39.0,1.0,1.0,0.5,17.5,12.0,13.0,0.5,19.0,X,11.5,1.0,0.0,1.0,9.5,2.0,39.0,33.0
../Data/x264_20.csv,6.5,4.0,46.0,25.0,23.0,5.0,6.0,17.0,18.5,16.0,5.5,15.5,6.5,X,9.0,11.0,15.0,22.0,29.0,41.5,41.5
../Data/x264_3.csv,0.0,1.0,33.5,37.0,2.5,3.0,1.5,7.5,11.0,10.5,0.5,17.0,1.0,8.0,X,1.0,2.0,1.5,14.0,3.5,35.5
../Data/x264_4.csv,0.5,0.0,20.5,38.0,1.5,1.0,1.0,9.5,9.0,7.0,1.0,15.5,0.0,12.0,0.5,X,0.5,34.0,36.5,3.5,23.0
../Data/x264_5.csv,1.0,1.0,19.0,39.5,2.0,1.0,1.0,42.0,12.5,12.0,1.0,16.5,1.0,7.0,2.0,0.0,X,12.0,2.5,2.0,38.0
../Data/x264_6.csv,6.5,6.5,2.5,3.5,6.0,8.0,5.5,6.0,17.0,13.0,5.0,10.0,9.5,12.5,3.5,6.0,12.0,X,5.0,2.5,0.0
../Data/x264_7.csv,3.5,2.5,0.0,1.0,12.0,1.5,2.5,16.0,13.0,11.0,5.0,14.0,3.0,11.0,3.5,2.0,3.5,0.0,X,1.0,0.5
../Data/x264_8.csv,13.0,3.0,0.0,0.0,13.5,1.5,2.0,20.5,13.5,13.0,21.5,13.5,3.0,14.0,3.5,4.5,3.5,0.5,0.0,X,1.0
../Data/x264_9.csv,7.0,8.0,2.5,4.5,12.0,2.5,9.0,34.0,15.5,19.5,11.0,11.5,8.0,15.0,3.5,8.5,5.0,0.0,1.5,1.0,X
