Source,../Data/sqlite_32.csv,../Data/sqlite_57.csv,../Data/sqlite_60.csv,../Data/sqlite_71.csv,../Data/sqlite_74.csv,../Data/sqlite_81.csv,../Data/sqlite_85.csv,../Data/sqlite_87.csv,../Data/sqlite_88.csv,../Data/sqlite_90.csv,../Data/sqlite_91.csv,../Data/sqlite_94.csv,../Data/sqlite_95.csv,../Data/sqlite_96.csv,../Data/sqlite_97.csv
../Data/sqlite_32.csv,X,19.0,17.5,19.0,25.5,6.5,13.0,12.5,27.5,14.5,11.0,13.0,17.5,14.0,8.5
../Data/sqlite_57.csv,20.0,X,5.5,8.0,8.5,26.5,7.5,8.5,7.5,13.0,14.0,17.0,12.0,10.0,10.0
../Data/sqlite_60.csv,15.5,6.5,X,10.5,13.0,28.5,12.5,18.0,5.5,13.5,9.0,15.5,8.5,8.0,10.0
../Data/sqlite_71.csv,21.5,14.0,12.0,X,10.5,28.0,8.0,11.0,5.0,13.5,11.5,11.5,13.5,11.0,11.5
../Data/sqlite_74.csv,14.0,6.0,9.0,4.5,X,23.5,7.5,12.0,5.0,11.0,15.5,11.5,13.0,18.5,9.5
../Data/sqlite_81.csv,6.0,15.0,28.5,18.0,22.5,X,14.0,12.0,27.0,19.0,17.5,13.0,11.5,9.0,12.5
../Data/sqlite_85.csv,10.5,10.0,4.0,11.0,8.0,13.5,X,13.5,14.5,14.5,8.0,12.0,12.5,9.0,12.0
../Data/sqlite_87.csv,13.5,10.5,10.0,18.5,24.0,12.5,17.0,X,18.5,10.0,13.0,16.5,14.5,13.0,19.5
../Data/sqlite_88.csv,15.0,8.5,5.0,10.0,13.0,12.0,13.5,8.0,X,7.0,12.5,9.5,7.0,10.0,6.5
../Data/sqlite_90.csv,9.0,17.0,14.0,7.0,13.0,14.5,5.0,6.5,18.0,X,17.5,9.5,5.5,8.0,15.0
../Data/sqlite_91.csv,14.5,15.5,5.5,12.5,15.5,12.0,13.5,21.5,9.5,13.0,X,16.0,8.0,5.5,19.5
../Data/sqlite_94.csv,17.0,18.0,15.5,19.0,11.0,16.0,15.0,10.0,14.0,19.0,9.0,X,17.0,18.5,14.5
../Data/sqlite_95.csv,11.5,9.5,8.0,11.5,9.5,12.0,6.0,10.0,20.5,13.0,8.0,13.0,X,13.5,4.5
../Data/sqlite_96.csv,14.0,12.5,18.0,16.0,12.0,15.0,21.5,21.5,22.0,20.5,16.5,15.0,16.0,X,19.5
../Data/sqlite_97.csv,17.0,11.0,22.0,13.0,20.5,11.5,15.5,12.5,15.0,8.5,21.5,15.5,18.5,15.5,X
