SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandom.5
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.185057709996
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.171883808563
0,1,0,1,0,1,0,1,0,0,1,0,1,1,0.0799928789722
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0.4362519657
1,0,0,1,1,1,0,1,1,1,0,0,1,1,0.0367029641278
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.163249562353
0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.23626976827
1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.141886478948
1,0,1,1,1,0,1,0,1,1,1,1,1,0,0.288787348307
1,0,0,1,1,1,0,1,1,0,1,1,0,0,0.128831261312
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0.305432750794
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0.144408509628
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0.210278016794
0,1,1,1,1,0,0,1,0,1,0,0,1,0,0.0783016348693
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0.0143904103492
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0.0342996172448
1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.1382369522
1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.258730676794
1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.345310506483
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.221641990327
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.298549090585
1,0,0,0,1,1,0,0,1,1,1,0,0,0,0.348455627096
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.00798148532772
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0.0368216479245
1,1,0,1,0,0,0,0,1,1,0,0,1,1,0.349998516453
0,0,1,0,0,0,1,0,1,1,0,1,0,0,0.419339524671
0,1,1,0,1,1,0,1,1,0,0,1,1,0,0.243895202208
1,0,0,1,1,0,1,1,0,0,0,1,1,0,0.32172210189
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0.0105628579058
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.373260540605
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0.343797288075
1,0,1,1,1,1,0,1,0,0,0,1,0,0,0.419220840875
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.00626057027564
0,1,0,1,0,0,0,0,0,0,1,1,0,1,0.128682906566
1,1,0,1,1,1,0,1,0,0,0,0,0,0,0.0144794231967
0,1,1,0,0,0,1,0,0,1,1,1,0,0,0.22585526511
0,1,1,0,0,0,0,1,0,1,1,0,0,1,0.0434382695902
1,1,1,0,1,1,0,0,1,0,1,1,1,1,0.118535441949
0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.00293742396819
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.475150580067
1,0,0,0,1,0,1,1,0,0,1,0,1,0,0.0
1,0,0,1,0,1,0,1,1,0,0,0,1,0,0.291161024241
0,1,1,0,0,0,1,1,1,1,1,1,0,0,0.322196837077
1,0,1,1,0,0,0,0,1,1,1,0,1,0,0.329021155387
0,0,0,1,1,0,0,1,0,1,1,0,1,1,0.376138622675
1,1,1,1,1,0,0,1,1,1,0,0,1,0,0.0929294128119
1,0,1,0,0,1,1,1,1,0,1,1,0,1,0.295077589532
0,1,0,1,1,1,0,0,1,1,0,0,1,0,0.338515859122
0,1,1,1,1,1,1,0,1,1,1,0,1,0,0.315224164021
0,1,0,1,0,0,1,1,1,1,1,0,0,0,0.144438180577
1,0,1,1,1,0,1,0,1,1,0,1,1,0,0.55368958253
1,0,0,1,1,1,1,0,0,0,1,1,1,0,0.452155594457
1,0,0,1,0,0,1,1,0,0,0,0,0,1,0.0419843930807
1,1,1,0,0,1,0,0,1,0,1,0,1,1,0.278432187046
0,0,1,1,0,1,0,1,1,1,0,0,0,0,0.0487196985432
1,0,0,0,1,1,0,1,0,1,1,1,1,0,0.370323116637
1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.0117496958728
0,0,1,0,1,1,1,0,0,0,1,0,0,0,0.0106815417025
1,1,1,0,0,0,0,0,0,1,1,0,0,0,0.189003946236
0,0,0,0,0,1,1,1,1,0,0,1,1,0,0.300062308993
0,0,1,1,1,0,1,1,0,0,1,0,0,0,0.015043171231
0,1,0,0,0,1,1,1,1,1,0,1,1,0,0.198498649972
0,0,0,1,0,0,0,0,0,1,1,0,0,1,0.066640951844
1,0,0,0,1,1,0,1,0,1,1,1,0,0,0.296027059906
0,0,1,1,0,0,1,1,0,1,1,1,1,0,0.221641990327
0,1,1,1,1,0,1,0,0,0,1,0,1,0,0.0855710174168
0,0,0,1,0,0,0,0,0,1,0,1,1,0,0.323027623654
0,1,0,1,0,0,1,0,0,1,1,0,1,1,0.0381865115865
0,0,1,1,1,0,1,0,1,1,1,0,1,0,0.204521852654
0,0,0,1,1,0,1,0,1,1,0,0,1,0,0.097558080883
0,0,1,0,0,0,0,0,1,0,1,0,1,1,0.0376227635522
0,0,1,0,1,0,1,0,0,0,0,0,0,1,0.0191674331662
0,1,1,1,1,1,1,0,1,1,0,1,1,1,0.144823902917
1,1,0,1,0,0,0,1,0,1,0,1,0,0,0.238584102305
1,0,1,1,0,0,0,1,1,1,1,0,0,0,0.041183277453
1,1,0,0,1,1,1,0,0,0,0,1,1,0,0.124024567546
1,0,0,1,1,1,1,0,1,1,1,1,0,1,0.252381093671
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.00999910987152
1,1,1,1,1,1,1,1,1,1,1,0,0,1,0.206569148147
0,0,1,1,0,0,1,1,0,0,1,1,0,0,0.243568821767
1,1,1,0,1,0,1,1,1,1,0,1,0,0,0.138563332641
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.0665816099457
1,1,0,0,1,0,0,0,1,0,0,1,1,0,0.0972910423404
0,1,0,1,1,0,0,0,0,0,0,1,1,0,0.196896418716
1,0,0,1,0,1,0,0,1,1,1,1,1,0,0.153458149126
1,1,1,1,1,1,0,0,1,1,1,0,0,0,0.0482152924072
1,0,1,0,1,1,0,0,1,1,1,1,0,1,0.247722754651
0,0,1,1,0,1,0,1,0,0,1,1,0,1,0.313888971308
0,1,0,1,0,0,1,1,1,1,1,0,1,1,0.0772928225974
1,0,0,1,1,1,1,0,1,0,0,1,1,0,0.368542859686
1,0,0,1,1,0,1,0,1,1,0,1,1,0,0.530516571225
0,0,1,1,0,0,0,0,1,1,0,0,1,0,0.0569385514643
0,0,0,0,1,1,1,1,1,0,1,0,1,0,0.0102661484141
1,0,0,1,1,1,1,1,1,0,1,0,0,1,0.0161113254013
1,1,0,0,0,1,0,0,1,0,0,1,0,0,0.526629676883
1,0,1,1,0,0,0,0,0,0,1,1,0,0,0.358395395069
1,0,1,0,1,0,0,0,1,0,0,1,0,0,0.288282942171
0,1,1,1,1,1,0,1,1,0,0,0,0,0,0.018455330386
0,1,0,0,0,1,0,0,1,0,1,1,0,0,0.489006913331
1,0,0,0,1,1,0,0,0,1,1,0,0,1,0.318784677922
1,1,0,1,1,0,0,1,1,0,0,1,0,0,0.768002848411
1,0,1,1,0,1,0,1,1,1,1,0,1,1,0.270688069311
0,1,1,0,1,1,1,0,0,1,1,0,0,1,0.0517461353589
1,1,0,1,0,0,1,1,0,0,1,1,1,0,0.40070616859
0,1,0,1,1,0,1,1,0,1,1,0,1,0,0.277660742367
1,0,0,1,1,0,1,1,0,1,0,1,0,1,0.648013529953
1,1,1,0,1,0,0,0,1,0,0,0,0,1,0.0145981069934
0,0,1,1,0,0,1,0,0,1,0,1,0,1,0.142064504644
0,1,1,0,0,0,1,1,0,0,1,0,0,1,0.182595021215
0,1,1,1,1,1,0,0,0,1,1,1,0,1,0.226062961754
1,0,1,0,0,0,1,0,1,0,0,1,0,0,0.258018574014
0,0,1,0,0,1,1,0,1,0,0,0,1,1,0.334065216746
1,1,1,0,0,0,0,1,0,0,1,1,1,1,0.181497196095
0,0,0,1,0,1,1,1,1,1,0,0,0,0,0.179746610094
0,1,1,0,0,0,0,0,1,0,1,1,1,1,0.405720559001
0,1,0,0,0,0,0,1,0,1,1,1,1,0,0.243064415631
0,1,1,1,1,0,1,1,1,1,1,0,0,0,0.054505533632
0,0,0,1,1,0,0,0,0,1,1,1,0,1,0.224876123787
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0.113610064386
1,0,1,0,1,1,0,0,1,1,0,1,0,0,0.206865857639
0,1,1,1,0,1,0,0,0,0,0,1,0,0,0.243628163665
1,0,1,1,0,1,0,1,0,0,0,0,1,1,0.150491054209
0,1,1,1,1,0,0,1,1,1,1,0,0,0,0.0434382695902
0,1,0,1,1,0,1,0,0,1,1,0,1,0,0.0376524345014
0,0,1,1,1,0,0,1,1,1,1,0,1,0,0.184256594368
1,0,1,1,1,1,1,1,0,1,1,0,1,0,0.132213749518
0,0,1,1,1,0,1,0,0,1,1,1,0,1,0.253033854553
1,1,0,0,0,0,1,1,1,1,1,0,1,0,0.14325134261
0,1,1,1,0,1,0,0,0,0,1,1,1,0,0.0882117318933
1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.263448357713
1,1,1,0,0,0,1,0,0,1,1,0,1,1,0.127258701006
1,0,0,0,0,1,1,1,1,1,0,1,1,0,0.121205827374
1,1,0,1,1,0,1,1,0,1,0,1,1,1,0.282971842269
1,0,1,1,1,1,0,0,1,0,1,0,0,1,0.295908376109
0,0,1,1,0,0,1,0,0,0,1,0,1,0,0.166691392458
1,1,0,1,0,1,0,1,0,1,0,0,0,0,0.0498471946118
1,1,1,0,0,1,1,0,1,0,0,1,0,0,0.367177996024
1,1,0,1,0,1,1,0,1,1,0,1,0,1,0.148058036377
1,0,1,0,1,0,1,1,0,1,0,1,1,0,0.401536955167
1,0,1,1,0,1,0,0,1,0,1,1,0,1,0.253775628282
1,0,0,0,1,0,0,1,0,1,1,0,1,1,0.0409755808088
1,0,0,1,0,0,0,1,1,1,1,0,0,0,0.169539803578
1,0,1,0,0,1,1,1,1,1,1,0,0,1,0.0434976114886
1,0,0,0,0,1,0,1,0,0,0,0,1,0,0.0777675577842
0,1,1,1,1,1,0,0,1,1,0,0,1,1,0.0382161825357
1,1,1,1,1,1,0,1,0,0,0,1,1,0,0.216597928968
1,1,1,1,0,0,1,0,1,1,0,0,1,0,0.170845325342
0,1,0,1,0,0,1,0,1,0,0,1,0,0,0.242708364241
0,1,0,1,1,0,1,0,1,1,1,0,0,1,0.181437854197
0,0,1,1,0,1,0,1,1,0,0,0,0,0,0.0979141322731
0,0,1,1,0,1,0,1,0,1,0,0,1,0,0.0901106726404
0,0,0,1,1,0,0,0,0,1,1,0,1,0,0.160312138385
0,1,1,0,1,0,0,1,0,0,0,1,1,0,0.0930777675578
0,1,1,1,0,1,0,1,0,0,1,1,1,1,0.320535263923
1,1,0,0,1,1,1,0,0,1,1,1,1,1,0.295255615227
1,1,1,0,0,0,0,1,1,0,0,1,1,1,0.147523959291
1,1,1,1,1,1,0,1,1,0,0,0,1,0,0.2208408747
1,1,0,0,0,1,0,1,1,0,1,1,1,0,0.16517817405
0,1,0,0,0,1,0,1,1,0,0,1,0,0,0.133044536095
