SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrandom.2
1,0,1,0,0,0,1,0,1,0,0,1,0,0,0.269881556684
0,0,1,0,0,1,1,0,1,0,0,0,1,1,0.17089678511
1,1,1,0,0,0,0,1,0,0,1,1,1,1,0.0668358714044
0,0,0,1,0,1,1,1,1,1,0,0,0,0,0.868020304569
0,1,1,0,0,0,0,0,1,0,1,1,1,1,0.0769881556684
0,1,0,0,0,0,0,1,0,1,1,1,1,0,0.428934010152
0,1,1,1,1,0,1,1,1,1,1,0,0,0,0.489847715736
0,0,0,1,1,0,0,0,0,1,1,1,0,1,0.468697123519
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0.233502538071
1,0,1,0,1,1,0,0,1,1,0,1,0,0,0.465313028765
0,1,1,1,0,1,0,0,0,0,0,1,0,0,0.257191201354
1,0,1,1,0,1,0,1,0,0,0,0,1,1,0.391708967851
0,1,1,1,1,0,0,1,1,1,1,0,0,0,0.649746192893
0,1,0,1,1,0,1,0,0,1,1,0,1,0,0.44923857868
0,0,1,1,1,0,0,1,1,1,1,0,1,0,0.439086294416
1,0,1,1,1,1,1,1,0,1,1,0,1,0,0.583756345178
0,0,1,1,1,0,1,0,0,1,1,1,0,1,0.521150592217
1,1,0,0,0,0,1,1,1,1,1,0,1,0,0.590524534687
0,1,1,1,0,1,0,0,0,0,1,1,1,0,0.133671742809
1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.517766497462
1,1,1,0,0,0,1,0,0,1,1,0,1,1,0.482233502538
1,0,0,0,0,1,1,1,1,1,0,1,1,0,0.433164128596
1,1,0,1,1,0,1,1,0,1,0,1,1,1,0.418781725888
