SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandom.2
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.591094147583
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.199236641221
0,1,0,1,0,1,0,1,0,0,1,0,1,1,0.0549618320611
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0.681933842239
1,0,0,1,1,1,0,1,1,1,0,0,1,1,0.252162849873
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.214503816794
0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.610687022901
1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.200254452926
1,0,1,1,1,0,1,0,1,1,1,1,1,0,0.624936386768
1,0,0,1,1,1,0,1,1,0,1,1,0,0,0.496437659033
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0.744529262087
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0.667938931298
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0.0101781170483
0,1,1,1,1,0,0,1,0,1,0,0,1,0,0.178371501272
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0.0949109414758
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0.232824427481
1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.537150127226
1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.47048346056
1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.68727735369
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.502798982188
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.141475826972
1,0,0,0,1,1,0,0,1,1,1,0,0,0,0.193638676845
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.024427480916
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0.321374045802
1,1,0,1,0,0,0,0,1,1,0,0,1,1,0.177353689567
0,0,1,0,0,0,1,0,1,1,0,1,0,0,0.719338422392
0,1,1,0,1,1,0,1,1,0,0,1,1,0,0.448091603053
1,0,0,1,1,0,1,1,0,0,0,1,1,0,0.806870229008
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0.0592875318066
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.0631043256997
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0.600763358779
1,0,1,1,1,1,0,1,0,0,0,1,0,0,0.491857506361
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0.0669211195929
0,1,0,1,0,0,0,0,0,0,1,1,0,1,0.515776081425
1,1,0,1,1,1,0,1,0,0,0,0,0,0,0.0452926208651
0,1,1,0,0,0,1,0,0,1,1,1,0,0,0.641730279898
0,1,1,0,0,0,0,1,0,1,1,0,0,1,0.225954198473
1,1,1,0,1,1,0,0,1,0,1,1,1,1,0.512213740458
0,0,0,0,1,0,1,0,1,0,1,0,1,0,0.123664122137
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.488295165394
1,0,0,0,1,0,1,1,0,0,1,0,1,0,0.149618320611
1,0,0,1,0,1,0,1,1,0,0,0,1,0,0.0824427480916
0,1,1,0,0,0,1,1,1,1,1,1,0,0,0.714249363868
1,0,1,1,0,0,0,0,1,1,1,0,1,0,0.167684478372
0,0,0,1,1,0,0,1,0,1,1,0,1,1,0.218320610687
1,1,1,1,1,0,0,1,1,1,0,0,1,0,0.257506361323
1,0,1,0,0,1,1,1,1,0,1,1,0,1,0.498982188295
0,1,0,1,1,1,0,0,1,1,0,0,1,0,0.244783715013
0,1,1,1,1,1,1,0,1,1,1,0,1,0,0.215012722646
0,1,0,1,0,0,1,1,1,1,1,0,0,0,0.218575063613
1,0,1,1,1,0,1,0,1,1,0,1,1,0,0.643511450382
1,0,0,1,1,1,1,0,0,0,1,1,1,0,0.489567430025
1,0,0,1,0,0,1,1,0,0,0,0,0,1,0.0618320610687
1,1,1,0,0,1,0,0,1,0,1,0,1,1,0.029262086514
0,0,1,1,0,1,0,1,1,1,0,0,0,0,0.261323155216
1,0,0,0,1,1,0,1,0,1,1,1,1,0,0.621119592875
1,1,1,0,0,0,0,1,0,0,0,0,0,1,0.144529262087
0,0,1,0,1,1,1,0,0,0,1,0,0,0,0.063358778626
1,1,1,0,0,0,0,0,0,1,1,0,0,0,0.211959287532
0,0,0,0,0,1,1,1,1,0,0,1,1,0,0.469465648855
0,0,1,1,1,0,1,1,0,0,1,0,0,0,0.0511450381679
0,1,0,0,0,1,1,1,1,1,0,1,1,0,0.626972010178
0,0,0,1,0,0,0,0,0,1,1,0,0,1,0.347582697201
1,0,0,0,1,1,0,1,0,1,1,1,0,0,0.647582697201
0,0,1,1,0,0,1,1,0,1,1,1,1,0,0.603307888041
0,1,1,1,1,0,1,0,0,0,1,0,1,0,0.0315521628499
0,0,0,1,0,0,0,0,0,1,0,1,1,0,0.634096692112
0,1,0,1,0,0,1,0,0,1,1,0,1,1,0.174300254453
0,0,1,1,1,0,1,0,1,1,1,0,1,0,0.179389312977
0,0,0,1,1,0,1,0,1,1,0,0,1,0,0.270229007634
0,0,1,0,0,0,0,0,1,0,1,0,1,1,0.0653944020356
0,0,1,0,1,0,1,0,0,0,0,0,0,1,0.0478371501272
0,1,1,1,1,1,1,0,1,1,0,1,1,1,0.610178117048
1,1,0,1,0,0,0,1,0,1,0,1,0,0,0.656997455471
1,0,1,1,0,0,0,1,1,1,1,0,0,0,0.203816793893
1,1,0,0,1,1,1,0,0,0,0,1,1,0,0.524427480916
1,0,0,1,1,1,1,0,1,1,1,1,0,1,0.650890585242
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0234096692112
1,1,1,1,1,1,1,1,1,1,1,0,0,1,0.198727735369
0,0,1,1,0,0,1,1,0,0,1,1,0,0,0.486005089059
1,1,1,0,1,0,1,1,1,1,0,1,0,0,0.710687022901
