SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrand100K.6
0,0,0,1,0,1,1,0,0,1,1,1,1,0,66.631
0,0,0,0,1,0,1,0,0,1,0,0,0,1,65.218
0,1,0,1,0,1,0,1,0,0,1,0,1,1,65.503
1,1,0,0,0,1,0,0,1,1,0,1,0,1,65.116
1,0,0,1,1,1,0,1,1,1,0,0,1,1,65.315
1,1,1,1,0,0,1,0,1,1,1,0,1,0,70.192
0,1,1,1,1,1,1,0,0,1,0,1,1,0,66.755
1,0,1,0,1,0,0,1,1,1,0,0,0,1,67.334
1,0,1,1,1,0,1,0,1,1,1,1,1,0,63.713
1,0,0,1,1,1,0,1,1,0,1,1,0,0,71.649
0,1,0,1,0,1,1,0,0,1,0,1,0,0,66.359
0,0,0,1,0,1,0,1,0,1,1,1,0,0,66.855
0,1,0,0,1,1,0,0,1,0,1,0,1,0,89.135
0,1,1,1,1,0,0,1,0,1,0,0,1,0,132.99
1,1,0,1,1,0,0,1,1,0,1,0,0,0,862.97
0,0,1,0,1,1,0,1,1,1,0,0,0,0,861.8
1,0,0,0,1,0,0,1,1,0,0,1,0,1,979.88
1,1,0,0,0,0,0,1,0,0,1,1,1,1,941.75
1,1,0,1,0,0,1,0,0,1,0,1,0,0,324.91
0,0,0,0,0,1,0,1,1,0,0,1,0,1,251.18
0,1,1,1,1,0,0,0,0,1,0,0,1,1,209.38
1,0,0,0,1,1,0,0,1,1,1,0,0,0,185.78
0,1,1,1,0,0,0,0,0,0,1,0,1,1,347.61
1,1,1,1,1,0,0,1,0,1,1,0,1,0,201.09
1,1,0,1,0,0,0,0,1,1,0,0,1,1,206.71
0,0,1,0,0,0,1,0,1,1,0,1,0,0,179.91
0,1,1,0,1,1,0,1,1,0,0,1,1,0,192.0
1,0,0,1,1,0,1,1,0,0,0,1,1,0,179.91
1,1,1,0,0,0,1,0,1,0,0,0,0,1,159.45
0,0,0,0,1,0,0,0,1,0,1,0,1,0,150.49
0,0,0,0,1,0,0,0,0,1,1,1,1,0,183.36
1,0,1,1,1,1,0,1,0,0,0,1,0,0,194.9
0,1,0,1,0,0,0,0,1,0,0,0,0,1,165.07
0,1,0,1,0,0,0,0,0,0,1,1,0,1,165.48
1,1,0,1,1,1,0,1,0,0,0,0,0,0,175.13
0,1,1,0,0,0,1,0,0,1,1,1,0,0,156.95
0,1,1,0,0,0,0,1,0,1,1,0,0,1,141.45
