topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$throughput
4,10,2,1000000,10,0,1,10,512,100,5,29,4132.416666666667
4,1,4,1000000,1,0,1,10,1024,100,5,0,893.83333333333337
4,10,2,1000000,10,1,1000,10,1024,100,5,29,5353.083333333333
4,10,4,1000000,1,1,1,10,512,100,2,29,864.83333333333337
4,1,4,1000000,1,0,1000,1000,512,10000,2,29,6169.333333333333
4,1,4,1000000,10,1,1000,10,512,100,5,0,4121.166666666667
2,10,4,10,10,1,1,10,1024,100,2,29,6183.25
4,10,4,10,10,0,1,10,1024,100,2,29,3031.8333333333335
2,1,4,10,10,0,1000,1000,512,10000,5,0,8493.1666666666661
4,10,4,10,1,1,1,1000,512,10000,2,0,884.16666666666663
4,10,2,1000000,1,0,1000,10,1024,100,5,29,7388.416666666667
2,10,4,1000000,1,0,1,10,512,100,2,0,907.75
4,1,2,10,1,1,1000,1000,1024,10000,5,29,7361.916666666667
2,1,4,10,1,0,1000,10,1024,100,5,29,9189.25
4,1,4,1000000,10,0,1000,1000,512,10000,5,29,4125.75
2,1,4,10,1,0,1,10,1024,100,5,0,913.25
4,1,2,10,10,1,1,1000,1024,10000,2,0,4151.416666666667
2,1,4,10,10,0,1,10,512,100,5,29,6251.666666666667
2,1,2,1000000,1,1,1000,1000,512,10000,2,29,9724.9166666666661
4,1,2,10,10,0,1000,1000,1024,10000,5,29,5591.833333333333
2,1,4,1000000,10,0,1,10,1024,100,2,29,6190.0
4,1,4,10,10,0,1000,10,1024,100,5,0,4612.416666666667
4,10,2,1000000,10,1,1,10,512,100,5,0,4125.083333333333
2,1,2,1000000,1,1,1,1000,1024,10000,2,0,904.66666666666663
4,1,4,1000000,1,1,1000,1000,512,10000,2,0,5948.0
4,1,2,1000000,10,0,1,10,512,100,5,0,4182.75
4,1,4,10,1,0,1000,10,1024,100,5,29,6158.833333333333
4,1,2,1000000,10,1,1000,1000,512,10000,5,29,5950.75
2,10,4,10,10,0,1,10,512,100,5,0,6122.166666666667
2,10,2,1000000,1,0,1000,10,512,100,5,0,9748.9166666666661
4,1,2,10,10,1,1000,10,512,100,2,0,5474.666666666667
4,10,2,10,10,0,1000,1000,1024,10000,2,29,5007.5
4,10,4,1000000,1,1,1000,10,512,100,2,29,6277.75
4,1,4,10,10,0,1,10,512,100,5,29,3085.5833333333335
2,1,2,10,1,1,1000,1000,512,10000,2,29,9855.6666666666661
4,10,2,1000000,10,1,1,1000,512,10000,2,29,4273.916666666667
4,1,4,10,1,0,1000,10,1024,100,2,0,6179.416666666667
2,1,4,1000000,1,0,1000,10,1024,100,5,29,8929.4166666666661
2,10,4,10,1,0,1,10,512,100,5,0,909.33333333333337
4,10,2,10,1,1,1,1000,512,10000,2,0,882.41666666666663
