SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqbatch.2
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0.561093247588
0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.340032154341
0,1,0,1,0,1,0,1,0,0,1,0,1,1,0.0329581993569
1,1,0,0,0,1,0,0,1,1,0,1,0,1,0.621382636656
1,0,0,1,1,1,0,1,1,1,0,0,1,1,0.357717041801
1,1,1,1,0,0,1,0,1,1,1,0,1,0,0.391479099678
0,1,1,1,1,1,1,0,0,1,0,1,1,0,0.549839228296
1,0,1,0,1,0,0,1,1,1,0,0,0,1,0.508038585209
1,0,1,1,1,0,1,0,1,1,1,1,1,0,0.587620578778
1,0,0,1,1,1,0,1,1,0,1,1,0,0,0.237942122186
0,1,0,1,0,1,1,0,0,1,0,1,0,0,0.597266881029
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0.567524115756
0,1,0,0,1,1,0,0,1,0,1,0,1,0,0.0144694533762
0,1,1,1,1,0,0,1,0,1,0,0,1,0,0.35691318328
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0.040192926045
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0.41077170418
1,0,0,0,1,0,0,1,1,0,0,1,0,1,0.239549839228
1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.233118971061
1,1,0,1,0,0,1,0,0,1,0,1,0,0,0.738745980707
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0.228295819936
0,1,1,1,1,0,0,0,0,1,0,0,1,1,0.358520900322
1,0,0,0,1,1,0,0,1,1,1,0,0,0,0.348874598071
0,1,1,1,0,0,0,0,0,0,1,0,1,1,0.016077170418
1,1,1,1,1,0,0,1,0,1,1,0,1,0,0.354501607717
1,1,0,1,0,0,0,0,1,1,0,0,1,1,0.377813504823
0,0,1,0,0,0,1,0,1,1,0,1,0,0,0.595659163987
0,1,1,0,1,1,0,1,1,0,0,1,1,0,0.210610932476
1,0,0,1,1,0,1,1,0,0,0,1,1,0,0.240353697749
1,1,1,0,0,0,1,0,1,0,0,0,0,1,0.0940514469453
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0.0168810289389
0,0,0,0,1,0,0,0,0,1,1,1,1,0,0.567524115756
1,0,1,1,1,1,0,1,0,0,0,1,0,0,0.243569131833
