SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandsync.3
0,0,0,1,0,1,1,0,0,1,1,1,1,0,2574.7
0,0,0,0,1,0,1,0,0,1,0,0,0,1,2547.3
0,1,0,1,0,1,0,1,0,0,1,0,1,1,2546.8
1,1,0,0,0,1,0,0,1,1,0,1,0,1,2569.4
1,0,0,1,1,1,0,1,1,1,0,0,1,1,2548.4
1,1,1,1,0,0,1,0,1,1,1,0,1,0,2544.0
0,1,1,1,1,1,1,0,0,1,0,1,1,0,2579.3
1,0,1,0,1,0,0,1,1,1,0,0,0,1,2551.3
1,0,1,1,1,0,1,0,1,1,1,1,1,0,2569.8
1,0,0,1,1,1,0,1,1,0,1,1,0,0,2553.9
0,1,0,1,0,1,1,0,0,1,0,1,0,0,2564.0
0,0,0,1,0,1,0,1,0,1,1,1,0,0,2564.5
0,1,0,0,1,1,0,0,1,0,1,0,1,0,2542.9
0,1,1,1,1,0,0,1,0,1,0,0,1,0,2540.6
1,1,0,1,1,0,0,1,1,0,1,0,0,0,2544.6
0,0,1,0,1,1,0,1,1,1,0,0,0,0,2535.2
1,0,0,0,1,0,0,1,1,0,0,1,0,1,2566.3
1,1,0,0,0,0,0,1,0,0,1,1,1,1,2554.1
1,1,0,1,0,0,1,0,0,1,0,1,0,0,2574.4
0,0,0,0,0,1,0,1,1,0,0,1,0,1,2569.7
0,1,1,1,1,0,0,0,0,1,0,0,1,1,2529.0
1,0,0,0,1,1,0,0,1,1,1,0,0,0,2549.4
0,1,1,1,0,0,0,0,0,0,1,0,1,1,2517.7
1,1,1,1,1,0,0,1,0,1,1,0,1,0,2541.3
1,1,0,1,0,0,0,0,1,1,0,0,1,1,2524.8
0,0,1,0,0,0,1,0,1,1,0,1,0,0,2567.7
0,1,1,0,1,1,0,1,1,0,0,1,1,0,2541.6
1,0,0,1,1,0,1,1,0,0,0,1,1,0,2567.8
1,1,1,0,0,0,1,0,1,0,0,0,0,1,2544.1
0,0,0,0,1,0,0,0,1,0,1,0,1,0,2526.3
0,0,0,0,1,0,0,0,0,1,1,1,1,0,2556.6
1,0,1,1,1,1,0,1,0,0,0,1,0,0,2559.6
0,1,0,1,0,0,0,0,1,0,0,0,0,1,2538.7
0,1,0,1,0,0,0,0,0,0,1,1,0,1,2558.2
1,1,0,1,1,1,0,1,0,0,0,0,0,0,2511.1
0,1,1,0,0,0,1,0,0,1,1,1,0,0,2552.7
0,1,1,0,0,0,0,1,0,1,1,0,0,1,2542.0
1,1,1,0,1,1,0,0,1,0,1,1,1,1,2561.5
0,0,0,0,1,0,1,0,1,0,1,0,1,0,2531.5
0,0,0,1,1,1,0,0,0,0,0,1,1,1,2567.2
1,0,0,0,1,0,1,1,0,0,1,0,1,0,2535.0
1,0,0,1,0,1,0,1,1,0,0,0,1,0,2526.3
0,1,1,0,0,0,1,1,1,1,1,1,0,0,2548.0
1,0,1,1,0,0,0,0,1,1,1,0,1,0,2513.9
0,0,0,1,1,0,0,1,0,1,1,0,1,1,2520.4
1,1,1,1,1,0,0,1,1,1,0,0,1,0,2534.0
1,0,1,0,0,1,1,1,1,0,1,1,0,1,2549.1
0,1,0,1,1,1,0,0,1,1,0,0,1,0,2539.4
0,1,1,1,1,1,1,0,1,1,1,0,1,0,2528.2
0,1,0,1,0,0,1,1,1,1,1,0,0,0,2529.8
1,0,1,1,1,0,1,0,1,1,0,1,1,0,2565.7
1,0,0,1,1,1,1,0,0,0,1,1,1,0,2549.5
1,0,0,1,0,0,1,1,0,0,0,0,0,1,2528.8
1,1,1,0,0,1,0,0,1,0,1,0,1,1,2532.5
