topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$throughput
4,1,2,10,1,1,1000,10,1024,100,2,0,29749.083333333332
4,1,2,10,1,1,1000,1000,1024,10000,5,0,14306.416666666666
2,1,2,1000000,1,0,1,1000,512,10000,2,0,85.166666666666671
2,10,4,10,10,0,1,10,1024,100,5,29,8191.166666666667
4,10,4,1000000,10,1,1,1000,512,10000,5,0,15.833333333333334
2,10,2,1000000,1,1,1,1000,512,10000,2,29,154.0
4,10,2,10,10,1,1000,1000,512,10000,5,0,11955.083333333334
2,1,4,1000000,1,1,1,10,512,100,2,29,85.333333333333329
4,10,4,10,1,1,1,1000,512,10000,5,0,849.5
2,10,2,10,1,1,1,10,512,100,2,29,905.33333333333337
4,10,2,10,1,0,1000,10,512,100,5,29,12217.166666666666
2,10,2,10,1,0,1,10,512,100,2,0,916.25
2,10,2,10,1,1,1,1000,512,10000,2,0,906.08333333333337
4,1,4,10,1,1,1,10,512,100,5,29,893.58333333333337
4,1,2,10,10,1,1,10,1024,100,5,29,5372.5
2,10,4,1000000,1,1,1,1000,1024,10000,5,0,64.333333333333329
2,10,4,10,10,1,1,1000,512,10000,5,29,8189.833333333333
4,10,4,1000000,1,0,1,1000,1024,10000,5,29,56.5
4,1,4,10,10,1,1,10,1024,100,5,0,5065.833333333333
2,1,4,10,1,0,1,10,512,100,2,0,916.41666666666663
4,10,2,1000000,10,0,1,10,512,100,5,29,0.58333333333333337
2,1,4,1000000,1,0,1000,10,1024,100,2,0,2.6666666666666665
2,10,4,10,1,0,1,10,512,100,5,29,923.25
4,1,4,1000000,10,1,1,1000,512,10000,2,0,341.08333333333331
2,10,4,10,10,0,1,10,512,100,5,0,8142.75
2,10,2,10,1,0,1000,1000,512,10000,5,29,17678.75
2,1,2,10,10,1,1000,1000,512,10000,5,0,20594.916666666668
2,10,4,10,1,0,1,1000,1024,10000,5,29,905.75
2,1,2,10,10,0,1000,1000,512,10000,2,0,25733.0
4,1,2,10,1,0,1000,10,512,100,2,0,27590.083333333332
2,10,2,10,1,0,1000,10,512,100,5,29,17349.583333333332
4,10,2,10,1,0,1,1000,1024,10000,2,29,906.5
4,10,4,10,10,1,1000,10,1024,100,5,0,10280.333333333334
4,10,4,10,1,0,1,10,512,100,5,29,867.66666666666663
2,10,2,10,10,0,1,10,1024,100,2,0,9087.3333333333339
4,10,2,10,10,1,1000,10,512,100,2,0,33021.0
2,10,4,10,10,0,1,1000,1024,10000,2,0,9129.0833333333339
4,1,4,10,10,1,1,1000,512,10000,5,0,5055.25
4,1,4,10,1,0,1000,1000,512,10000,2,29,45704.0
2,10,4,10,1,0,1000,1000,1024,10000,5,0,18529.25
