SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwrite.2
0,1,1,1,1,1,0,1,1,0,0,0,0,0,0.0818803796072
0,1,0,0,0,1,0,0,1,0,1,1,0,0,0.546237033767
1,0,0,0,1,1,0,0,0,1,1,0,0,1,0.254689913926
1,1,0,1,1,0,0,1,1,0,0,1,0,0,0.510041933348
1,0,1,1,0,1,0,1,1,1,1,0,1,1,0.229309203266
0,1,1,0,1,1,1,0,0,1,1,0,0,1,0.288898697859
1,1,0,1,0,0,1,1,0,0,1,1,1,0,0.503420878393
0,1,0,1,1,0,1,1,0,1,1,0,1,0,0.19223129552
1,0,0,1,1,0,1,1,0,1,0,1,0,1,0.666960935776
1,1,1,0,1,0,0,0,1,0,0,0,0,1,0.0783491502979
0,0,1,1,0,0,1,0,0,1,0,1,0,1,0.692562348267
0,1,1,0,0,0,1,1,0,0,1,0,0,1,0.129110571618
0,1,1,1,1,1,0,0,0,1,1,1,0,1,0.604060913706
1,0,1,0,0,0,1,0,1,0,0,1,0,0,0.532332818362
0,0,1,0,0,1,1,0,1,0,0,0,1,1,0.0765835356433
1,1,1,0,0,0,0,1,0,0,1,1,1,1,0.509821231516
0,0,0,1,0,1,1,1,1,1,0,0,0,0,0.350253807107
0,1,1,0,0,0,0,0,1,0,1,1,1,1,0.498786139925
0,1,0,0,0,0,0,1,0,1,1,1,1,0,0.574928271905
0,1,1,1,1,0,1,1,1,1,1,0,0,0,0.192893401015
0,0,0,1,1,0,0,0,0,1,1,1,0,1,0.704700949018
1,0,1,0,0,1,0,0,0,0,0,0,1,1,0.0516442286471
1,0,1,0,1,1,0,0,1,1,0,1,0,0,0.745089384242
0,1,1,1,0,1,0,0,0,0,0,1,0,0,0.572059148091
1,0,1,1,0,1,0,1,0,0,0,0,1,1,0.113220039726
0,1,1,1,1,0,0,1,1,1,1,0,0,0,0.267049216508
0,1,0,1,1,0,1,0,0,1,1,0,1,0,0.181637607592
0,0,1,1,1,0,0,1,1,1,1,0,1,0,0.169057603178
1,0,1,1,1,1,1,1,0,1,1,0,1,0,0.267932023836
0,0,1,1,1,0,1,0,0,1,1,1,0,1,0.704480247186
1,1,0,0,0,0,1,1,1,1,1,0,1,0,0.286470977709
0,1,1,1,0,1,0,0,0,0,1,1,1,0,0.523946148753
