topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$latency
4,1,4,10,10,0,1000,10,512,100,5,29,0.540168842043
4,10,2,10,10,1,1,10,512,100,5,0,0.000420185130087
2,10,2,1000000,1,1,1000,10,512,100,2,29,0.00875703381896
4,1,4,10,10,0,1000,10,1024,100,2,29,0.600887112748
2,10,4,10,1,1,1,10,512,100,5,0,5.24886092811e-06
4,10,4,10,10,0,1,1000,1024,10000,5,0,0.000532345000446
4,1,4,1000000,10,0,1000,10,1024,100,2,29,0.521505273862
4,10,2,10,10,0,1000,10,1024,100,2,29,0.719024606936
4,10,2,10,1,0,1000,10,1024,100,2,29,0.0242353721843
4,1,2,10,10,0,1000,10,512,100,5,29,0.680276134286
2,10,4,10,1,0,1,10,512,100,2,29,9.11644266462e-06
4,1,2,10,10,1,1,10,512,100,2,0,0.000374050405088
2,1,4,1000000,1,0,1,1000,512,10000,5,0,4.69634925147e-06
2,1,2,10,10,1,1,1000,1024,10000,5,29,0.000132602802394
2,1,2,1000000,1,1,1000,10,1024,100,2,29,0.00999051613707
4,10,4,1000000,1,0,1,1000,512,10000,2,29,5.08310742512e-05
2,1,4,1000000,1,0,1000,10,512,100,2,0,0.00979934709695
4,1,2,1000000,10,1,1000,1000,1024,10000,2,29,0.596141589957
4,1,4,10,10,1,1000,1000,1024,10000,2,0,0.548576412227
4,10,4,1000000,1,0,1,1000,512,10000,2,0,5.44224001494e-05
2,1,4,1000000,10,1,1,1000,512,10000,5,0,0.000148349385179
2,1,4,1000000,1,1,1,10,1024,100,5,0,5.24886092811e-06
2,1,2,1000000,10,1,1,1000,512,10000,5,0,0.000139232942514
4,1,4,10,1,1,1,1000,1024,10000,2,0,5.38698884728e-05
2,10,4,1000000,10,0,1000,10,1024,100,5,29,0.326108138138
2,10,4,1000000,10,0,1,10,1024,100,5,29,0.000157742083682
4,10,2,1000000,10,1,1,10,1024,100,2,0,0.000403609779788
2,1,4,1000000,1,1,1000,10,1024,100,5,29,0.00884294938468
4,1,4,10,10,1,1,10,512,100,5,29,0.00040167598892
4,1,4,10,10,1,1,10,1024,100,2,0,0.00039836091886
2,1,4,10,1,1,1000,10,1024,100,5,0,0.00863023238917
2,1,4,10,10,1,1,1000,1024,10000,2,29,0.000147796873502
4,10,4,1000000,10,1,1,1000,512,10000,2,0,0.000440075550447
4,1,2,1000000,1,0,1,10,512,100,2,29,4.94497950596e-05
4,1,4,10,10,1,1,1000,1024,10000,2,0,0.000422671432632
2,10,4,1000000,1,0,1000,1000,512,10000,5,29,0.00891422339097
4,1,2,1000000,10,1,1,1000,1024,10000,5,29,0.000390902011225
4,10,2,1000000,10,1,1,1000,512,10000,5,0,0.000368525288321
2,1,4,1000000,10,1,1000,10,1024,100,5,0,0.405425609413
2,1,4,1000000,1,1,1000,10,512,100,5,29,0.0083362961772
4,10,2,1000000,10,0,1000,10,512,100,5,0,0.717714601751
2,10,4,10,10,0,1,1000,1024,10000,2,29,0.000142824268412
4,10,2,10,1,0,1,1000,1024,10000,5,29,6.96164712571e-05
2,10,4,1000000,10,1,1,1000,512,10000,2,0,0.000145310570957
2,10,4,10,1,1,1,10,1024,100,2,29,4.69634925147e-06
4,1,2,1000000,1,0,1000,10,512,100,2,0,0.0235530202636
4,10,4,1000000,1,0,1000,1000,512,10000,2,29,0.0249373382695
2,10,4,1000000,10,1,1000,1000,512,10000,2,29,0.339125865751
4,1,4,1000000,10,1,1,10,512,100,2,29,0.0004116211991
2,10,4,1000000,10,1,1000,1000,512,10000,2,0,0.381742748906
2,1,2,1000000,1,0,1000,1000,512,10000,5,0,0.0125458826415
4,10,2,1000000,1,0,1,10,512,100,5,29,5.41461443111e-05
4,1,2,1000000,1,0,1,1000,1024,10000,2,29,4.7239748353e-05
4,1,4,1000000,1,0,1,10,512,100,5,0,4.64109808381e-05
2,1,4,1000000,1,0,1,1000,1024,10000,2,0,3.31507005986e-06
2,10,4,1000000,10,0,1,10,512,100,2,29,0.000142548012574
4,1,2,1000000,10,1,1,10,512,100,2,29,0.000422395176794
4,1,4,1000000,1,1,1,1000,512,10000,2,29,6.74064245505e-05
2,10,4,10,1,0,1000,1000,512,10000,5,29,0.0098537694971
4,1,4,1000000,10,1,1,1000,1024,10000,2,0,0.000390625755387
4,1,2,10,1,0,1,1000,512,10000,5,0,5.63561910177e-05
4,10,4,1000000,10,0,1,1000,1024,10000,5,0,0.00040499105898
2,10,2,1000000,1,1,1000,10,512,100,5,0,0.00850039214516
4,10,4,10,1,0,1000,10,512,100,2,0,0.0214275078436
4,10,4,1000000,10,1,1,10,1024,100,2,29,0.000397255895507
4,10,2,10,10,1,1000,10,1024,100,2,0,0.955237437749
2,1,4,10,10,1,1000,10,1024,100,5,0,0.359426802286
2,10,4,10,10,1,1000,10,512,100,2,0,0.40002508403
2,1,4,10,1,1,1,1000,1024,10000,5,0,5.24886092811e-06
2,1,2,10,1,1,1,10,1024,100,5,29,1.65753502993e-06
2,1,4,10,10,1,1,1000,512,10000,2,0,0.000148349385179
2,10,4,10,1,1,1000,1000,512,10000,2,29,0.0101941166899
4,1,2,1000000,1,0,1000,1000,1024,10000,5,0,0.0279344378594
2,10,2,10,10,1,1,10,512,100,2,29,0.000131221523203
2,1,4,1000000,10,1,1000,10,1024,100,2,0,0.38016063172
2,1,4,10,10,0,1000,10,1024,100,5,29,0.323128442666
2,1,2,10,1,1,1000,1000,512,10000,2,29,0.00872222558333
