Target Files,5,10,15,20,25,30,35,40,s5,s10,s15,s20,s25,s30,s35,s40
sac_7,41.5,49.5,28.5,26.5,46.0,-6.0,37.5,55.0,same,same,same,same,same,same,same,same
sac_6,40.0,87.0,31.0,-37.0,-34.5,-35.0,-30.0,-45.0,better,better,same,same,same,same,same,same
sac_5,-47.5,-45.0,-38.0,-40.5,-37.0,-35.5,-33.0,-31.5,worse,worse,worse,worse,worse,worse,worse,worse
sac_9,6.0,16.5,12.5,12.5,14.5,11.5,13.0,9.5,better,better,better,better,better,better,better,same
sac_8,-21.5,80.5,85.5,68.0,73.5,92.5,56.5,75.0,same,better,better,same,better,better,same,same
