Target Files,5,10,15,20,25,30,35,40,s5,s10,s15,s20,s25,s30,s35,s40
storm-obj2_feature7,0.0,0.010980062037399999,0.010980062037399999,0.0091500516977999977,0.010980062037399999,0.010980062037399999,0.010980062037399999,0.010980062037399999,same,better,better,better,better,better,better,better
storm-obj2_feature6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,same,same,same,same,same,same
storm-obj2_feature8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,same,same,same,same,same,same
