SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandsync.2
0,0,0,1,0,1,1,0,0,1,1,1,1,0,3066.3
0,0,0,0,1,0,1,0,0,1,0,0,0,1,3079.9
0,1,0,1,0,1,0,1,0,0,1,0,1,1,3029.1
1,1,0,0,0,1,0,0,1,1,0,1,0,1,3089.8
1,0,0,1,1,1,0,1,1,1,0,0,1,1,3056.2
1,1,1,1,0,0,1,0,1,1,1,0,1,0,3071.3
0,1,1,1,1,1,1,0,0,1,0,1,1,0,3065.8
1,0,1,0,1,0,0,1,1,1,0,0,0,1,3058.6
1,0,1,1,1,0,1,0,1,1,1,1,1,0,3064.9
1,0,0,1,1,1,0,1,1,0,1,1,0,0,3077.0
0,1,0,1,0,1,1,0,0,1,0,1,0,0,3072.7
0,0,0,1,0,1,0,1,0,1,1,1,0,0,3080.0
0,1,0,0,1,1,0,0,1,0,1,0,1,0,3052.4
0,1,1,1,1,0,0,1,0,1,0,0,1,0,3079.4
1,1,0,1,1,0,0,1,1,0,1,0,0,0,3047.0
0,0,1,0,1,1,0,1,1,1,0,0,0,0,3044.7
1,0,0,0,1,0,0,1,1,0,0,1,0,1,3094.6
1,1,0,0,0,0,0,1,0,0,1,1,1,1,3050.8
1,1,0,1,0,0,1,0,0,1,0,1,0,0,3115.1
0,0,0,0,0,1,0,1,1,0,0,1,0,1,3075.9
0,1,1,1,1,0,0,0,0,1,0,0,1,1,3074.6
1,0,0,0,1,1,0,0,1,1,1,0,0,0,3043.7
0,1,1,1,0,0,0,0,0,0,1,0,1,1,3055.6
1,1,1,1,1,0,0,1,0,1,1,0,1,0,3036.1
1,1,0,1,0,0,0,0,1,1,0,0,1,1,3040.0
0,0,1,0,0,0,1,0,1,1,0,1,0,0,3070.4
0,1,1,0,1,1,0,1,1,0,0,1,1,0,3073.3
1,0,0,1,1,0,1,1,0,0,0,1,1,0,3074.9
1,1,1,0,0,0,1,0,1,0,0,0,0,1,3071.3
0,0,0,0,1,0,0,0,1,0,1,0,1,0,3040.9
0,0,0,0,1,0,0,0,0,1,1,1,1,0,3088.1
1,0,1,1,1,1,0,1,0,0,0,1,0,0,3094.3
0,1,0,1,0,0,0,0,1,0,0,0,0,1,3053.2
0,1,0,1,0,0,0,0,0,0,1,1,0,1,3077.9
1,1,0,1,1,1,0,1,0,0,0,0,0,0,3039.5
0,1,1,0,0,0,1,0,0,1,1,1,0,0,3086.5
0,1,1,0,0,0,0,1,0,1,1,0,0,1,3058.4
1,1,1,0,1,1,0,0,1,0,1,1,1,1,3107.7
0,0,0,0,1,0,1,0,1,0,1,0,1,0,3035.2
0,0,0,1,1,1,0,0,0,0,0,1,1,1,3055.9
1,0,0,0,1,0,1,1,0,0,1,0,1,0,3052.6
1,0,0,1,0,1,0,1,1,0,0,0,1,0,3038.9
0,1,1,0,0,0,1,1,1,1,1,1,0,0,3063.6
1,0,1,1,0,0,0,0,1,1,1,0,1,0,3041.4
0,0,0,1,1,0,0,1,0,1,1,0,1,1,3047.0
1,1,1,1,1,0,0,1,1,1,0,0,1,0,3041.6
1,0,1,0,0,1,1,1,1,0,1,1,0,1,3052.9
0,1,0,1,1,1,0,0,1,1,0,0,1,0,3040.4
0,1,1,1,1,1,1,0,1,1,1,0,1,0,3044.3
0,1,0,1,0,0,1,1,1,1,1,0,0,0,3077.4
1,0,1,1,1,0,1,0,1,1,0,1,1,0,3091.4
1,0,0,1,1,1,1,0,0,0,1,1,1,0,3064.0
1,0,0,1,0,0,1,1,0,0,0,0,0,1,3077.8
1,1,1,0,0,1,0,0,1,0,1,0,1,1,3048.0
0,0,1,1,0,1,0,1,1,1,0,0,0,0,3062.4
1,0,0,0,1,1,0,1,0,1,1,1,1,0,3059.8
1,1,1,0,0,0,0,1,0,0,0,0,0,1,3076.1
0,0,1,0,1,1,1,0,0,0,1,0,0,0,3068.5
1,1,1,0,0,0,0,0,0,1,1,0,0,0,3050.9
0,0,0,0,0,1,1,1,1,0,0,1,1,0,3064.8
0,0,1,1,1,0,1,1,0,0,1,0,0,0,3032.6
0,1,0,0,0,1,1,1,1,1,0,1,1,0,3075.0
0,0,0,1,0,0,0,0,0,1,1,0,0,1,3050.6
1,0,0,0,1,1,0,1,0,1,1,1,0,0,3085.1
0,0,1,1,0,0,1,1,0,1,1,1,1,0,3051.6
0,1,1,1,1,0,1,0,0,0,1,0,1,0,3070.8
0,0,0,1,0,0,0,0,0,1,0,1,1,0,3083.8
0,1,0,1,0,0,1,0,0,1,1,0,1,1,3040.9
0,0,1,1,1,0,1,0,1,1,1,0,1,0,3049.5
0,0,0,1,1,0,1,0,1,1,0,0,1,0,3040.3
0,0,1,0,0,0,0,0,1,0,1,0,1,1,3032.9
0,0,1,0,1,0,1,0,0,0,0,0,0,1,3036.1
0,1,1,1,1,1,1,0,1,1,0,1,1,1,3073.4
1,1,0,1,0,0,0,1,0,1,0,1,0,0,3054.6
1,0,1,1,0,0,0,1,1,1,1,0,0,0,3028.5
1,1,0,0,1,1,1,0,0,0,0,1,1,0,3051.8
1,0,0,1,1,1,1,0,1,1,1,1,0,1,3064.4
0,0,0,0,0,1,0,1,0,0,0,0,0,1,3061.5
1,1,1,1,1,1,1,1,1,1,1,0,0,1,3039.4
0,0,1,1,0,0,1,1,0,0,1,1,0,0,3070.0
1,1,1,0,1,0,1,1,1,1,0,1,0,0,3077.3
0,0,0,1,1,0,0,0,0,1,1,0,1,0,3040.1
1,1,0,0,1,0,0,0,1,0,0,1,1,0,3062.9
0,1,0,1,1,0,0,0,0,0,0,1,1,0,3097.5
1,0,0,1,0,1,0,0,1,1,1,1,1,0,3047.1
1,1,1,1,1,1,0,0,1,1,1,0,0,0,3043.4
1,0,1,0,1,1,0,0,1,1,1,1,0,1,3053.6
0,0,1,1,0,1,0,1,0,0,1,1,0,1,3088.1
0,1,0,1,0,0,1,1,1,1,1,0,1,1,3038.7
1,0,0,1,1,1,1,0,1,0,0,1,1,0,3051.3
1,0,0,1,1,0,1,0,1,1,0,1,1,0,3065.4
0,0,1,1,0,0,0,0,1,1,0,0,1,0,3047.4
0,0,0,0,1,1,1,1,1,0,1,0,1,0,3065.6
1,0,0,1,1,1,1,1,1,0,1,0,0,1,3024.3
1,1,0,0,0,1,0,0,1,0,0,1,0,0,3077.0
1,0,1,1,0,0,0,0,0,0,1,1,0,0,3072.2
1,0,1,0,1,0,0,0,1,0,0,1,0,0,3078.8
0,1,1,1,1,1,0,1,1,0,0,0,0,0,3063.7
0,1,0,0,0,1,0,0,1,0,1,1,0,0,3047.9
1,0,0,0,1,1,0,0,0,1,1,0,0,1,3033.7
1,1,0,1,1,0,0,1,1,0,0,1,0,0,3061.0
1,0,1,1,0,1,0,1,1,1,1,0,1,1,3046.4
0,1,1,0,1,1,1,0,0,1,1,0,0,1,3028.8
1,1,0,1,0,0,1,1,0,0,1,1,1,0,3068.7
0,1,0,1,1,0,1,1,0,1,1,0,1,0,3051.6
1,0,0,1,1,0,1,1,0,1,0,1,0,1,3057.6
1,1,1,0,1,0,0,0,1,0,0,0,0,1,3077.3
0,0,1,1,0,0,1,0,0,1,0,1,0,1,3113.2
0,1,1,0,0,0,1,1,0,0,1,0,0,1,3063.0
0,1,1,1,1,1,0,0,0,1,1,1,0,1,3052.3
1,0,1,0,0,0,1,0,1,0,0,1,0,0,3082.0
0,0,1,0,0,1,1,0,1,0,0,0,1,1,3035.3
1,1,1,0,0,0,0,1,0,0,1,1,1,1,3051.6
0,0,0,1,0,1,1,1,1,1,0,0,0,0,3016.0
0,1,1,0,0,0,0,0,1,0,1,1,1,1,3063.5
0,1,0,0,0,0,0,1,0,1,1,1,1,0,3071.1
0,1,1,1,1,0,1,1,1,1,1,0,0,0,3067.6
0,0,0,1,1,0,0,0,0,1,1,1,0,1,3071.3
1,0,1,0,0,1,0,0,0,0,0,0,1,1,3040.5
1,0,1,0,1,1,0,0,1,1,0,1,0,0,3057.4
0,1,1,1,0,1,0,0,0,0,0,1,0,0,3075.2
1,0,1,1,0,1,0,1,0,0,0,0,1,1,3026.5
0,1,1,1,1,0,0,1,1,1,1,0,0,0,3020.1
0,1,0,1,1,0,1,0,0,1,1,0,1,0,3053.0
0,0,1,1,1,0,0,1,1,1,1,0,1,0,3031.5
1,0,1,1,1,1,1,1,0,1,1,0,1,0,3036.9
0,0,1,1,1,0,1,0,0,1,1,1,0,1,3065.8
1,1,0,0,0,0,1,1,1,1,1,0,1,0,3037.4
0,1,1,1,0,1,0,0,0,0,1,1,1,0,3054.8
1,1,1,1,0,1,1,1,1,1,1,0,1,1,3027.9
1,1,1,0,0,0,1,0,0,1,1,0,1,1,3039.4
1,0,0,0,0,1,1,1,1,1,0,1,1,0,3077.8
1,1,0,1,1,0,1,1,0,1,0,1,1,1,3071.5
1,0,1,1,1,1,0,0,1,0,1,0,0,1,3024.7
0,0,1,1,0,0,1,0,0,0,1,0,1,0,3039.3
1,1,0,1,0,1,0,1,0,1,0,0,0,0,3059.1
1,1,1,0,0,1,1,0,1,0,0,1,0,0,3047.9
1,1,0,1,0,1,1,0,1,1,0,1,0,1,3085.6
1,0,1,0,1,0,1,1,0,1,0,1,1,0,3075.8
1,0,1,1,0,1,0,0,1,0,1,1,0,1,3049.1
1,0,0,0,1,0,0,1,0,1,1,0,1,1,3048.0
1,0,0,1,0,0,0,1,1,1,1,0,0,0,3071.4
1,0,1,0,0,1,1,1,1,1,1,0,0,1,3062.7
1,0,0,0,0,1,0,1,0,0,0,0,1,0,3015.7
0,1,1,1,1,1,0,0,1,1,0,0,1,1,3038.5
1,1,1,1,1,1,0,1,0,0,0,1,1,0,3043.4
1,1,1,1,0,0,1,0,1,1,0,0,1,0,3033.1
0,1,0,1,0,0,1,0,1,0,0,1,0,0,3078.5
0,1,0,1,1,0,1,0,1,1,1,0,0,1,3039.7
0,0,1,1,0,1,0,1,1,0,0,0,0,0,3050.8
0,0,1,1,0,1,0,1,0,1,0,0,1,0,3031.2
0,0,0,1,1,0,0,0,0,1,1,0,1,0,3047.5
0,1,1,0,1,0,0,1,0,0,0,1,1,0,3058.9
0,1,1,1,0,1,0,1,0,0,1,1,1,1,3036.3
1,1,0,0,1,1,1,0,0,1,1,1,1,1,3057.9
1,1,1,0,0,0,0,1,1,0,0,1,1,1,3071.6
1,1,1,1,1,1,0,1,1,0,0,0,1,0,3028.0
1,1,0,0,0,1,0,1,1,0,1,1,1,0,3075.0
0,1,0,0,0,1,0,1,1,0,0,1,0,0,3095.4
1,0,1,1,1,1,0,1,1,0,0,1,1,1,3052.3
1,0,0,1,1,1,0,0,1,0,1,0,1,1,3024.6
0,1,0,1,1,1,0,1,1,0,0,1,1,0,3043.3
1,1,1,1,1,1,1,1,1,0,0,0,1,0,3037.0
0,0,1,1,1,1,0,1,1,1,1,1,1,1,3042.2
0,1,1,0,0,0,0,0,0,1,0,1,1,1,3035.7
