SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqsync
0,1,0,1,0,0,0,0,1,0,0,0,0,1,2544.8
0,1,0,1,0,0,0,0,0,0,1,1,0,1,2548.5
1,1,0,1,1,1,0,1,0,0,0,0,0,0,2547.3
0,1,1,0,0,0,1,0,0,1,1,1,0,0,2552.3
0,1,1,0,0,0,0,1,0,1,1,0,0,1,2551.7
1,1,1,0,1,1,0,0,1,0,1,1,1,1,2550.8
0,0,0,0,1,0,1,0,1,0,1,0,1,0,2535.7
0,0,0,1,1,1,0,0,0,0,0,1,1,1,2551.0
1,0,0,0,1,0,1,1,0,0,1,0,1,0,2557.9
1,0,0,1,0,1,0,1,1,0,0,0,1,0,2543.7
0,1,1,0,0,0,1,1,1,1,1,1,0,0,2546.3
1,0,1,1,0,0,0,0,1,1,1,0,1,0,2541.8
0,0,0,1,1,0,0,1,0,1,1,0,1,1,2547.3
1,1,1,1,1,0,0,1,1,1,0,0,1,0,2550.0
1,0,1,0,0,1,1,1,1,0,1,1,0,1,2560.6
0,1,0,1,1,1,0,0,1,1,0,0,1,0,2543.9
0,1,1,1,1,1,1,0,1,1,1,0,1,0,2557.8
0,1,0,1,0,0,1,1,1,1,1,0,0,0,2549.2
1,0,1,1,1,0,1,0,1,1,0,1,1,0,2543.9
1,0,0,1,1,1,1,0,0,0,1,1,1,0,2551.2
1,0,0,1,0,0,1,1,0,0,0,0,0,1,2556.4
1,1,1,0,0,1,0,0,1,0,1,0,1,1,2539.8
0,0,1,1,0,1,0,1,1,1,0,0,0,0,2545.2
1,0,0,0,1,1,0,1,0,1,1,1,1,0,2557.8
1,1,1,0,0,0,0,1,0,0,0,0,0,1,2545.5
0,0,1,0,1,1,1,0,0,0,1,0,0,0,2546.1
1,1,1,0,0,0,0,0,0,1,1,0,0,0,2546.7
0,0,0,0,0,1,1,1,1,0,0,1,1,0,2546.5
0,0,1,1,1,0,1,1,0,0,1,0,0,0,2544.9
0,1,0,0,0,1,1,1,1,1,0,1,1,0,2554.1
0,0,0,1,0,0,0,0,0,1,1,0,0,1,2542.5
1,0,0,0,1,1,0,1,0,1,1,1,0,0,2565.2
0,0,1,1,0,0,1,1,0,1,1,1,1,0,2547.4
0,1,1,1,1,0,1,0,0,0,1,0,1,0,2550.1
0,0,0,1,0,0,0,0,0,1,0,1,1,0,2543.9
0,1,0,1,0,0,1,0,0,1,1,0,1,1,2519.9
0,0,1,1,1,0,1,0,1,1,1,0,1,0,2544.0
0,0,0,1,1,0,1,0,1,1,0,0,1,0,2528.4
0,0,1,0,0,0,0,0,1,0,1,0,1,1,2531.2
0,0,1,0,1,0,1,0,0,0,0,0,0,1,2548.6
0,1,1,1,1,1,1,0,1,1,0,1,1,1,2546.6
1,1,0,1,0,0,0,1,0,1,0,1,0,0,2557.3
1,0,1,1,0,0,0,1,1,1,1,0,0,0,2543.7
1,1,0,0,1,1,1,0,0,0,0,1,1,0,2526.9
1,0,0,1,1,1,1,0,1,1,1,1,0,1,2554.0
0,0,0,0,0,1,0,1,0,0,0,0,0,1,2566.0
1,1,1,1,1,1,1,1,1,1,1,0,0,1,2536.1
0,0,1,1,0,0,1,1,0,0,1,1,0,0,2546.8
1,1,1,0,1,0,1,1,1,1,0,1,0,0,2544.9
0,0,0,1,1,0,0,0,0,1,1,0,1,0,2532.0
1,1,0,0,1,0,0,0,1,0,0,1,1,0,2547.6
0,1,0,1,1,0,0,0,0,0,0,1,1,0,2541.3
1,0,0,1,0,1,0,0,1,1,1,1,1,0,2565.5
1,1,1,1,1,1,0,0,1,1,1,0,0,0,2532.8
1,0,1,0,1,1,0,0,1,1,1,1,0,1,2545.1
0,0,1,1,0,1,0,1,0,0,1,1,0,1,2546.7
0,1,0,1,0,0,1,1,1,1,1,0,1,1,2550.3
1,0,0,1,1,1,1,0,1,0,0,1,1,0,2544.1
1,0,0,1,1,0,1,0,1,1,0,1,1,0,2536.7
0,0,1,1,0,0,0,0,1,1,0,0,1,0,2541.8
0,0,0,0,1,1,1,1,1,0,1,0,1,0,2528.8
1,0,0,1,1,1,1,1,1,0,1,0,0,1,2546.3
1,1,0,0,0,1,0,0,1,0,0,1,0,0,2549.7
1,0,1,1,0,0,0,0,0,0,1,1,0,0,2545.8
1,0,1,0,1,0,0,0,1,0,0,1,0,0,2547.9
0,1,1,1,1,1,0,1,1,0,0,0,0,0,2540.4
0,1,0,0,0,1,0,0,1,0,1,1,0,0,2544.6
1,0,0,0,1,1,0,0,0,1,1,0,0,1,2554.4
1,1,0,1,1,0,0,1,1,0,0,1,0,0,2547.1
1,0,1,1,0,1,0,1,1,1,1,0,1,1,2547.2
0,1,1,0,1,1,1,0,0,1,1,0,0,1,2551.4
1,1,0,1,0,0,1,1,0,0,1,1,1,0,2542.5
0,1,0,1,1,0,1,1,0,1,1,0,1,0,2532.8
1,0,0,1,1,0,1,1,0,1,0,1,0,1,2551.2
1,1,1,0,1,0,0,0,1,0,0,0,0,1,2545.0
0,0,1,1,0,0,1,0,0,1,0,1,0,1,2547.4
0,1,1,0,0,0,1,1,0,0,1,0,0,1,2548.4
0,1,1,1,1,1,0,0,0,1,1,1,0,1,2537.6
1,0,1,0,0,0,1,0,1,0,0,1,0,0,2551.7
0,0,1,0,0,1,1,0,1,0,0,0,1,1,2538.1
1,1,1,0,0,0,0,1,0,0,1,1,1,1,2546.2
0,0,0,1,0,1,1,1,1,1,0,0,0,0,2538.5
0,1,1,0,0,0,0,0,1,0,1,1,1,1,2529.3
0,1,0,0,0,0,0,1,0,1,1,1,1,0,2526.6
0,1,1,1,1,0,1,1,1,1,1,0,0,0,2545.4
0,0,0,1,1,0,0,0,0,1,1,1,0,1,2546.4
1,0,1,0,0,1,0,0,0,0,0,0,1,1,2532.7
1,0,1,0,1,1,0,0,1,1,0,1,0,0,2544.5
0,1,1,1,0,1,0,0,0,0,0,1,0,0,2532.0
1,0,1,1,0,1,0,1,0,0,0,0,1,1,2542.4
0,1,1,1,1,0,0,1,1,1,1,0,0,0,2547.8
0,1,0,1,1,0,1,0,0,1,1,0,1,0,2543.0
0,0,1,1,1,0,0,1,1,1,1,0,1,0,2540.4
1,0,1,1,1,1,1,1,0,1,1,0,1,0,2536.6
0,0,1,1,1,0,1,0,0,1,1,1,0,1,2532.0
1,1,0,0,0,0,1,1,1,1,1,0,1,0,2549.0
0,1,1,1,0,1,0,0,0,0,1,1,1,0,2544.3
1,1,1,1,0,1,1,1,1,1,1,0,1,1,2536.6
1,1,1,0,0,0,1,0,0,1,1,0,1,1,2513.0
1,0,0,0,0,1,1,1,1,1,0,1,1,0,2544.9
1,1,0,1,1,0,1,1,0,1,0,1,1,1,2538.9
1,0,1,1,1,1,0,0,1,0,1,0,0,1,2534.1
0,0,1,1,0,0,1,0,0,0,1,0,1,0,2534.4
1,1,0,1,0,1,0,1,0,1,0,0,0,0,2538.3
1,1,1,0,0,1,1,0,1,0,0,1,0,0,2523.4
1,1,0,1,0,1,1,0,1,1,0,1,0,1,2534.8
1,0,1,0,1,0,1,1,0,1,0,1,1,0,2547.9
1,0,1,1,0,1,0,0,1,0,1,1,0,1,2533.5
1,0,0,0,1,0,0,1,0,1,1,0,1,1,2529.8
1,0,0,1,0,0,0,1,1,1,1,0,0,0,2537.3
1,0,1,0,0,1,1,1,1,1,1,0,0,1,2541.1
1,0,0,0,0,1,0,1,0,0,0,0,1,0,2526.9
0,1,1,1,1,1,0,0,1,1,0,0,1,1,2522.5
1,1,1,1,1,1,0,1,0,0,0,1,1,0,2532.4
