SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandbatch.6
0,0,0,1,0,1,1,0,0,1,1,1,1,0,14.533
0,0,0,0,1,0,1,0,0,1,0,0,0,1,14.235
0,1,0,1,0,1,0,1,0,0,1,0,1,1,14.102
1,1,0,0,0,1,0,0,1,1,0,1,0,1,15.607
1,0,0,1,1,1,0,1,1,1,0,0,1,1,14.459
1,1,1,1,0,0,1,0,1,1,1,0,1,0,14.243
0,1,1,1,1,1,1,0,0,1,0,1,1,0,14.252
1,0,1,0,1,0,0,1,1,1,0,0,0,1,14.197
1,0,1,1,1,0,1,0,1,1,1,1,1,0,14.755
1,0,0,1,1,1,0,1,1,0,1,1,0,0,14.498
0,1,0,1,0,1,1,0,0,1,0,1,0,0,15.385
0,0,0,1,0,1,0,1,0,1,1,1,0,0,14.918
0,1,0,0,1,1,0,0,1,0,1,0,1,0,20.452
0,1,1,1,1,0,0,1,0,1,0,0,1,0,20.903
1,1,0,1,1,0,0,1,1,0,1,0,0,0,28.272
0,0,1,0,1,1,0,1,1,1,0,0,0,0,132.14
1,0,0,0,1,0,0,1,1,0,0,1,0,1,136.8
1,1,0,0,0,0,0,1,0,0,1,1,1,1,171.48
1,1,0,1,0,0,1,0,0,1,0,1,0,0,162.21
0,0,0,0,0,1,0,1,1,0,0,1,0,1,80.474
0,1,1,1,1,0,0,0,0,1,0,0,1,1,80.904
1,0,0,0,1,1,0,0,1,1,1,0,0,0,75.783
0,1,1,1,0,0,0,0,0,0,1,0,1,1,69.831
1,1,1,1,1,0,0,1,0,1,1,0,1,0,81.716
1,1,0,1,0,0,0,0,1,1,0,0,1,1,59.856
0,0,1,0,0,0,1,0,1,1,0,1,0,0,62.14
0,1,1,0,1,1,0,1,1,0,0,1,1,0,78.991
1,0,0,1,1,0,1,1,0,0,0,1,1,0,64.125
1,1,1,0,0,0,1,0,1,0,0,0,0,1,66.75
0,0,0,0,1,0,0,0,1,0,1,0,1,0,50.546
0,0,0,0,1,0,0,0,0,1,1,1,1,0,48.136
1,0,1,1,1,1,0,1,0,0,0,1,0,0,51.514
0,1,0,1,0,0,0,0,1,0,0,0,0,1,52.873
0,1,0,1,0,0,0,0,0,0,1,1,0,1,64.02
1,1,0,1,1,1,0,1,0,0,0,0,0,0,46.584
0,1,1,0,0,0,1,0,0,1,1,1,0,0,48.867
0,1,1,0,0,0,0,1,0,1,1,0,0,1,56.402
1,1,1,0,1,1,0,0,1,0,1,1,1,1,42.957
0,0,0,0,1,0,1,0,1,0,1,0,1,0,39.552
0,0,0,1,1,1,0,0,0,0,0,1,1,1,39.54
1,0,0,0,1,0,1,1,0,0,1,0,1,0,35.361
1,0,0,1,0,1,0,1,1,0,0,0,1,0,38.41
0,1,1,0,0,0,1,1,1,1,1,1,0,0,39.467
1,0,1,1,0,0,0,0,1,1,1,0,1,0,43.806
0,0,0,1,1,0,0,1,0,1,1,0,1,1,32.648
1,1,1,1,1,0,0,1,1,1,0,0,1,0,32.915
1,0,1,0,0,1,1,1,1,0,1,1,0,1,37.105
0,1,0,1,1,1,0,0,1,1,0,0,1,0,36.747
0,1,1,1,1,1,1,0,1,1,1,0,1,0,33.427
0,1,0,1,0,0,1,1,1,1,1,0,0,0,38.29
1,0,1,1,1,0,1,0,1,1,0,1,1,0,40.606
1,0,0,1,1,1,1,0,0,0,1,1,1,0,46.574
1,0,0,1,0,0,1,1,0,0,0,0,0,1,53.766
1,1,1,0,0,1,0,0,1,0,1,0,1,1,50.862
0,0,1,1,0,1,0,1,1,1,0,0,0,0,54.063
1,0,0,0,1,1,0,1,0,1,1,1,1,0,60.044
1,1,1,0,0,0,0,1,0,0,0,0,0,1,48.808
0,0,1,0,1,1,1,0,0,0,1,0,0,0,44.495
1,1,1,0,0,0,0,0,0,1,1,0,0,0,46.847
0,0,0,0,0,1,1,1,1,0,0,1,1,0,52.108
0,0,1,1,1,0,1,1,0,0,1,0,0,0,53.392
0,1,0,0,0,1,1,1,1,1,0,1,1,0,47.546
0,0,0,1,0,0,0,0,0,1,1,0,0,1,41.472
1,0,0,0,1,1,0,1,0,1,1,1,0,0,45.409
0,0,1,1,0,0,1,1,0,1,1,1,1,0,51.67
0,1,1,1,1,0,1,0,0,0,1,0,1,0,50.515
0,0,0,1,0,0,0,0,0,1,0,1,1,0,44.435
0,1,0,1,0,0,1,0,0,1,1,0,1,1,39.109
0,0,1,1,1,0,1,0,1,1,1,0,1,0,37.313
0,0,0,1,1,0,1,0,1,1,0,0,1,0,31.175
0,0,1,0,0,0,0,0,1,0,1,0,1,1,31.844
0,0,1,0,1,0,1,0,0,0,0,0,0,1,32.014
0,1,1,1,1,1,1,0,1,1,0,1,1,1,37.388
1,1,0,1,0,0,0,1,0,1,0,1,0,0,31.903
1,0,1,1,0,0,0,1,1,1,1,0,0,0,36.5
1,1,0,0,1,1,1,0,0,0,0,1,1,0,86.394
1,0,0,1,1,1,1,0,1,1,1,1,0,1,180.0
0,0,0,0,0,1,0,1,0,0,0,0,0,1,155.67
1,1,1,1,1,1,1,1,1,1,1,0,0,1,144.94
0,0,1,1,0,0,1,1,0,0,1,1,0,0,172.48
1,1,1,0,1,0,1,1,1,1,0,1,0,0,151.5
0,0,0,1,1,0,0,0,0,1,1,0,1,0,132.88
1,1,0,0,1,0,0,0,1,0,0,1,1,0,113.29
0,1,0,1,1,0,0,0,0,0,0,1,1,0,81.629
1,0,0,1,0,1,0,0,1,1,1,1,1,0,89.5
1,1,1,1,1,1,0,0,1,1,1,0,0,0,63.761
1,0,1,0,1,1,0,0,1,1,1,1,0,1,73.486
0,0,1,1,0,1,0,1,0,0,1,1,0,1,59.65
0,1,0,1,0,0,1,1,1,1,1,0,1,1,64.066
1,0,0,1,1,1,1,0,1,0,0,1,1,0,50.716
1,0,0,1,1,0,1,0,1,1,0,1,1,0,54.745
0,0,1,1,0,0,0,0,1,1,0,0,1,0,57.467
0,0,0,0,1,1,1,1,1,0,1,0,1,0,42.942
1,0,0,1,1,1,1,1,1,0,1,0,0,1,34.255
1,1,0,0,0,1,0,0,1,0,0,1,0,0,37.007
1,0,1,1,0,0,0,0,0,0,1,1,0,0,42.432
1,0,1,0,1,0,0,0,1,0,0,1,0,0,39.666
0,1,1,1,1,1,0,1,1,0,0,0,0,0,33.532
0,1,0,0,0,1,0,0,1,0,1,1,0,0,38.581
1,0,0,0,1,1,0,0,0,1,1,0,0,1,39.448
1,1,0,1,1,0,0,1,1,0,0,1,0,0,38.513
1,0,1,1,0,1,0,1,1,1,1,0,1,1,30.952
0,1,1,0,1,1,1,0,0,1,1,0,0,1,30.846
1,1,0,1,0,0,1,1,0,0,1,1,1,0,33.417
0,1,0,1,1,0,1,1,0,1,1,0,1,0,33.28
1,0,0,1,1,0,1,1,0,1,0,1,0,1,33.244
1,1,1,0,1,0,0,0,1,0,0,0,0,1,35.675
0,0,1,1,0,0,1,0,0,1,0,1,0,1,39.348
0,1,1,0,0,0,1,1,0,0,1,0,0,1,29.634
0,1,1,1,1,1,0,0,0,1,1,1,0,1,30.453
1,0,1,0,0,0,1,0,1,0,0,1,0,0,35.706
0,0,1,0,0,1,1,0,1,0,0,0,1,1,31.674
1,1,1,0,0,0,0,1,0,0,1,1,1,1,36.424
0,0,0,1,0,1,1,1,1,1,0,0,0,0,31.281
0,1,1,0,0,0,0,0,1,0,1,1,1,1,32.166
0,1,0,0,0,0,0,1,0,1,1,1,1,0,33.758
0,1,1,1,1,0,1,1,1,1,1,0,0,0,32.07
0,0,0,1,1,0,0,0,0,1,1,1,0,1,37.319
1,0,1,0,0,1,0,0,0,0,0,0,1,1,41.929
1,0,1,0,1,1,0,0,1,1,0,1,0,0,48.536
0,1,1,1,0,1,0,0,0,0,0,1,0,0,51.079
1,0,1,1,0,1,0,1,0,0,0,0,1,1,53.217
