SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandbatch.3
0,0,0,1,0,1,1,0,0,1,1,1,1,0,14.368
0,0,0,0,1,0,1,0,0,1,0,0,0,1,13.674
0,1,0,1,0,1,0,1,0,0,1,0,1,1,13.571
1,1,0,0,0,1,0,0,1,1,0,1,0,1,14.469
1,0,0,1,1,1,0,1,1,1,0,0,1,1,13.557
1,1,1,1,0,0,1,0,1,1,1,0,1,0,13.589
0,1,1,1,1,1,1,0,0,1,0,1,1,0,14.258
1,0,1,0,1,0,0,1,1,1,0,0,0,1,13.774
1,0,1,1,1,0,1,0,1,1,1,1,1,0,14.328
1,0,0,1,1,1,0,1,1,0,1,1,0,0,14.391
0,1,0,1,0,1,1,0,0,1,0,1,0,0,14.456
0,0,0,1,0,1,0,1,0,1,1,1,0,0,14.34
0,1,0,0,1,1,0,0,1,0,1,0,1,0,13.404
0,1,1,1,1,0,0,1,0,1,0,0,1,0,13.517
1,1,0,1,1,0,0,1,1,0,1,0,0,0,13.509
0,0,1,0,1,1,0,1,1,1,0,0,0,0,13.639
1,0,0,0,1,0,0,1,1,0,0,1,0,1,14.156
1,1,0,0,0,0,0,1,0,0,1,1,1,1,14.461
1,1,0,1,0,0,1,0,0,1,0,1,0,0,14.373
0,0,0,0,0,1,0,1,1,0,0,1,0,1,14.175
0,1,1,1,1,0,0,0,0,1,0,0,1,1,13.614
1,0,0,0,1,1,0,0,1,1,1,0,0,0,13.575
0,1,1,1,0,0,0,0,0,0,1,0,1,1,13.46
1,1,1,1,1,0,0,1,0,1,1,0,1,0,13.515
1,1,0,1,0,0,0,0,1,1,0,0,1,1,13.58
0,0,1,0,0,0,1,0,1,1,0,1,0,0,14.34
0,1,1,0,1,1,0,1,1,0,0,1,1,0,14.13
1,0,0,1,1,0,1,1,0,0,0,1,1,0,14.29
1,1,1,0,0,0,1,0,1,0,0,0,0,1,13.555
0,0,0,0,1,0,0,0,1,0,1,0,1,0,13.47
0,0,0,0,1,0,0,0,0,1,1,1,1,0,14.439
1,0,1,1,1,1,0,1,0,0,0,1,0,0,14.204
0,1,0,1,0,0,0,0,1,0,0,0,0,1,13.557
0,1,0,1,0,0,0,0,0,0,1,1,0,1,14.163
1,1,0,1,1,1,0,1,0,0,0,0,0,0,14.483
0,1,1,0,0,0,1,0,0,1,1,1,0,0,14.275
0,1,1,0,0,0,0,1,0,1,1,0,0,1,13.564
1,1,1,0,1,1,0,0,1,0,1,1,1,1,14.181
0,0,0,0,1,0,1,0,1,0,1,0,1,0,13.588
0,0,0,1,1,1,0,0,0,0,0,1,1,1,14.133
1,0,0,0,1,0,1,1,0,0,1,0,1,0,13.514
1,0,0,1,0,1,0,1,1,0,0,0,1,0,13.733
0,1,1,0,0,0,1,1,1,1,1,1,0,0,14.476
1,0,1,1,0,0,0,0,1,1,1,0,1,0,13.527
0,0,0,1,1,0,0,1,0,1,1,0,1,1,13.631
1,1,1,1,1,0,0,1,1,1,0,0,1,0,13.625
1,0,1,0,0,1,1,1,1,0,1,1,0,1,14.079
0,1,0,1,1,1,0,0,1,1,0,0,1,0,13.537
0,1,1,1,1,1,1,0,1,1,1,0,1,0,13.608
0,1,0,1,0,0,1,1,1,1,1,0,0,0,13.594
1,0,1,1,1,0,1,0,1,1,0,1,1,0,14.282
1,0,0,1,1,1,1,0,0,0,1,1,1,0,14.31
1,0,0,1,0,0,1,1,0,0,0,0,0,1,13.623
1,1,1,0,0,1,0,0,1,0,1,0,1,1,13.566
0,0,1,1,0,1,0,1,1,1,0,0,0,0,13.691
1,0,0,0,1,1,0,1,0,1,1,1,1,0,14.387
1,1,1,0,0,0,0,1,0,0,0,0,0,1,13.632
0,0,1,0,1,1,1,0,0,0,1,0,0,0,13.591
1,1,1,0,0,0,0,0,0,1,1,0,0,0,13.686
0,0,0,0,0,1,1,1,1,0,0,1,1,0,14.374
0,0,1,1,1,0,1,1,0,0,1,0,0,0,13.692
0,1,0,0,0,1,1,1,1,1,0,1,1,0,14.445
0,0,0,1,0,0,0,0,0,1,1,0,0,1,13.63
1,0,0,0,1,1,0,1,0,1,1,1,0,0,14.444
0,0,1,1,0,0,1,1,0,1,1,1,1,0,14.353
0,1,1,1,1,0,1,0,0,0,1,0,1,0,13.368
0,0,0,1,0,0,0,0,0,1,0,1,1,0,14.43
0,1,0,1,0,0,1,0,0,1,1,0,1,1,13.664
0,0,1,1,1,0,1,0,1,1,1,0,1,0,13.552
0,0,0,1,1,0,1,0,1,1,0,0,1,0,13.702
0,0,1,0,0,0,0,0,1,0,1,0,1,1,13.604
