SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwrite
0,1,1,1,1,0,1,0,0,0,1,0,1,0,21.147
0,0,0,1,0,0,0,0,0,1,0,1,1,0,24.671
0,1,0,1,0,0,1,0,0,1,1,0,1,1,21.659
0,0,1,1,1,0,1,0,1,1,1,0,1,0,21.176
0,0,0,1,1,0,1,0,1,1,0,0,1,0,21.22
0,0,1,0,0,0,0,0,1,0,1,0,1,1,21.044
0,0,1,0,1,0,1,0,0,0,0,0,0,1,21.421
0,1,1,1,1,1,1,0,1,1,0,1,1,1,24.57
1,1,0,1,0,0,0,1,0,1,0,1,0,0,25.404
1,0,1,1,0,0,0,1,1,1,1,0,0,0,22.031
1,1,0,0,1,1,1,0,0,0,0,1,1,0,24.523
1,0,0,1,1,1,1,0,1,1,1,1,0,1,24.513
0,0,0,0,0,1,0,1,0,0,0,0,0,1,21.673
1,1,1,1,1,1,1,1,1,1,1,0,0,1,21.676
0,0,1,1,0,0,1,1,0,0,1,1,0,0,24.571
1,1,1,0,1,0,1,1,1,1,0,1,0,0,25.38
0,0,0,1,1,0,0,0,0,1,1,0,1,0,21.884
1,1,0,0,1,0,0,0,1,0,0,1,1,0,24.997
0,1,0,1,1,0,0,0,0,0,0,1,1,0,24.508
1,0,0,1,0,1,0,0,1,1,1,1,1,0,24.906
1,1,1,1,1,1,0,0,1,1,1,0,0,0,21.878
1,0,1,0,1,1,0,0,1,1,1,1,0,1,24.76
0,0,1,1,0,1,0,1,0,0,1,1,0,1,25.458
0,1,0,1,0,0,1,1,1,1,1,0,1,1,21.706
1,0,0,1,1,1,1,0,1,0,0,1,1,0,25.252
1,0,0,1,1,0,1,0,1,1,0,1,1,0,24.834
0,0,1,1,0,0,0,0,1,1,0,0,1,0,21.714
0,0,0,0,1,1,1,1,1,0,1,0,1,0,21.87
1,0,0,1,1,1,1,1,1,0,1,0,0,1,21.61
1,1,0,0,0,1,0,0,1,0,0,1,0,0,24.736
1,0,1,1,0,0,0,0,0,0,1,1,0,0,25.581
1,0,1,0,1,0,0,0,1,0,0,1,0,0,24.496
0,1,1,1,1,1,0,1,1,0,0,0,0,0,21.358
0,1,0,0,0,1,0,0,1,0,1,1,0,0,24.465
1,0,0,0,1,1,0,0,0,1,1,0,0,1,21.761
1,1,0,1,1,0,0,1,1,0,0,1,0,0,26.112
1,0,1,1,0,1,0,1,1,1,1,0,1,1,21.849
0,1,1,0,1,1,1,0,0,1,1,0,0,1,22.073
1,1,0,1,0,0,1,1,0,0,1,1,1,0,24.548
0,1,0,1,1,0,1,1,0,1,1,0,1,0,21.415
1,0,0,1,1,0,1,1,0,1,0,1,0,1,24.541
1,1,1,0,1,0,0,0,1,0,0,0,0,1,21.859
0,0,1,1,0,0,1,0,0,1,0,1,0,1,24.709
0,1,1,0,0,0,1,1,0,0,1,0,0,1,21.822
0,1,1,1,1,1,0,0,0,1,1,1,0,1,24.899
1,0,1,0,0,0,1,0,1,0,0,1,0,0,24.929
0,0,1,0,0,1,1,0,1,0,0,0,1,1,21.326
1,1,1,0,0,0,0,1,0,0,1,1,1,1,25.328
0,0,0,1,0,1,1,1,1,1,0,0,0,0,21.719
0,1,1,0,0,0,0,0,1,0,1,1,1,1,24.896
0,1,0,0,0,0,0,1,0,1,1,1,1,0,24.574
0,1,1,1,1,0,1,1,1,1,1,0,0,0,21.555
0,0,0,1,1,0,0,0,0,1,1,1,0,1,24.583
1,0,1,0,0,1,0,0,0,0,0,0,1,1,21.422
1,0,1,0,1,1,0,0,1,1,0,1,0,0,25.156
0,1,1,1,0,1,0,0,0,0,0,1,0,0,24.425
1,0,1,1,0,1,0,1,0,0,0,0,1,1,22.344
0,1,1,1,1,0,0,1,1,1,1,0,0,0,21.377
0,1,0,1,1,0,1,0,0,1,1,0,1,0,21.221
0,0,1,1,1,0,0,1,1,1,1,0,1,0,21.987
1,0,1,1,1,1,1,1,0,1,1,0,1,0,21.89
0,0,1,1,1,0,1,0,0,1,1,1,0,1,24.985
1,1,0,0,0,0,1,1,1,1,1,0,1,0,21.836
0,1,1,1,0,1,0,0,0,0,1,1,1,0,25.325
1,1,1,1,0,1,1,1,1,1,1,0,1,1,21.645
1,1,1,0,0,0,1,0,0,1,1,0,1,1,21.327
1,0,0,0,0,1,1,1,1,1,0,1,1,0,25.854
1,1,0,1,1,0,1,1,0,1,0,1,1,1,24.437
1,0,1,1,1,1,0,0,1,0,1,0,0,1,21.517
0,0,1,1,0,0,1,0,0,0,1,0,1,0,21.252
1,1,0,1,0,1,0,1,0,1,0,0,0,0,21.773
1,1,1,0,0,1,1,0,1,0,0,1,0,0,25.625
1,1,0,1,0,1,1,0,1,1,0,1,0,1,24.875
1,0,1,0,1,0,1,1,0,1,0,1,1,0,24.737
1,0,1,1,0,1,0,0,1,0,1,1,0,1,24.923
1,0,0,0,1,0,0,1,0,1,1,0,1,1,21.708
1,0,0,1,0,0,0,1,1,1,1,0,0,0,21.277
1,0,1,0,0,1,1,1,1,1,1,0,0,1,21.579
