SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwrite
1,1,0,1,1,1,0,0,1,1,0,1,0,0,25.191
0,1,1,1,0,0,1,1,1,1,1,0,0,0,21.43
0,0,0,1,0,1,0,1,0,0,1,0,0,0,21.823
1,0,1,0,0,1,1,0,0,1,1,1,1,0,24.808
0,1,1,0,0,0,0,1,1,1,0,0,1,0,21.509
1,0,0,1,0,1,1,0,0,1,1,1,1,1,24.872
1,0,1,0,1,0,0,0,1,1,1,0,1,0,21.624
1,0,1,1,1,1,1,0,0,1,1,1,1,0,25.003
0,1,1,0,1,1,1,1,0,1,0,1,0,0,26.006
0,0,1,0,0,0,0,0,1,0,1,1,0,1,24.856
0,1,1,1,0,0,0,0,0,0,0,1,0,1,24.783
0,0,1,1,0,0,1,0,0,1,0,0,1,0,21.577
0,1,1,0,0,1,1,0,0,1,0,1,0,0,24.519
0,1,0,1,0,0,0,1,0,0,1,1,0,0,24.426
0,0,1,1,0,1,0,1,0,1,0,1,1,1,24.748
1,1,0,0,0,0,1,1,0,1,1,1,1,0,24.93
0,1,1,1,1,0,1,1,1,1,0,0,0,0,21.465
0,1,0,0,0,0,1,0,0,1,1,0,0,0,21.408
1,0,1,0,0,1,0,1,0,0,1,1,1,0,24.965
0,0,1,1,0,1,1,1,0,1,0,0,0,1,21.788
0,0,1,1,0,1,1,0,0,0,0,1,0,0,24.597
1,1,0,1,1,1,1,0,1,1,0,0,0,0,21.921
1,1,0,0,0,0,0,1,0,1,0,1,1,0,25.107
0,0,1,0,0,0,1,0,1,0,0,1,1,0,24.107
0,0,0,0,1,0,0,1,0,1,1,1,1,1,24.795
0,1,0,1,1,1,0,1,0,0,0,1,1,1,24.356
1,0,0,0,1,0,0,0,0,1,0,1,1,1,24.953
1,0,1,1,0,0,0,1,1,0,1,0,1,0,21.953
0,0,1,0,1,1,1,1,0,0,0,0,0,1,21.824
1,0,0,0,0,1,0,0,1,0,0,1,1,0,24.491
1,0,0,0,1,1,1,1,0,1,0,0,0,1,22.69
0,1,1,1,0,0,0,0,0,0,0,0,1,1,21.429
1,1,0,1,0,1,0,1,1,1,0,0,0,0,21.643
0,1,1,1,0,0,0,1,1,1,0,0,0,0,22.959
0,1,1,1,1,1,0,0,1,1,1,1,1,1,24.56
1,0,0,0,0,0,0,0,0,0,1,0,1,0,21.506
0,1,0,1,0,0,0,1,1,1,0,1,0,0,25.213
0,1,0,0,0,0,1,1,1,1,1,0,0,1,21.718
0,0,0,0,0,1,0,0,1,0,0,0,0,1,21.788
1,1,0,1,1,1,0,1,0,0,1,1,1,1,24.67
0,0,1,0,0,1,1,1,0,1,0,1,1,1,25.021
0,0,0,1,1,1,0,0,1,0,1,1,1,0,24.834
0,1,0,0,1,1,0,0,1,0,0,0,0,0,21.376
1,0,0,0,0,1,1,1,0,0,0,1,0,0,24.451
1,1,0,1,0,0,0,1,1,0,0,1,1,1,24.611
1,1,0,0,0,1,1,1,0,0,0,0,1,0,21.49
1,0,0,1,1,0,0,1,1,1,1,1,1,1,25.01
0,1,1,0,1,0,1,1,1,0,0,1,1,1,24.714
0,1,0,1,1,0,1,1,0,0,0,0,1,0,21.305
1,0,0,0,1,1,1,1,1,1,1,0,0,0,22.838
1,0,1,1,0,1,0,1,0,0,1,1,0,1,25.019
1,0,1,0,1,0,0,1,1,0,1,0,0,1,21.687
1,1,1,1,1,1,1,1,1,1,1,0,1,1,21.582
1,1,1,0,1,1,0,0,1,1,0,1,1,1,24.639
0,1,0,1,1,0,0,0,1,0,1,0,0,1,21.347
1,0,1,0,1,1,0,1,1,1,1,0,1,1,21.256
0,0,0,1,1,0,1,1,0,1,1,1,0,0,25.068
1,0,0,0,0,1,0,1,1,0,1,0,0,1,21.819
1,0,1,0,0,1,1,1,1,1,0,0,1,0,21.58
0,0,0,1,0,0,1,1,1,1,1,0,1,1,21.333
0,0,0,0,1,0,1,1,1,1,1,1,0,0,25.11
0,1,1,0,0,0,1,0,1,0,1,0,1,0,21.495
0,1,0,0,1,0,1,0,0,0,1,0,0,0,21.401
1,0,0,1,1,1,0,1,0,1,1,1,1,1,25.759
1,1,0,0,1,0,0,0,1,1,1,1,1,0,25.206
1,1,0,1,0,0,0,0,0,1,0,1,1,1,24.992
0,0,1,1,1,1,1,0,1,1,0,1,1,0,24.559
0,1,1,0,0,0,1,0,1,0,0,0,1,0,21.402
0,1,0,1,1,0,1,1,0,1,1,1,0,0,25.013
0,1,1,0,0,1,0,0,1,1,1,1,1,1,24.56
1,0,1,1,0,1,1,0,1,1,0,1,0,0,25.155
0,1,0,1,0,0,1,1,1,0,1,0,0,1,21.445
1,0,1,1,0,0,1,0,1,0,1,1,1,1,24.791
0,0,1,1,0,1,1,0,1,0,1,0,0,1,21.463
0,0,0,1,1,1,0,1,0,1,0,1,0,1,24.618
1,1,1,0,0,0,0,1,1,1,1,1,0,1,25.487
0,1,0,0,0,1,0,0,1,1,0,0,1,0,21.297
1,0,0,1,1,1,1,0,1,0,0,0,1,1,21.702
1,1,0,1,1,1,1,1,0,1,1,1,1,1,24.82
1,0,1,0,0,1,0,0,1,1,1,0,0,1,21.693
0,1,0,1,1,0,1,1,1,1,1,1,0,0,24.653
1,0,0,1,0,1,0,0,0,1,1,0,0,1,21.801
0,1,0,1,0,1,1,1,0,0,1,1,1,0,24.504
1,0,1,1,0,0,0,1,1,0,1,1,1,1,24.958
1,0,1,1,0,0,0,0,1,0,1,1,1,1,24.823
0,1,1,1,1,0,1,1,0,1,0,1,0,1,24.956
1,1,1,1,1,1,1,0,0,0,0,0,0,1,22.27
1,0,0,0,1,0,0,0,1,1,1,0,0,1,21.558
0,0,0,0,1,0,1,0,1,1,1,0,0,0,21.596
0,1,1,1,0,1,1,1,0,1,1,0,1,0,21.633
0,1,1,0,0,0,1,0,1,0,1,1,1,0,24.928
0,0,0,0,0,1,0,0,0,0,0,1,0,1,24.977
1,1,0,0,0,1,1,1,0,0,1,1,1,0,24.498
1,0,0,0,0,0,1,0,0,0,0,1,0,0,25.15
1,1,0,1,1,1,0,1,0,1,0,1,1,0,24.49
0,1,0,1,1,1,1,0,1,1,1,0,1,1,21.489
0,1,0,1,1,0,0,0,0,0,0,0,0,1,21.449
1,1,0,1,0,0,0,1,1,1,0,0,1,0,21.513
0,1,0,1,1,0,0,0,0,0,1,1,1,0,25.481
0,1,1,1,0,1,1,1,1,1,0,0,1,1,21.555
0,0,1,1,1,0,1,1,0,1,1,0,1,1,21.941
1,1,0,0,0,0,1,0,1,1,0,1,0,1,24.824
0,0,0,0,1,0,1,1,0,0,1,1,1,0,24.402
1,1,0,1,0,0,0,0,0,0,1,0,0,0,21.869
0,1,1,0,0,0,1,1,0,1,0,0,1,0,21.766
1,0,1,1,1,1,0,0,1,0,1,0,0,1,21.591
1,1,1,1,0,0,1,0,1,1,1,1,0,0,25.393
1,0,1,0,0,0,1,1,0,0,0,0,0,0,22.111
1,1,1,0,1,1,0,0,1,0,0,0,0,0,21.868
1,1,0,0,1,1,0,0,1,0,0,1,0,0,25.069
0,0,0,1,1,0,1,0,0,1,0,0,0,0,21.781
0,0,0,0,1,1,0,0,1,0,1,1,0,0,24.596
0,0,1,1,0,0,1,1,1,1,1,0,0,1,21.299
1,0,1,0,0,0,0,1,0,1,0,0,0,0,21.616
0,0,1,0,1,1,0,0,1,0,0,1,1,0,24.458
0,0,0,1,1,1,0,1,0,1,0,1,1,1,24.801
1,1,1,1,1,0,1,0,0,1,1,0,1,0,21.809
0,1,1,1,0,1,1,1,0,0,1,1,1,1,24.518
0,0,1,1,0,1,0,0,1,0,0,0,1,0,21.059
0,1,1,1,1,0,0,1,0,0,1,1,0,1,25.201
0,0,1,1,0,0,1,1,0,0,1,0,0,1,21.784
1,1,1,0,1,1,1,0,1,0,0,0,1,0,21.405
1,1,0,0,1,0,1,0,0,1,0,0,0,0,22.156
0,0,1,1,1,1,0,1,0,1,0,1,1,1,25.198
0,0,1,1,1,0,1,0,0,1,1,0,1,1,21.836
0,1,0,0,1,0,0,0,1,1,0,0,1,0,21.992
0,0,1,0,0,0,1,1,0,0,1,1,0,0,24.956
1,1,0,0,0,0,0,1,1,1,1,0,0,0,21.568
0,1,0,0,1,0,0,0,0,1,1,0,1,0,21.36
0,0,1,1,0,0,0,1,0,0,0,0,0,0,21.366
1,0,1,0,1,0,0,0,1,0,0,1,0,0,24.673
1,0,1,1,1,0,0,1,0,0,0,1,1,0,24.916
0,1,1,0,0,0,1,1,0,1,0,0,0,1,21.577
1,0,1,1,0,0,0,0,0,0,1,0,1,0,21.594
1,0,0,0,0,0,1,0,0,1,1,0,1,1,21.658
1,1,1,1,0,1,0,1,0,0,0,1,1,0,24.809
0,1,1,0,0,0,0,0,1,1,1,1,0,0,25.178
1,1,1,1,0,0,0,1,1,1,0,0,0,0,21.929
0,0,0,1,1,0,0,0,0,1,1,0,1,0,21.465
1,1,0,0,1,0,0,0,1,1,0,0,1,0,21.425
0,1,1,0,0,0,1,0,1,1,0,0,1,1,21.406
1,1,1,0,0,1,0,0,1,1,0,1,1,0,24.652
0,1,0,1,0,1,1,1,1,1,1,0,1,1,21.421
0,1,1,0,0,1,0,0,1,0,1,1,0,0,24.691
1,0,0,0,1,1,0,0,1,1,0,1,1,1,24.892
0,0,1,0,0,1,1,1,1,0,1,1,1,0,24.755
0,1,0,1,1,0,1,1,1,0,1,0,0,1,21.484
1,0,1,0,0,0,0,0,1,0,0,0,1,1,21.613
0,1,1,0,0,0,1,0,0,0,0,0,1,1,22.058
0,1,1,0,0,1,0,0,0,1,1,1,1,1,24.669
0,1,0,1,0,0,0,0,0,0,0,0,1,1,21.746
0,0,1,0,1,0,0,1,1,0,1,0,0,0,21.914
1,1,0,0,0,1,1,0,1,0,0,1,0,1,24.795
1,0,0,0,0,0,1,0,1,1,0,0,1,1,21.577
0,1,1,1,0,1,0,0,1,0,1,0,1,0,23.002
0,0,0,1,0,0,0,1,1,0,0,0,1,0,21.27
1,0,1,0,1,0,0,0,0,1,0,1,1,0,24.811
1,0,0,1,1,0,1,0,1,1,1,0,0,1,21.837
1,1,1,0,1,0,1,0,1,1,0,0,1,1,21.716
0,1,1,1,0,0,1,1,1,0,1,1,1,0,24.477
1,1,0,1,1,0,1,1,1,0,0,1,1,0,25.13
1,0,1,0,0,1,0,1,0,1,1,0,1,0,21.638
0,1,0,0,1,0,0,0,1,0,1,0,1,1,21.48
1,0,0,1,1,0,1,0,0,0,1,0,0,0,21.774
1,0,1,0,1,1,1,0,0,1,0,0,0,1,21.777
1,1,1,1,0,0,0,1,1,1,1,1,0,1,24.805
1,1,1,0,0,0,0,1,0,1,0,1,0,0,25.113
1,0,0,1,1,1,0,0,0,0,0,0,0,1,21.759
0,1,1,1,0,0,0,1,1,0,1,1,0,1,24.92
0,1,0,1,1,0,0,0,0,0,0,1,0,1,24.441
0,0,0,0,0,1,1,0,1,1,1,0,0,0,21.981
0,1,1,0,0,0,0,1,0,1,1,0,1,0,21.351
0,1,1,0,1,1,0,0,0,1,0,1,1,1,24.827
1,1,1,1,0,1,1,1,0,1,0,0,1,0,22.227
0,1,0,0,1,0,1,0,1,1,0,1,0,0,25.165
1,1,0,1,0,1,1,0,0,1,1,1,1,0,25.469
1,1,1,0,1,0,1,1,1,0,1,0,0,1,21.872
1,0,0,0,0,1,1,0,1,1,1,1,1,0,24.895
0,0,1,1,0,1,1,1,1,1,1,0,0,0,22.44
0,1,0,1,1,0,1,1,1,0,0,0,1,1,20.978
1,0,1,1,0,0,1,0,1,0,0,1,1,1,24.462
0,1,0,0,1,0,1,0,1,0,0,0,1,1,21.531
1,1,1,1,1,0,1,0,1,1,0,0,0,0,21.855
0,1,0,1,0,0,1,0,0,1,1,1,0,0,24.863
1,1,1,1,1,1,1,1,1,1,0,0,0,0,21.972
0,1,0,1,1,0,1,0,1,0,1,1,0,0,24.575
1,0,0,1,1,0,0,0,0,1,1,0,0,1,21.775
1,1,0,1,0,1,1,0,0,1,1,1,0,0,24.902
0,0,1,1,1,1,0,0,1,0,0,0,0,1,21.413
0,0,1,0,0,0,0,0,1,1,1,1,0,0,24.702
0,0,1,0,0,1,0,0,0,0,1,0,1,0,21.27
1,0,1,0,0,1,1,0,0,1,1,0,0,0,21.65
1,0,0,1,0,0,1,0,1,0,1,1,0,1,24.93
0,0,1,1,1,0,1,0,0,1,1,0,1,0,21.547
1,1,1,1,0,1,1,0,0,0,1,0,1,1,21.603
1,1,0,1,1,1,0,1,0,0,1,1,1,1,25.22
0,1,0,1,1,0,1,0,1,0,0,0,0,0,21.931
1,0,0,0,1,0,1,1,1,0,0,1,1,1,24.7
0,0,1,0,1,1,1,0,0,0,0,1,1,0,24.779
1,0,1,0,0,1,1,0,0,0,1,0,1,0,21.392
0,0,0,0,1,1,0,1,1,1,1,1,0,1,24.308
0,0,0,1,0,1,1,0,0,1,0,0,1,1,21.408
1,1,0,1,0,0,0,0,1,1,1,1,0,0,25.143
0,1,1,1,0,1,0,1,1,0,1,1,1,1,24.234
0,1,1,1,0,1,1,1,0,0,0,1,1,1,25.322
1,0,0,0,0,0,1,0,0,1,0,1,1,0,25.324
1,1,1,0,1,1,1,1,0,0,0,0,1,1,21.811
1,1,1,1,0,0,0,1,1,0,1,0,0,0,21.993
0,0,0,1,0,0,1,1,1,1,0,1,0,0,25.582
0,0,1,1,0,1,0,0,0,1,1,0,1,0,21.455
0,0,0,1,1,0,0,1,0,1,0,1,1,1,24.647
1,1,0,1,1,1,0,1,0,0,1,0,0,1,21.653
1,0,1,1,1,1,1,1,0,1,0,0,0,1,21.629
0,0,1,0,1,0,1,0,1,0,0,0,1,0,21.346
0,1,0,0,0,1,0,0,0,0,0,1,1,0,24.894
0,0,1,0,1,0,0,0,0,1,1,0,0,0,21.656
1,1,0,1,0,1,1,0,1,0,0,0,1,1,21.255
1,0,0,1,0,0,0,1,1,0,1,0,1,1,21.563
1,1,0,1,1,0,1,0,0,1,1,0,0,1,21.627
0,0,0,0,1,0,0,0,1,1,1,0,1,1,21.658
0,1,1,0,0,0,0,1,0,1,0,1,1,1,24.763
1,0,1,0,0,1,0,0,1,0,1,0,0,0,21.403
0,1,0,1,1,1,0,0,1,0,1,0,0,0,21.471
0,1,1,0,0,0,1,0,0,1,1,0,1,1,21.315
1,0,0,1,1,0,1,1,0,1,0,1,1,1,24.707
1,0,1,1,0,1,0,1,1,0,1,1,1,1,24.543
0,0,1,1,1,0,1,1,1,1,1,0,1,1,21.726
1,0,1,1,1,0,1,1,1,0,0,0,0,0,21.39
1,0,1,1,1,1,0,0,0,0,1,0,1,0,21.504
0,0,1,0,0,0,1,1,0,1,0,1,1,0,24.597
1,1,1,0,1,1,1,1,0,0,0,1,1,1,24.563
0,1,0,1,0,1,1,0,1,0,1,0,1,1,21.462
0,1,1,1,0,0,0,0,1,1,1,0,0,0,21.56
0,1,0,1,0,1,0,1,0,0,0,0,1,1,21.375
1,1,0,0,1,0,0,1,0,0,0,1,1,0,24.859
0,1,0,1,1,0,0,0,1,0,1,0,0,1,21.593
0,1,1,0,0,1,1,0,0,1,0,0,0,0,21.841
0,0,1,1,1,1,1,0,0,1,0,1,1,1,24.808
1,0,1,1,1,1,0,1,0,1,0,0,0,1,21.892
1,1,1,0,1,0,1,0,1,1,0,0,0,0,21.716
1,0,0,0,1,1,0,1,1,0,1,1,1,1,24.725
0,1,1,0,1,1,1,1,1,1,1,0,1,1,21.447
0,0,1,0,1,1,1,1,1,0,1,1,0,1,24.452
0,0,1,1,1,0,0,1,1,1,0,1,1,1,24.654
0,0,0,0,1,0,1,1,0,1,0,0,0,0,21.356
1,1,1,1,1,1,1,1,0,0,0,0,1,1,22.284
0,0,1,1,0,0,0,1,1,0,0,0,1,1,21.605
0,0,1,0,1,1,1,0,1,1,1,1,0,0,24.602
0,1,0,1,1,0,0,0,1,1,0,0,1,1,22.197
0,0,1,1,1,0,1,0,0,1,1,1,1,0,24.553
0,0,0,1,0,0,0,0,1,0,1,1,0,1,24.871
0,0,0,0,0,1,1,0,1,1,1,0,0,1,21.361
1,0,1,1,1,1,0,1,1,1,0,1,1,0,25.384
1,0,0,0,1,0,1,1,0,0,1,0,1,0,21.774
1,0,0,0,1,0,1,0,1,0,1,0,1,0,21.498
0,0,0,1,0,1,1,1,0,0,1,1,1,0,24.385
1,1,0,1,1,1,0,1,1,0,0,1,0,1,25.282
0,1,0,0,0,1,1,1,0,1,0,0,1,0,21.589
1,1,1,0,0,1,1,1,1,1,0,1,1,1,24.729
1,1,0,1,1,0,1,1,0,1,0,0,0,1,21.82
0,1,1,0,0,1,0,1,0,0,1,1,0,1,24.815
1,1,1,0,0,1,0,1,0,1,1,1,0,0,24.921
1,1,0,1,1,1,1,0,0,0,1,0,1,0,21.447
1,0,0,0,0,0,1,0,0,1,0,1,1,1,25.254
1,1,0,1,1,0,1,1,0,1,0,1,0,1,24.861
0,1,1,0,0,1,0,0,1,1,0,0,1,1,21.495
1,1,1,1,1,1,1,0,1,1,1,0,0,0,21.721
1,1,1,0,1,1,1,0,1,1,0,0,1,1,21.744
0,0,1,0,1,1,1,1,1,0,0,1,1,1,24.562
1,0,0,1,1,1,1,1,1,1,0,1,0,1,24.704
1,0,1,1,1,0,0,0,1,1,0,0,1,1,21.889
1,0,0,1,1,1,1,0,1,1,1,1,1,0,25.126
0,0,1,1,1,0,1,1,1,1,0,1,0,0,24.521
1,0,0,0,0,0,1,0,1,1,0,0,0,1,21.896
0,1,0,0,1,0,1,0,1,0,0,0,1,0,21.147
1,0,0,1,1,1,0,1,0,0,0,1,1,1,24.451
0,0,1,0,0,1,1,1,1,0,0,0,0,1,21.855
1,1,0,1,1,0,1,1,0,0,1,0,0,0,21.336
0,1,0,0,1,1,1,1,1,0,1,1,0,1,24.496
1,0,1,0,1,0,1,1,1,1,1,0,0,1,21.729
1,0,0,0,1,0,1,1,1,0,1,0,0,1,21.502
0,0,1,1,1,0,1,0,1,1,1,1,0,1,24.595
1,1,1,1,0,0,0,0,0,0,0,0,1,0,21.489
0,1,1,1,1,0,0,1,0,0,0,0,1,1,21.244
1,1,0,1,1,0,1,0,1,0,1,1,0,1,24.671
1,0,1,0,1,1,1,0,1,0,1,1,0,1,25.14
0,0,0,1,0,1,0,0,1,0,0,1,0,0,25.449
0,0,0,1,0,0,1,0,1,0,0,0,0,1,21.405
0,1,1,1,1,0,0,0,1,0,1,1,0,0,24.859
0,1,0,1,0,0,0,0,1,1,1,1,1,0,24.603
0,0,0,1,1,1,0,1,1,1,1,1,1,1,24.743
1,1,1,0,0,0,1,1,0,1,1,1,0,0,24.566
0,1,0,0,0,1,1,1,0,0,1,0,1,0,21.126
1,1,0,1,0,0,0,0,0,0,0,0,1,0,21.709
0,0,1,1,0,0,1,0,1,1,1,1,1,1,25.0
1,1,1,1,1,0,1,0,1,0,1,1,1,1,24.924
1,0,1,1,1,0,0,0,0,1,1,1,0,1,25.634
0,0,0,1,0,0,1,0,1,1,0,0,0,1,21.69
1,0,0,1,0,1,0,0,1,0,1,1,1,1,24.813
1,1,0,0,1,0,1,0,0,0,0,0,1,1,21.375
0,1,1,0,0,1,0,0,0,1,1,1,0,1,24.723
1,1,1,0,0,0,0,0,1,0,0,0,0,1,21.398
0,0,1,0,1,1,0,0,0,0,1,0,0,1,22.062
1,1,1,1,0,1,1,0,0,1,1,0,1,1,21.554
0,1,0,0,1,1,0,0,0,1,1,1,0,0,24.887
0,0,0,1,0,0,0,0,0,1,1,0,0,1,21.527
0,0,1,1,1,1,1,0,0,0,1,1,1,1,24.666
0,0,1,1,0,1,0,1,1,1,1,1,0,1,24.982
0,0,1,0,1,0,1,0,1,1,0,1,0,0,24.74
1,1,1,0,0,1,0,1,0,1,0,0,1,0,21.788
0,1,1,0,0,0,0,1,0,1,1,1,1,1,24.86
0,0,0,1,1,1,0,0,0,1,1,1,1,0,24.518
0,1,0,0,0,1,1,0,1,1,1,1,1,0,24.625
1,1,0,1,0,0,1,1,1,0,1,0,1,0,21.157
1,0,1,0,1,0,1,0,0,1,1,1,1,1,24.443
1,1,0,0,0,1,0,1,0,1,1,0,1,0,21.379
1,1,0,1,1,1,0,0,1,1,1,1,1,0,24.906
0,1,1,1,0,0,0,1,1,1,1,1,0,0,25.376
0,1,1,1,0,1,0,0,0,0,0,0,0,0,21.62
1,0,1,0,0,0,1,0,0,0,1,0,1,0,21.236
1,0,0,0,1,0,1,1,0,1,0,0,0,1,22.038
0,0,1,0,0,1,0,0,0,0,0,0,1,1,21.349
0,1,0,0,1,0,0,0,0,1,0,0,1,1,21.229
0,0,1,0,1,0,1,1,0,0,1,1,0,0,24.334
1,1,0,1,0,0,0,1,0,1,1,1,0,1,24.98
0,0,1,0,0,1,0,0,1,0,0,1,0,1,24.624
0,0,0,1,0,1,1,0,0,0,1,1,0,0,24.724
0,0,1,1,1,0,0,0,1,0,0,0,0,1,21.37
0,1,0,1,1,0,0,0,1,0,1,0,0,0,21.916
1,0,0,0,0,0,1,0,1,0,1,1,1,1,25.044
0,0,0,1,0,0,0,0,0,0,1,0,0,0,21.514
1,1,1,1,0,0,0,0,1,1,1,1,1,0,25.009
0,0,0,0,0,0,1,1,0,0,0,0,1,1,21.515
0,1,0,0,0,1,1,0,1,0,1,1,0,0,24.168
0,0,0,0,1,1,0,1,1,1,0,0,0,0,21.321
0,0,1,0,0,0,1,1,1,0,0,0,0,1,21.54
0,0,1,0,1,0,1,0,0,0,1,1,1,1,25.016
0,0,1,1,0,1,1,1,1,0,0,0,1,0,21.327
0,0,1,0,1,1,0,1,0,1,0,0,1,1,21.541
1,1,0,1,0,0,0,0,0,0,0,1,1,0,24.612
0,1,1,0,0,0,1,0,1,1,0,0,0,0,21.498
1,1,0,1,1,1,0,0,0,1,0,0,0,1,21.764
1,0,1,0,1,1,0,0,1,1,1,0,1,1,21.426
1,0,0,0,1,1,1,0,0,1,1,0,1,1,21.277
1,1,1,0,1,0,1,0,1,1,1,0,0,0,21.566
1,1,0,1,0,0,1,0,0,0,1,0,1,1,21.287
1,1,1,0,0,1,1,0,1,0,0,0,0,0,21.79
1,1,0,0,0,0,0,1,1,0,0,1,1,0,25.263
0,0,1,1,0,0,1,1,0,0,0,1,1,1,24.503
0,1,0,1,0,1,0,1,1,1,1,1,0,1,25.347
0,1,1,0,1,1,0,1,0,1,0,0,1,1,21.459
1,1,1,0,0,1,0,0,0,1,0,1,1,0,25.161
1,0,1,0,0,1,0,0,1,0,1,1,1,1,24.411
1,1,0,1,0,1,0,0,0,1,0,0,1,0,21.549
0,0,1,1,0,1,1,0,0,1,0,1,1,0,24.696
0,1,0,0,1,0,1,1,0,1,0,1,1,1,24.579
0,1,0,1,0,0,0,1,0,1,1,1,0,1,24.719
1,0,1,1,1,0,0,0,1,1,1,0,1,1,21.684
0,1,0,0,0,0,1,0,0,1,1,1,0,1,25.149
0,0,0,1,0,1,1,0,1,1,1,1,1,1,24.563
1,0,0,0,0,1,0,0,1,0,0,1,1,0,25.289
0,0,0,0,0,1,0,0,1,1,1,0,0,1,21.396
1,0,1,1,0,0,1,1,0,1,1,1,1,1,24.935
0,0,0,0,1,0,1,1,0,0,1,1,0,0,24.954
0,1,1,1,1,0,1,1,0,1,1,0,1,0,21.972
0,1,1,0,1,0,1,0,1,0,0,1,1,1,24.816
1,1,0,1,0,1,0,0,1,0,1,0,1,1,21.477
0,0,1,1,1,0,1,1,0,0,0,1,1,1,24.421
1,1,1,0,0,0,0,1,1,0,0,0,1,0,21.477
0,0,0,1,0,1,1,1,1,0,0,1,0,1,24.772
1,1,0,0,0,0,1,0,1,1,1,0,0,1,22.192
0,1,1,0,1,0,0,1,1,0,0,0,0,1,21.438
1,1,0,1,0,1,1,0,0,1,1,1,0,1,25.866
1,1,1,0,1,0,1,0,1,0,0,1,0,0,25.152
0,1,1,0,1,0,0,1,1,1,0,0,0,0,21.947
1,1,0,0,0,0,1,1,0,1,0,0,1,1,21.299
0,1,1,0,1,0,1,1,1,1,0,0,0,1,21.588
0,0,1,0,1,1,0,1,0,0,0,1,1,0,24.61
0,1,0,1,1,1,1,0,1,1,1,1,0,1,24.785
0,0,1,1,0,0,0,0,1,1,0,0,0,0,22.014
1,1,0,0,0,1,0,0,1,0,1,1,0,1,24.68
0,1,0,1,0,1,1,0,1,1,0,0,1,0,21.13
0,0,1,1,0,0,0,1,1,0,1,1,1,0,24.611
0,0,1,1,0,1,0,1,1,0,1,1,0,1,24.823
0,1,0,0,0,1,0,0,1,0,1,0,0,1,21.762
1,0,1,0,0,1,0,1,1,1,0,1,1,1,25.776
0,1,1,1,1,0,0,0,1,0,0,0,0,0,21.339
1,1,0,1,0,1,0,1,0,1,1,0,1,1,21.915
1,1,1,1,1,1,0,1,1,0,0,1,1,0,24.49
0,1,0,1,0,0,0,1,0,0,1,0,0,0,21.419
0,1,0,0,1,0,1,1,1,0,1,1,1,1,24.795
1,1,0,1,0,1,0,0,0,0,0,0,0,1,21.54
0,1,1,0,1,0,1,0,1,0,0,1,1,0,24.731
0,0,0,0,0,1,1,1,0,0,0,0,0,1,21.734
0,1,1,0,0,1,1,1,0,0,0,0,1,1,21.012
1,0,0,1,1,1,0,1,1,0,1,1,1,1,24.448
0,1,0,0,1,1,1,0,0,1,0,0,1,1,21.253
1,0,0,1,1,0,0,0,0,1,0,1,0,1,25.289
0,1,0,0,0,0,0,1,1,0,1,0,0,1,21.551
1,1,1,0,0,1,1,0,0,0,1,0,0,1,21.769
0,1,0,1,0,1,1,0,0,0,1,0,1,0,21.98
1,1,1,0,0,1,0,1,1,1,1,1,0,0,24.739
1,1,0,1,0,1,0,0,1,1,1,0,0,1,21.757
0,0,0,0,1,0,0,1,0,1,1,1,0,1,24.884
1,1,0,1,0,1,0,0,0,0,0,1,0,0,24.854
1,1,1,0,0,1,1,1,0,1,0,0,0,0,22.117
1,1,1,1,0,0,0,0,1,0,0,0,1,0,21.764
1,0,1,1,0,1,0,1,1,1,0,1,0,0,24.772
1,0,0,1,1,1,1,1,0,0,1,1,0,1,25.066
0,0,1,1,0,1,0,1,0,1,1,1,1,0,24.956
1,1,1,0,0,1,0,0,0,1,0,0,1,0,21.829
0,0,1,1,0,0,0,0,0,1,0,0,0,0,21.405
1,1,0,0,0,1,0,0,0,0,1,0,0,1,21.883
0,1,0,1,0,1,0,1,0,0,0,0,0,0,21.519
0,1,1,1,1,1,0,0,1,0,0,1,0,0,24.354
1,0,1,1,1,0,1,0,1,0,1,0,0,1,21.352
0,0,1,1,0,1,1,1,1,0,0,1,0,1,24.78
1,1,1,1,0,0,0,0,0,1,1,1,0,0,24.991
1,1,1,1,1,1,1,0,0,0,0,0,0,0,22.024
0,0,1,0,0,0,0,0,0,0,1,0,1,0,21.765
0,1,1,0,1,1,1,0,0,0,1,0,1,1,21.812
0,0,1,1,1,0,0,0,0,0,0,1,1,0,24.496
1,0,1,1,0,1,1,1,1,0,0,0,1,1,21.641
1,1,0,0,1,0,0,1,1,1,0,0,0,0,21.938
0,1,0,1,0,0,0,1,1,0,0,1,0,1,25.138
1,0,0,0,1,0,1,0,1,0,0,1,0,1,25.152
1,1,0,0,0,1,0,0,1,0,1,0,0,1,22.46
1,0,0,1,0,0,0,1,0,1,1,0,1,0,21.533
