SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwritebatch.2
0,1,1,1,1,0,1,1,1,1,1,0,0,0,17.566
0,0,0,1,1,0,0,0,0,1,1,1,0,1,17.842
1,0,1,0,0,1,0,0,0,0,0,0,1,1,17.177
1,0,1,0,1,1,0,0,1,1,0,1,0,0,18.078
0,1,1,1,0,1,0,0,0,0,0,1,0,0,17.348
1,0,1,1,0,1,0,1,0,0,0,0,1,1,17.502
0,1,1,1,1,0,0,1,1,1,1,0,0,0,17.578
0,1,0,1,1,0,1,0,0,1,1,0,1,0,17.625
0,0,1,1,1,0,0,1,1,1,1,0,1,0,17.583
1,0,1,1,1,1,1,1,0,1,1,0,1,0,17.686
0,0,1,1,1,0,1,0,0,1,1,1,0,1,17.894
1,1,0,0,0,0,1,1,1,1,1,0,1,0,17.563
0,1,1,1,0,1,0,0,0,0,1,1,1,0,17.76
1,1,1,1,0,1,1,1,1,1,1,0,1,1,17.62
1,1,1,0,0,0,1,0,0,1,1,0,1,1,17.634
1,0,0,0,0,1,1,1,1,1,0,1,1,0,18.367
1,1,0,1,1,0,1,1,0,1,0,1,1,1,17.827
1,0,1,1,1,1,0,0,1,0,1,0,0,1,17.458
0,0,1,1,0,0,1,0,0,0,1,0,1,0,17.149
1,1,0,1,0,1,0,1,0,1,0,0,0,0,17.619
1,1,1,0,0,1,1,0,1,0,0,1,0,0,17.539
1,1,0,1,0,1,1,0,1,1,0,1,0,1,17.922
1,0,1,0,1,0,1,1,0,1,0,1,1,0,17.902
1,0,1,1,0,1,0,0,1,0,1,1,0,1,17.882
1,0,0,0,1,0,0,1,0,1,1,0,1,1,17.653
1,0,0,1,0,0,0,1,1,1,1,0,0,0,18.002
1,0,1,0,0,1,1,1,1,1,1,0,0,1,17.731
1,0,0,0,0,1,0,1,0,0,0,0,1,0,16.986
0,1,1,1,1,1,0,0,1,1,0,0,1,1,17.674
1,1,1,1,1,1,0,1,0,0,0,1,1,0,17.401
1,1,1,1,0,0,1,0,1,1,0,0,1,0,17.866
0,1,0,1,0,0,1,0,1,0,0,1,0,0,17.798
0,1,0,1,1,0,1,0,1,1,1,0,0,1,17.485
0,0,1,1,0,1,0,1,1,0,0,0,0,0,17.294
0,0,1,1,0,1,0,1,0,1,0,0,1,0,17.525
0,0,0,1,1,0,0,0,0,1,1,0,1,0,17.832
0,1,1,0,1,0,0,1,0,0,0,1,1,0,17.613
0,1,1,1,0,1,0,1,0,0,1,1,1,1,17.758
1,1,0,0,1,1,1,0,0,1,1,1,1,1,17.879
1,1,1,0,0,0,0,1,1,0,0,1,1,1,17.34
1,1,1,1,1,1,0,1,1,0,0,0,1,0,17.088
1,1,0,0,0,1,0,1,1,0,1,1,1,0,17.5
0,1,0,0,0,1,0,1,1,0,0,1,0,0,17.442
1,0,1,1,1,1,0,1,1,0,0,1,1,1,17.397
1,0,0,1,1,1,0,0,1,0,1,0,1,1,17.415
0,1,0,1,1,1,0,1,1,0,0,1,1,0,17.351
1,1,1,1,1,1,1,1,1,0,0,0,1,0,17.105
0,0,1,1,1,1,0,1,1,1,1,1,1,1,17.828
0,1,1,0,0,0,0,0,0,1,0,1,1,1,17.912
1,0,1,0,0,0,1,1,1,0,0,0,0,1,17.103
1,1,0,1,0,0,0,0,0,0,0,0,1,0,17.018
0,1,1,0,1,1,1,1,1,1,0,0,1,1,17.61
1,1,1,1,1,0,1,0,1,0,0,0,1,1,17.242
1,1,1,0,0,1,0,0,0,1,1,1,0,0,17.982
0,1,1,1,1,0,1,0,0,1,1,1,1,0,17.875
1,1,1,1,1,0,1,0,1,1,0,1,1,0,17.967
1,0,0,0,1,0,1,1,1,1,0,0,0,0,17.8
0,1,0,0,0,1,0,1,1,0,0,1,1,1,17.843
0,1,0,0,1,0,0,1,1,1,0,0,1,1,17.737
0,1,1,0,0,0,0,0,1,1,0,1,0,1,18.224
1,0,0,1,1,1,0,1,0,1,1,1,1,0,17.98
0,0,1,0,1,0,0,1,1,1,1,0,1,0,17.606
0,1,1,1,1,0,0,1,1,1,1,1,1,1,17.952
1,0,0,1,1,1,0,1,0,1,1,1,0,1,18.016
0,0,0,1,0,0,1,0,0,1,1,1,1,1,17.981
1,0,0,0,1,1,1,0,0,0,0,0,0,0,17.224
1,1,0,1,0,1,1,0,1,1,0,0,0,1,18.013
1,1,1,0,1,0,1,1,0,0,1,1,0,1,17.467
