SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandsync
1,0,0,1,1,0,1,1,0,0,0,1,1,0,2586.9
1,1,1,0,0,0,1,0,1,0,0,0,0,1,2589.1
0,0,0,0,1,0,0,0,1,0,1,0,1,0,2589.1
0,0,0,0,1,0,0,0,0,1,1,1,1,0,2579.0
1,0,1,1,1,1,0,1,0,0,0,1,0,0,2617.3
0,1,0,1,0,0,0,0,1,0,0,0,0,1,2605.0
0,1,0,1,0,0,0,0,0,0,1,1,0,1,2603.9
1,1,0,1,1,1,0,1,0,0,0,0,0,0,2606.5
0,1,1,0,0,0,1,0,0,1,1,1,0,0,2604.3
0,1,1,0,0,0,0,1,0,1,1,0,0,1,2578.4
1,1,1,0,1,1,0,0,1,0,1,1,1,1,2605.2
0,0,0,0,1,0,1,0,1,0,1,0,1,0,2599.0
0,0,0,1,1,1,0,0,0,0,0,1,1,1,2596.3
1,0,0,0,1,0,1,1,0,0,1,0,1,0,2585.2
1,0,0,1,0,1,0,1,1,0,0,0,1,0,2602.5
0,1,1,0,0,0,1,1,1,1,1,1,0,0,2625.4
1,0,1,1,0,0,0,0,1,1,1,0,1,0,2594.6
0,0,0,1,1,0,0,1,0,1,1,0,1,1,2605.6
1,1,1,1,1,0,0,1,1,1,0,0,1,0,2575.8
1,0,1,0,0,1,1,1,1,0,1,1,0,1,2602.9
0,1,0,1,1,1,0,0,1,1,0,0,1,0,2576.9
0,1,1,1,1,1,1,0,1,1,1,0,1,0,2601.2
0,1,0,1,0,0,1,1,1,1,1,0,0,0,2573.7
1,0,1,1,1,0,1,0,1,1,0,1,1,0,2595.8
1,0,0,1,1,1,1,0,0,0,1,1,1,0,2603.3
1,0,0,1,0,0,1,1,0,0,0,0,0,1,2588.3
1,1,1,0,0,1,0,0,1,0,1,0,1,1,2589.7
0,0,1,1,0,1,0,1,1,1,0,0,0,0,2579.4
1,0,0,0,1,1,0,1,0,1,1,1,1,0,2608.1
1,1,1,0,0,0,0,1,0,0,0,0,0,1,2618.4
0,0,1,0,1,1,1,0,0,0,1,0,0,0,2594.2
1,1,1,0,0,0,0,0,0,1,1,0,0,0,2604.5
0,0,0,0,0,1,1,1,1,0,0,1,1,0,2589.6
0,0,1,1,1,0,1,1,0,0,1,0,0,0,2589.9
0,1,0,0,0,1,1,1,1,1,0,1,1,0,2597.5
0,0,0,1,0,0,0,0,0,1,1,0,0,1,2591.5
1,0,0,0,1,1,0,1,0,1,1,1,0,0,2587.5
0,0,1,1,0,0,1,1,0,1,1,1,1,0,2595.9
0,1,1,1,1,0,1,0,0,0,1,0,1,0,2584.3
0,0,0,1,0,0,0,0,0,1,0,1,1,0,2588.9
