SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrandsync
1,1,1,0,0,1,0,1,1,0,1,0,0,1,2566.1
1,0,0,0,0,0,1,0,1,1,1,0,1,1,2569.1
1,0,0,1,1,0,1,1,1,1,1,1,1,1,2572.9
1,1,0,1,1,1,0,0,1,1,0,1,0,0,2574.6
0,1,1,1,0,0,1,1,1,1,1,0,0,0,2566.0
0,0,0,1,0,1,0,1,0,0,1,0,0,0,2571.1
1,0,1,0,0,1,1,0,0,1,1,1,1,0,2576.7
0,1,1,0,0,0,0,1,1,1,0,0,1,0,2555.1
1,0,0,1,0,1,1,0,0,1,1,1,1,1,2576.4
1,0,1,0,1,0,0,0,1,1,1,0,1,0,2565.1
1,0,1,1,1,1,1,0,0,1,1,1,1,0,2567.7
0,1,1,0,1,1,1,1,0,1,0,1,0,0,2567.3
0,0,1,0,0,0,0,0,1,0,1,1,0,1,2579.6
0,1,1,1,0,0,0,0,0,0,0,1,0,1,2610.9
0,0,1,1,0,0,1,0,0,1,0,0,1,0,2563.2
0,1,1,0,0,1,1,0,0,1,0,1,0,0,2573.7
0,1,0,1,0,0,0,1,0,0,1,1,0,0,2577.7
0,0,1,1,0,1,0,1,0,1,0,1,1,1,2568.3
1,1,0,0,0,0,1,1,0,1,1,1,1,0,2553.8
0,1,1,1,1,0,1,1,1,1,0,0,0,0,2578.5
0,1,0,0,0,0,1,0,0,1,1,0,0,0,2553.1
1,0,1,0,0,1,0,1,0,0,1,1,1,0,2568.2
0,0,1,1,0,1,1,1,0,1,0,0,0,1,2549.3
0,0,1,1,0,1,1,0,0,0,0,1,0,0,2575.8
1,1,0,1,1,1,1,0,1,1,0,0,0,0,2562.7
1,1,0,0,0,0,0,1,0,1,0,1,1,0,2577.4
0,0,1,0,0,0,1,0,1,0,0,1,1,0,2566.7
0,0,0,0,1,0,0,1,0,1,1,1,1,1,2570.5
0,1,0,1,1,1,0,1,0,0,0,1,1,1,2571.8
1,0,0,0,1,0,0,0,0,1,0,1,1,1,2576.8
1,0,1,1,0,0,0,1,1,0,1,0,1,0,2557.1
0,0,1,0,1,1,1,1,0,0,0,0,0,1,2559.8
1,0,0,0,0,1,0,0,1,0,0,1,1,0,2569.9
1,0,0,0,1,1,1,1,0,1,0,0,0,1,2572.0
0,1,1,1,0,0,0,0,0,0,0,0,1,1,2567.2
1,1,0,1,0,1,0,1,1,1,0,0,0,0,2561.9
0,1,1,1,0,0,0,1,1,1,0,0,0,0,2597.1
0,1,1,1,1,1,0,0,1,1,1,1,1,1,2562.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,2554.7
0,1,0,1,0,0,0,1,1,1,0,1,0,0,2581.4
0,1,0,0,0,0,1,1,1,1,1,0,0,1,2553.0
0,0,0,0,0,1,0,0,1,0,0,0,0,1,2545.4
1,1,0,1,1,1,0,1,0,0,1,1,1,1,2566.6
0,0,1,0,0,1,1,1,0,1,0,1,1,1,2584.3
0,0,0,1,1,1,0,0,1,0,1,1,1,0,2583.1
0,1,0,0,1,1,0,0,1,0,0,0,0,0,2574.8
1,0,0,0,0,1,1,1,0,0,0,1,0,0,2568.5
1,1,0,1,0,0,0,1,1,0,0,1,1,1,2576.3
1,1,0,0,0,1,1,1,0,0,0,0,1,0,2560.1
1,0,0,1,1,0,0,1,1,1,1,1,1,1,2589.6
0,1,1,0,1,0,1,1,1,0,0,1,1,1,2576.5
0,1,0,1,1,0,1,1,0,0,0,0,1,0,2574.6
1,0,0,0,1,1,1,1,1,1,1,0,0,0,2547.4
1,0,1,1,0,1,0,1,0,0,1,1,0,1,2565.0
1,0,1,0,1,0,0,1,1,0,1,0,0,1,2566.5
1,1,1,1,1,1,1,1,1,1,1,0,1,1,2549.1
1,1,1,0,1,1,0,0,1,1,0,1,1,1,2579.5
0,1,0,1,1,0,0,0,1,0,1,0,0,1,2560.2
1,0,1,0,1,1,0,1,1,1,1,0,1,1,2547.3
0,0,0,1,1,0,1,1,0,1,1,1,0,0,2571.1
1,0,0,0,0,1,0,1,1,0,1,0,0,1,2568.0
1,0,1,0,0,1,1,1,1,1,0,0,1,0,2554.0
0,0,0,1,0,0,1,1,1,1,1,0,1,1,2556.0
0,0,0,0,1,0,1,1,1,1,1,1,0,0,2567.6
0,1,1,0,0,0,1,0,1,0,1,0,1,0,2563.4
0,1,0,0,1,0,1,0,0,0,1,0,0,0,2556.2
1,0,0,1,1,1,0,1,0,1,1,1,1,1,2560.4
1,1,0,0,1,0,0,0,1,1,1,1,1,0,2565.9
1,1,0,1,0,0,0,0,0,1,0,1,1,1,2560.8
0,0,1,1,1,1,1,0,1,1,0,1,1,0,2569.1
0,1,1,0,0,0,1,0,1,0,0,0,1,0,2547.9
0,1,0,1,1,0,1,1,0,1,1,1,0,0,2553.4
0,1,1,0,0,1,0,0,1,1,1,1,1,1,2553.1
1,0,1,1,0,1,1,0,1,1,0,1,0,0,2561.2
0,1,0,1,0,0,1,1,1,0,1,0,0,1,2561.5
1,0,1,1,0,0,1,0,1,0,1,1,1,1,2588.4
0,0,1,1,0,1,1,0,1,0,1,0,0,1,2566.7
0,0,0,1,1,1,0,1,0,1,0,1,0,1,2573.7
1,1,1,0,0,0,0,1,1,1,1,1,0,1,2581.5
0,1,0,0,0,1,0,0,1,1,0,0,1,0,2553.4
1,0,0,1,1,1,1,0,1,0,0,0,1,1,2577.1
1,1,0,1,1,1,1,1,0,1,1,1,1,1,2550.9
1,0,1,0,0,1,0,0,1,1,1,0,0,1,2551.2
0,1,0,1,1,0,1,1,1,1,1,1,0,0,2551.0
1,0,0,1,0,1,0,0,0,1,1,0,0,1,2578.5
0,1,0,1,0,1,1,1,0,0,1,1,1,0,2563.9
1,0,1,1,0,0,0,1,1,0,1,1,1,1,2573.3
1,0,1,1,0,0,0,0,1,0,1,1,1,1,2555.0
0,1,1,1,1,0,1,1,0,1,0,1,0,1,2584.8
1,1,1,1,1,1,1,0,0,0,0,0,0,1,2567.0
1,0,0,0,1,0,0,0,1,1,1,0,0,1,2565.1
0,0,0,0,1,0,1,0,1,1,1,0,0,0,2553.1
0,1,1,1,0,1,1,1,0,1,1,0,1,0,2551.1
0,1,1,0,0,0,1,0,1,0,1,1,1,0,2570.7
0,0,0,0,0,1,0,0,0,0,0,1,0,1,2546.1
1,1,0,0,0,1,1,1,0,0,1,1,1,0,2556.9
1,0,0,0,0,0,1,0,0,0,0,1,0,0,2576.6
1,1,0,1,1,1,0,1,0,1,0,1,1,0,2569.1
0,1,0,1,1,1,1,0,1,1,1,0,1,1,2554.6
0,1,0,1,1,0,0,0,0,0,0,0,0,1,2531.3
1,1,0,1,0,0,0,1,1,1,0,0,1,0,2580.3
0,1,0,1,1,0,0,0,0,0,1,1,1,0,2559.4
0,1,1,1,0,1,1,1,1,1,0,0,1,1,2559.6
0,0,1,1,1,0,1,1,0,1,1,0,1,1,2562.7
1,1,0,0,0,0,1,0,1,1,0,1,0,1,2566.2
0,0,0,0,1,0,1,1,0,0,1,1,1,0,2567.4
1,1,0,1,0,0,0,0,0,0,1,0,0,0,2539.5
0,1,1,0,0,0,1,1,0,1,0,0,1,0,2565.2
1,0,1,1,1,1,0,0,1,0,1,0,0,1,2564.2
1,1,1,1,0,0,1,0,1,1,1,1,0,0,2560.8
1,0,1,0,0,0,1,1,0,0,0,0,0,0,2565.3
1,1,1,0,1,1,0,0,1,0,0,0,0,0,2581.6
1,1,0,0,1,1,0,0,1,0,0,1,0,0,2569.5
0,0,0,1,1,0,1,0,0,1,0,0,0,0,2559.3
0,0,0,0,1,1,0,0,1,0,1,1,0,0,2569.4
0,0,1,1,0,0,1,1,1,1,1,0,0,1,2551.7
1,0,1,0,0,0,0,1,0,1,0,0,0,0,2575.4
0,0,1,0,1,1,0,0,1,0,0,1,1,0,2559.7
0,0,0,1,1,1,0,1,0,1,0,1,1,1,2576.7
1,1,1,1,1,0,1,0,0,1,1,0,1,0,2555.5
0,1,1,1,0,1,1,1,0,0,1,1,1,1,2574.9
0,0,1,1,0,1,0,0,1,0,0,0,1,0,2552.7
0,1,1,1,1,0,0,1,0,0,1,1,0,1,2568.0
0,0,1,1,0,0,1,1,0,0,1,0,0,1,2563.2
1,1,1,0,1,1,1,0,1,0,0,0,1,0,2571.5
1,1,0,0,1,0,1,0,0,1,0,0,0,0,2569.2
0,0,1,1,1,1,0,1,0,1,0,1,1,1,2555.2
0,0,1,1,1,0,1,0,0,1,1,0,1,1,2556.9
0,1,0,0,1,0,0,0,1,1,0,0,1,0,2552.3
0,0,1,0,0,0,1,1,0,0,1,1,0,0,2570.5
1,1,0,0,0,0,0,1,1,1,1,0,0,0,2563.6
0,1,0,0,1,0,0,0,0,1,1,0,1,0,2549.6
0,0,1,1,0,0,0,1,0,0,0,0,0,0,2558.0
1,0,1,0,1,0,0,0,1,0,0,1,0,0,2588.6
1,0,1,1,1,0,0,1,0,0,0,1,1,0,2579.1
0,1,1,0,0,0,1,1,0,1,0,0,0,1,2562.5
1,0,1,1,0,0,0,0,0,0,1,0,1,0,2547.4
1,0,0,0,0,0,1,0,0,1,1,0,1,1,2545.3
1,1,1,1,0,1,0,1,0,0,0,1,1,0,2566.1
0,1,1,0,0,0,0,0,1,1,1,1,0,0,2567.7
1,1,1,1,0,0,0,1,1,1,0,0,0,0,2582.5
0,0,0,1,1,0,0,0,0,1,1,0,1,0,2562.6
1,1,0,0,1,0,0,0,1,1,0,0,1,0,2552.1
0,1,1,0,0,0,1,0,1,1,0,0,1,1,2560.9
1,1,1,0,0,1,0,0,1,1,0,1,1,0,2570.2
0,1,0,1,0,1,1,1,1,1,1,0,1,1,2562.7
0,1,1,0,0,1,0,0,1,0,1,1,0,0,2561.9
1,0,0,0,1,1,0,0,1,1,0,1,1,1,2570.2
0,0,1,0,0,1,1,1,1,0,1,1,1,0,2570.9
0,1,0,1,1,0,1,1,1,0,1,0,0,1,2546.1
1,0,1,0,0,0,0,0,1,0,0,0,1,1,2551.4
0,1,1,0,0,0,1,0,0,0,0,0,1,1,2563.7
0,1,1,0,0,1,0,0,0,1,1,1,1,1,2558.9
0,1,0,1,0,0,0,0,0,0,0,0,1,1,2541.0
0,0,1,0,1,0,0,1,1,0,1,0,0,0,2526.5
1,1,0,0,0,1,1,0,1,0,0,1,0,1,2551.8
1,0,0,0,0,0,1,0,1,1,0,0,1,1,2562.8
0,1,1,1,0,1,0,0,1,0,1,0,1,0,2537.2
0,0,0,1,0,0,0,1,1,0,0,0,1,0,2554.2
1,0,1,0,1,0,0,0,0,1,0,1,1,0,2560.7
1,0,0,1,1,0,1,0,1,1,1,0,0,1,2560.6
1,1,1,0,1,0,1,0,1,1,0,0,1,1,2549.6
0,1,1,1,0,0,1,1,1,0,1,1,1,0,2561.8
1,1,0,1,1,0,1,1,1,0,0,1,1,0,2568.4
1,0,1,0,0,1,0,1,0,1,1,0,1,0,2557.4
0,1,0,0,1,0,0,0,1,0,1,0,1,1,2537.4
1,0,0,1,1,0,1,0,0,0,1,0,0,0,2561.4
1,0,1,0,1,1,1,0,0,1,0,0,0,1,2550.2
1,1,1,1,0,0,0,1,1,1,1,1,0,1,2557.5
1,1,1,0,0,0,0,1,0,1,0,1,0,0,2576.4
1,0,0,1,1,1,0,0,0,0,0,0,0,1,2553.6
0,1,1,1,0,0,0,1,1,0,1,1,0,1,2572.3
0,1,0,1,1,0,0,0,0,0,0,1,0,1,2560.2
0,0,0,0,0,1,1,0,1,1,1,0,0,0,2553.4
0,1,1,0,0,0,0,1,0,1,1,0,1,0,2554.3
0,1,1,0,1,1,0,0,0,1,0,1,1,1,2559.6
1,1,1,1,0,1,1,1,0,1,0,0,1,0,2560.7
0,1,0,0,1,0,1,0,1,1,0,1,0,0,2577.0
1,1,0,1,0,1,1,0,0,1,1,1,1,0,2573.9
1,1,1,0,1,0,1,1,1,0,1,0,0,1,2560.6
1,0,0,0,0,1,1,0,1,1,1,1,1,0,2544.3
0,0,1,1,0,1,1,1,1,1,1,0,0,0,2548.7
0,1,0,1,1,0,1,1,1,0,0,0,1,1,2575.3
1,0,1,1,0,0,1,0,1,0,0,1,1,1,2562.6
0,1,0,0,1,0,1,0,1,0,0,0,1,1,2569.1
1,1,1,1,1,0,1,0,1,1,0,0,0,0,2572.9
0,1,0,1,0,0,1,0,0,1,1,1,0,0,2547.8
1,1,1,1,1,1,1,1,1,1,0,0,0,0,2548.1
0,1,0,1,1,0,1,0,1,0,1,1,0,0,2565.2
1,0,0,1,1,0,0,0,0,1,1,0,0,1,2561.0
1,1,0,1,0,1,1,0,0,1,1,1,0,0,2569.6
0,0,1,1,1,1,0,0,1,0,0,0,0,1,2559.6
0,0,1,0,0,0,0,0,1,1,1,1,0,0,2552.1
0,0,1,0,0,1,0,0,0,0,1,0,1,0,2546.3
1,0,1,0,0,1,1,0,0,1,1,0,0,0,2551.2
1,0,0,1,0,0,1,0,1,0,1,1,0,1,2550.4
0,0,1,1,1,0,1,0,0,1,1,0,1,0,2558.9
1,1,1,1,0,1,1,0,0,0,1,0,1,1,2549.7
1,1,0,1,1,1,0,1,0,0,1,1,1,1,2560.3
0,1,0,1,1,0,1,0,1,0,0,0,0,0,2542.8
1,0,0,0,1,0,1,1,1,0,0,1,1,1,2555.9
0,0,1,0,1,1,1,0,0,0,0,1,1,0,2548.0
1,0,1,0,0,1,1,0,0,0,1,0,1,0,2558.8
0,0,0,0,1,1,0,1,1,1,1,1,0,1,2572.0
0,0,0,1,0,1,1,0,0,1,0,0,1,1,2554.9
1,1,0,1,0,0,0,0,1,1,1,1,0,0,2506.4
0,1,1,1,0,1,0,1,1,0,1,1,1,1,2563.4
0,1,1,1,0,1,1,1,0,0,0,1,1,1,2564.0
1,0,0,0,0,0,1,0,0,1,0,1,1,0,2555.5
1,1,1,0,1,1,1,1,0,0,0,0,1,1,2550.4
1,1,1,1,0,0,0,1,1,0,1,0,0,0,2566.3
0,0,0,1,0,0,1,1,1,1,0,1,0,0,2568.6
0,0,1,1,0,1,0,0,0,1,1,0,1,0,2548.8
0,0,0,1,1,0,0,1,0,1,0,1,1,1,2553.3
1,1,0,1,1,1,0,1,0,0,1,0,0,1,2541.4
1,0,1,1,1,1,1,1,0,1,0,0,0,1,2549.8
0,0,1,0,1,0,1,0,1,0,0,0,1,0,2547.3
0,1,0,0,0,1,0,0,0,0,0,1,1,0,2540.8
0,0,1,0,1,0,0,0,0,1,1,0,0,0,2540.1
1,1,0,1,0,1,1,0,1,0,0,0,1,1,2547.2
1,0,0,1,0,0,0,1,1,0,1,0,1,1,2576.9
1,1,0,1,1,0,1,0,0,1,1,0,0,1,2551.6
0,0,0,0,1,0,0,0,1,1,1,0,1,1,2541.6
0,1,1,0,0,0,0,1,0,1,0,1,1,1,2552.4
1,0,1,0,0,1,0,0,1,0,1,0,0,0,2556.0
0,1,0,1,1,1,0,0,1,0,1,0,0,0,2540.1
0,1,1,0,0,0,1,0,0,1,1,0,1,1,2572.4
1,0,0,1,1,0,1,1,0,1,0,1,1,1,2539.1
1,0,1,1,0,1,0,1,1,0,1,1,1,1,2571.0
0,0,1,1,1,0,1,1,1,1,1,0,1,1,2544.4
1,0,1,1,1,0,1,1,1,0,0,0,0,0,2559.1
1,0,1,1,1,1,0,0,0,0,1,0,1,0,2541.0
0,0,1,0,0,0,1,1,0,1,0,1,1,0,2551.4
1,1,1,0,1,1,1,1,0,0,0,1,1,1,2564.8
0,1,0,1,0,1,1,0,1,0,1,0,1,1,2549.1
0,1,1,1,0,0,0,0,1,1,1,0,0,0,2560.9
0,1,0,1,0,1,0,1,0,0,0,0,1,1,2545.1
1,1,0,0,1,0,0,1,0,0,0,1,1,0,2557.4
0,1,0,1,1,0,0,0,1,0,1,0,0,1,2553.6
0,1,1,0,0,1,1,0,0,1,0,0,0,0,2567.9
0,0,1,1,1,1,1,0,0,1,0,1,1,1,2552.1
1,0,1,1,1,1,0,1,0,1,0,0,0,1,2574.2
1,1,1,0,1,0,1,0,1,1,0,0,0,0,2568.0
1,0,0,0,1,1,0,1,1,0,1,1,1,1,2551.0
0,1,1,0,1,1,1,1,1,1,1,0,1,1,2544.1
0,0,1,0,1,1,1,1,1,0,1,1,0,1,2564.7
0,0,1,1,1,0,0,1,1,1,0,1,1,1,2587.7
0,0,0,0,1,0,1,1,0,1,0,0,0,0,2539.9
1,1,1,1,1,1,1,1,0,0,0,0,1,1,2555.5
0,0,1,1,0,0,0,1,1,0,0,0,1,1,2554.8
0,0,1,0,1,1,1,0,1,1,1,1,0,0,2580.6
0,1,0,1,1,0,0,0,1,1,0,0,1,1,2528.1
0,0,1,1,1,0,1,0,0,1,1,1,1,0,2571.4
0,0,0,1,0,0,0,0,1,0,1,1,0,1,2563.9
0,0,0,0,0,1,1,0,1,1,1,0,0,1,2548.8
1,0,1,1,1,1,0,1,1,1,0,1,1,0,2556.1
1,0,0,0,1,0,1,1,0,0,1,0,1,0,2545.9
1,0,0,0,1,0,1,0,1,0,1,0,1,0,2540.0
0,0,0,1,0,1,1,1,0,0,1,1,1,0,2553.6
1,1,0,1,1,1,0,1,1,0,0,1,0,1,2549.1
0,1,0,0,0,1,1,1,0,1,0,0,1,0,2553.7
1,1,1,0,0,1,1,1,1,1,0,1,1,1,2552.6
1,1,0,1,1,0,1,1,0,1,0,0,0,1,2546.5
0,1,1,0,0,1,0,1,0,0,1,1,0,1,2563.7
1,1,1,0,0,1,0,1,0,1,1,1,0,0,2570.4
1,1,0,1,1,1,1,0,0,0,1,0,1,0,2531.3
1,0,0,0,0,0,1,0,0,1,0,1,1,1,2552.2
1,1,0,1,1,0,1,1,0,1,0,1,0,1,2541.8
0,1,1,0,0,1,0,0,1,1,0,0,1,1,2549.7
1,1,1,1,1,1,1,0,1,1,1,0,0,0,2558.5
1,1,1,0,1,1,1,0,1,1,0,0,1,1,2560.2
0,0,1,0,1,1,1,1,1,0,0,1,1,1,2551.1
1,0,0,1,1,1,1,1,1,1,0,1,0,1,2558.3
1,0,1,1,1,0,0,0,1,1,0,0,1,1,2550.4
1,0,0,1,1,1,1,0,1,1,1,1,1,0,2569.6
0,0,1,1,1,0,1,1,1,1,0,1,0,0,2555.3
1,0,0,0,0,0,1,0,1,1,0,0,0,1,2575.3
0,1,0,0,1,0,1,0,1,0,0,0,1,0,2550.9
1,0,0,1,1,1,0,1,0,0,0,1,1,1,2583.8
0,0,1,0,0,1,1,1,1,0,0,0,0,1,2560.1
1,1,0,1,1,0,1,1,0,0,1,0,0,0,2544.6
0,1,0,0,1,1,1,1,1,0,1,1,0,1,2571.9
1,0,1,0,1,0,1,1,1,1,1,0,0,1,2528.8
1,0,0,0,1,0,1,1,1,0,1,0,0,1,2557.3
0,0,1,1,1,0,1,0,1,1,1,1,0,1,2554.9
1,1,1,1,0,0,0,0,0,0,0,0,1,0,2545.0
0,1,1,1,1,0,0,1,0,0,0,0,1,1,2558.2
1,1,0,1,1,0,1,0,1,0,1,1,0,1,2534.8
1,0,1,0,1,1,1,0,1,0,1,1,0,1,2561.3
0,0,0,1,0,1,0,0,1,0,0,1,0,0,2557.9
0,0,0,1,0,0,1,0,1,0,0,0,0,1,2533.2
0,1,1,1,1,0,0,0,1,0,1,1,0,0,2547.8
0,1,0,1,0,0,0,0,1,1,1,1,1,0,2563.4
0,0,0,1,1,1,0,1,1,1,1,1,1,1,2553.7
1,1,1,0,0,0,1,1,0,1,1,1,0,0,2554.7
0,1,0,0,0,1,1,1,0,0,1,0,1,0,2532.8
1,1,0,1,0,0,0,0,0,0,0,0,1,0,2540.2
0,0,1,1,0,0,1,0,1,1,1,1,1,1,2555.7
1,1,1,1,1,0,1,0,1,0,1,1,1,1,2552.2
1,0,1,1,1,0,0,0,0,1,1,1,0,1,2547.0
0,0,0,1,0,0,1,0,1,1,0,0,0,1,2542.9
1,0,0,1,0,1,0,0,1,0,1,1,1,1,2561.4
1,1,0,0,1,0,1,0,0,0,0,0,1,1,2539.5
0,1,1,0,0,1,0,0,0,1,1,1,0,1,2569.0
1,1,1,0,0,0,0,0,1,0,0,0,0,1,2557.5
0,0,1,0,1,1,0,0,0,0,1,0,0,1,2543.7
1,1,1,1,0,1,1,0,0,1,1,0,1,1,2544.2
0,1,0,0,1,1,0,0,0,1,1,1,0,0,2552.8
0,0,0,1,0,0,0,0,0,1,1,0,0,1,2560.0
0,0,1,1,1,1,1,0,0,0,1,1,1,1,2565.2
0,0,1,1,0,1,0,1,1,1,1,1,0,1,2546.4
0,0,1,0,1,0,1,0,1,1,0,1,0,0,2556.8
1,1,1,0,0,1,0,1,0,1,0,0,1,0,2559.6
0,1,1,0,0,0,0,1,0,1,1,1,1,1,2557.0
0,0,0,1,1,1,0,0,0,1,1,1,1,0,2557.5
0,1,0,0,0,1,1,0,1,1,1,1,1,0,2559.8
1,1,0,1,0,0,1,1,1,0,1,0,1,0,2540.9
1,0,1,0,1,0,1,0,0,1,1,1,1,1,2546.9
1,1,0,0,0,1,0,1,0,1,1,0,1,0,2530.9
1,1,0,1,1,1,0,0,1,1,1,1,1,0,2572.1
0,1,1,1,0,0,0,1,1,1,1,1,0,0,2533.0
0,1,1,1,0,1,0,0,0,0,0,0,0,0,2560.0
1,0,1,0,0,0,1,0,0,0,1,0,1,0,2556.3
1,0,0,0,1,0,1,1,0,1,0,0,0,1,2531.5
0,0,1,0,0,1,0,0,0,0,0,0,1,1,2533.6
0,1,0,0,1,0,0,0,0,1,0,0,1,1,2538.2
0,0,1,0,1,0,1,1,0,0,1,1,0,0,2552.8
1,1,0,1,0,0,0,1,0,1,1,1,0,1,2543.0
0,0,1,0,0,1,0,0,1,0,0,1,0,1,2558.0
0,0,0,1,0,1,1,0,0,0,1,1,0,0,2560.2
0,0,1,1,1,0,0,0,1,0,0,0,0,1,2568.4
0,1,0,1,1,0,0,0,1,0,1,0,0,0,2535.8
1,0,0,0,0,0,1,0,1,0,1,1,1,1,2568.6
0,0,0,1,0,0,0,0,0,0,1,0,0,0,2542.8
1,1,1,1,0,0,0,0,1,1,1,1,1,0,2543.5
0,0,0,0,0,0,1,1,0,0,0,0,1,1,2538.8
0,1,0,0,0,1,1,0,1,0,1,1,0,0,2552.1
0,0,0,0,1,1,0,1,1,1,0,0,0,0,2540.1
0,0,1,0,0,0,1,1,1,0,0,0,0,1,2546.0
0,0,1,0,1,0,1,0,0,0,1,1,1,1,2540.2
0,0,1,1,0,1,1,1,1,0,0,0,1,0,2552.7
0,0,1,0,1,1,0,1,0,1,0,0,1,1,2522.8
1,1,0,1,0,0,0,0,0,0,0,1,1,0,2565.8
0,1,1,0,0,0,1,0,1,1,0,0,0,0,2558.5
1,1,0,1,1,1,0,0,0,1,0,0,0,1,2543.1
1,0,1,0,1,1,0,0,1,1,1,0,1,1,2524.1
1,0,0,0,1,1,1,0,0,1,1,0,1,1,2554.1
1,1,1,0,1,0,1,0,1,1,1,0,0,0,2520.7
1,1,0,1,0,0,1,0,0,0,1,0,1,1,2563.3
1,1,1,0,0,1,1,0,1,0,0,0,0,0,2534.9
1,1,0,0,0,0,0,1,1,0,0,1,1,0,2542.0
0,0,1,1,0,0,1,1,0,0,0,1,1,1,2544.5
0,1,0,1,0,1,0,1,1,1,1,1,0,1,2544.0
0,1,1,0,1,1,0,1,0,1,0,0,1,1,2525.8
1,1,1,0,0,1,0,0,0,1,0,1,1,0,2547.9
1,0,1,0,0,1,0,0,1,0,1,1,1,1,2555.1
1,1,0,1,0,1,0,0,0,1,0,0,1,0,2530.1
0,0,1,1,0,1,1,0,0,1,0,1,1,0,2549.0
0,1,0,0,1,0,1,1,0,1,0,1,1,1,2567.9
0,1,0,1,0,0,0,1,0,1,1,1,0,1,2555.7
1,0,1,1,1,0,0,0,1,1,1,0,1,1,2523.0
0,1,0,0,0,0,1,0,0,1,1,1,0,1,2533.6
0,0,0,1,0,1,1,0,1,1,1,1,1,1,2572.1
1,0,0,0,0,1,0,0,1,0,0,1,1,0,2561.9
0,0,0,0,0,1,0,0,1,1,1,0,0,1,2528.2
1,0,1,1,0,0,1,1,0,1,1,1,1,1,2564.1
0,0,0,0,1,0,1,1,0,0,1,1,0,0,2530.9
0,1,1,1,1,0,1,1,0,1,1,0,1,0,2532.1
0,1,1,0,1,0,1,0,1,0,0,1,1,1,2536.6
1,1,0,1,0,1,0,0,1,0,1,0,1,1,2547.6
0,0,1,1,1,0,1,1,0,0,0,1,1,1,2542.5
1,1,1,0,0,0,0,1,1,0,0,0,1,0,2528.8
0,0,0,1,0,1,1,1,1,0,0,1,0,1,2544.6
1,1,0,0,0,0,1,0,1,1,1,0,0,1,2550.1
0,1,1,0,1,0,0,1,1,0,0,0,0,1,2535.6
1,1,0,1,0,1,1,0,0,1,1,1,0,1,2553.8
1,1,1,0,1,0,1,0,1,0,0,1,0,0,2557.1
0,1,1,0,1,0,0,1,1,1,0,0,0,0,2545.4
1,1,0,0,0,0,1,1,0,1,0,0,1,1,2539.0
0,1,1,0,1,0,1,1,1,1,0,0,0,1,2531.5
0,0,1,0,1,1,0,1,0,0,0,1,1,0,2541.4
0,1,0,1,1,1,1,0,1,1,1,1,0,1,2542.0
0,0,1,1,0,0,0,0,1,1,0,0,0,0,2546.0
1,1,0,0,0,1,0,0,1,0,1,1,0,1,2567.8
0,1,0,1,0,1,1,0,1,1,0,0,1,0,2543.0
0,0,1,1,0,0,0,1,1,0,1,1,1,0,2541.2
0,0,1,1,0,1,0,1,1,0,1,1,0,1,2550.7
0,1,0,0,0,1,0,0,1,0,1,0,0,1,2521.0
1,0,1,0,0,1,0,1,1,1,0,1,1,1,2539.0
0,1,1,1,1,0,0,0,1,0,0,0,0,0,2576.5
1,1,0,1,0,1,0,1,0,1,1,0,1,1,2558.7
1,1,1,1,1,1,0,1,1,0,0,1,1,0,2543.9
0,1,0,1,0,0,0,1,0,0,1,0,0,0,2546.4
0,1,0,0,1,0,1,1,1,0,1,1,1,1,2534.7
1,1,0,1,0,1,0,0,0,0,0,0,0,1,2550.8
0,1,1,0,1,0,1,0,1,0,0,1,1,0,2550.9
0,0,0,0,0,1,1,1,0,0,0,0,0,1,2561.0
0,1,1,0,0,1,1,1,0,0,0,0,1,1,2513.6
1,0,0,1,1,1,0,1,1,0,1,1,1,1,2534.2
0,1,0,0,1,1,1,0,0,1,0,0,1,1,2531.7
1,0,0,1,1,0,0,0,0,1,0,1,0,1,2558.7
0,1,0,0,0,0,0,1,1,0,1,0,0,1,2549.4
1,1,1,0,0,1,1,0,0,0,1,0,0,1,2547.5
0,1,0,1,0,1,1,0,0,0,1,0,1,0,2545.7
1,1,1,0,0,1,0,1,1,1,1,1,0,0,2553.9
1,1,0,1,0,1,0,0,1,1,1,0,0,1,2547.7
0,0,0,0,1,0,0,1,0,1,1,1,0,1,2544.6
1,1,0,1,0,1,0,0,0,0,0,1,0,0,2556.9
1,1,1,0,0,1,1,1,0,1,0,0,0,0,2571.6
1,1,1,1,0,0,0,0,1,0,0,0,1,0,2538.0
1,0,1,1,0,1,0,1,1,1,0,1,0,0,2558.1
1,0,0,1,1,1,1,1,0,0,1,1,0,1,2557.3
0,0,1,1,0,1,0,1,0,1,1,1,1,0,2568.6
1,1,1,0,0,1,0,0,0,1,0,0,1,0,2551.8
