SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillrand100K
0,1,0,1,0,0,1,0,0,1,1,0,1,1,445.49
0,0,1,1,1,0,1,0,1,1,1,0,1,0,439.92
0,0,0,1,1,0,1,0,1,1,0,0,1,0,448.3
0,0,1,0,0,0,0,0,1,0,1,0,1,1,439.29
0,0,1,0,1,0,1,0,0,0,0,0,0,1,442.64
0,1,1,1,1,1,1,0,1,1,0,1,1,1,444.9
1,1,0,1,0,0,0,1,0,1,0,1,0,0,452.41
1,0,1,1,0,0,0,1,1,1,1,0,0,0,446.4
1,1,0,0,1,1,1,0,0,0,0,1,1,0,447.69
1,0,0,1,1,1,1,0,1,1,1,1,0,1,445.96
0,0,0,0,0,1,0,1,0,0,0,0,0,1,449.68
1,1,1,1,1,1,1,1,1,1,1,0,0,1,443.16
0,0,1,1,0,0,1,1,0,0,1,1,0,0,451.26
1,1,1,0,1,0,1,1,1,1,0,1,0,0,447.36
0,0,0,1,1,0,0,0,0,1,1,0,1,0,444.24
1,1,0,0,1,0,0,0,1,0,0,1,1,0,447.19
0,1,0,1,1,0,0,0,0,0,0,1,1,0,454.01
1,0,0,1,0,1,0,0,1,1,1,1,1,0,452.91
1,1,1,1,1,1,0,0,1,1,1,0,0,0,456.69
1,0,1,0,1,1,0,0,1,1,1,1,0,1,444.87
0,0,1,1,0,1,0,1,0,0,1,1,0,1,450.05
0,1,0,1,0,0,1,1,1,1,1,0,1,1,450.23
1,0,0,1,1,1,1,0,1,0,0,1,1,0,445.57
1,0,0,1,1,0,1,0,1,1,0,1,1,0,447.3
0,0,1,1,0,0,0,0,1,1,0,0,1,0,444.18
0,0,0,0,1,1,1,1,1,0,1,0,1,0,451.22
1,0,0,1,1,1,1,1,1,0,1,0,0,1,444.05
1,1,0,0,0,1,0,0,1,0,0,1,0,0,443.32
