SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrandom.3
0,0,0,1,0,1,1,0,0,1,1,1,1,0,6.458
0,0,0,0,1,0,1,0,0,1,0,0,0,1,6.563
0,1,0,1,0,1,0,1,0,0,1,0,1,1,6.344
1,1,0,0,0,1,0,0,1,1,0,1,0,1,6.362
1,0,0,1,1,1,0,1,1,1,0,0,1,1,6.461
1,1,1,1,0,0,1,0,1,1,1,0,1,0,6.6
0,1,1,1,1,1,1,0,0,1,0,1,1,0,6.401
1,0,1,0,1,0,0,1,1,1,0,0,0,1,6.651
1,0,1,1,1,0,1,0,1,1,1,1,1,0,6.344
1,0,0,1,1,1,0,1,1,0,1,1,0,0,6.373
0,1,0,1,0,1,1,0,0,1,0,1,0,0,6.476
0,0,0,1,0,1,0,1,0,1,1,1,0,0,6.428
0,1,0,0,1,1,0,0,1,0,1,0,1,0,6.22
0,1,1,1,1,0,0,1,0,1,0,0,1,0,6.365
1,1,0,1,1,0,0,1,1,0,1,0,0,0,6.552
0,0,1,0,1,1,0,1,1,1,0,0,0,0,6.493
1,0,0,0,1,0,0,1,1,0,0,1,0,1,6.34
1,1,0,0,0,0,0,1,0,0,1,1,1,1,6.197
1,1,0,1,0,0,1,0,0,1,0,1,0,0,6.347
0,0,0,0,0,1,0,1,1,0,0,1,0,1,6.337
0,1,1,1,1,0,0,0,0,1,0,0,1,1,6.457
1,0,0,0,1,1,0,0,1,1,1,0,0,0,6.386
0,1,1,1,0,0,0,0,0,0,1,0,1,1,6.237
1,1,1,1,1,0,0,1,0,1,1,0,1,0,6.42
1,1,0,1,0,0,0,0,1,1,0,0,1,1,6.447
0,0,1,0,0,0,1,0,1,1,0,1,0,0,6.475
0,1,1,0,1,1,0,1,1,0,0,1,1,0,6.323
1,0,0,1,1,0,1,1,0,0,0,1,1,0,6.241
1,1,1,0,0,0,1,0,1,0,0,0,0,1,6.396
0,0,0,0,1,0,0,0,1,0,1,0,1,0,6.307
0,0,0,0,1,0,0,0,0,1,1,1,1,0,6.643
1,0,1,1,1,1,0,1,0,0,0,1,0,0,6.361
0,1,0,1,0,0,0,0,1,0,0,0,0,1,6.418
0,1,0,1,0,0,0,0,0,0,1,1,0,1,6.277
1,1,0,1,1,1,0,1,0,0,0,0,0,0,6.421
0,1,1,0,0,0,1,0,0,1,1,1,0,0,6.467
0,1,1,0,0,0,0,1,0,1,1,0,0,1,6.5
1,1,1,0,1,1,0,0,1,0,1,1,1,1,6.22
0,0,0,0,1,0,1,0,1,0,1,0,1,0,6.558
0,0,0,1,1,1,0,0,0,0,0,1,1,1,6.279
1,0,0,0,1,0,1,1,0,0,1,0,1,0,6.339
1,0,0,1,0,1,0,1,1,0,0,0,1,0,6.362
0,1,1,0,0,0,1,1,1,1,1,1,0,0,6.67
1,0,1,1,0,0,0,0,1,1,1,0,1,0,6.401
0,0,0,1,1,0,0,1,0,1,1,0,1,1,6.4
1,1,1,1,1,0,0,1,1,1,0,0,1,0,6.437
1,0,1,0,0,1,1,1,1,0,1,1,0,1,6.358
0,1,0,1,1,1,0,0,1,1,0,0,1,0,6.372
0,1,1,1,1,1,1,0,1,1,1,0,1,0,6.602
0,1,0,1,0,0,1,1,1,1,1,0,0,0,6.345
1,0,1,1,1,0,1,0,1,1,0,1,1,0,6.411
1,0,0,1,1,1,1,0,0,0,1,1,1,0,6.358
1,0,0,1,0,0,1,1,0,0,0,0,0,1,6.422
1,1,1,0,0,1,0,0,1,0,1,0,1,1,6.485
0,0,1,1,0,1,0,1,1,1,0,0,0,0,6.502
1,0,0,0,1,1,0,1,0,1,1,1,1,0,6.415
1,1,1,0,0,0,0,1,0,0,0,0,0,1,6.481
0,0,1,0,1,1,1,0,0,0,1,0,0,0,6.536
1,1,1,0,0,0,0,0,0,1,1,0,0,0,6.511
0,0,0,0,0,1,1,1,1,0,0,1,1,0,6.598
0,0,1,1,1,0,1,1,0,0,1,0,0,0,6.393
0,1,0,0,0,1,1,1,1,1,0,1,1,0,6.482
