SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq100K.4
0,0,0,1,0,1,1,0,0,1,1,1,1,0,718.53
0,0,0,0,1,0,1,0,0,1,0,0,0,1,710.5
0,1,0,1,0,1,0,1,0,0,1,0,1,1,703.43
1,1,0,0,0,1,0,0,1,1,0,1,0,1,718.62
1,0,0,1,1,1,0,1,1,1,0,0,1,1,707.0
1,1,1,1,0,0,1,0,1,1,1,0,1,0,712.32
0,1,1,1,1,1,1,0,0,1,0,1,1,0,722.05
1,0,1,0,1,0,0,1,1,1,0,0,0,1,713.27
1,0,1,1,1,0,1,0,1,1,1,1,1,0,710.0
1,0,0,1,1,1,0,1,1,0,1,1,0,0,720.67
0,1,0,1,0,1,1,0,0,1,0,1,0,0,721.94
0,0,0,1,0,1,0,1,0,1,1,1,0,0,713.01
0,1,0,0,1,1,0,0,1,0,1,0,1,0,709.98
0,1,1,1,1,0,0,1,0,1,0,0,1,0,726.72
1,1,0,1,1,0,0,1,1,0,1,0,0,0,715.94
0,0,1,0,1,1,0,1,1,1,0,0,0,0,720.28
1,0,0,0,1,0,0,1,1,0,0,1,0,1,722.13
1,1,0,0,0,0,0,1,0,0,1,1,1,1,711.05
1,1,0,1,0,0,1,0,0,1,0,1,0,0,715.35
0,0,0,0,0,1,0,1,1,0,0,1,0,1,717.81
0,1,1,1,1,0,0,0,0,1,0,0,1,1,710.27
1,0,0,0,1,1,0,0,1,1,1,0,0,0,708.67
0,1,1,1,0,0,0,0,0,0,1,0,1,1,703.05
1,1,1,1,1,0,0,1,0,1,1,0,1,0,709.78
1,1,0,1,0,0,0,0,1,1,0,0,1,1,710.56
0,0,1,0,0,0,1,0,1,1,0,1,0,0,716.3
0,1,1,0,1,1,0,1,1,0,0,1,1,0,717.11
1,0,0,1,1,0,1,1,0,0,0,1,1,0,713.6
1,1,1,0,0,0,1,0,1,0,0,0,0,1,713.12
0,0,0,0,1,0,0,0,1,0,1,0,1,0,716.32
0,0,0,0,1,0,0,0,0,1,1,1,1,0,710.15
1,0,1,1,1,1,0,1,0,0,0,1,0,0,712.66
0,1,0,1,0,0,0,0,1,0,0,0,0,1,710.45
0,1,0,1,0,0,0,0,0,0,1,1,0,1,717.61
1,1,0,1,1,1,0,1,0,0,0,0,0,0,716.84
0,1,1,0,0,0,1,0,0,1,1,1,0,0,714.5
0,1,1,0,0,0,0,1,0,1,1,0,0,1,711.09
1,1,1,0,1,1,0,0,1,0,1,1,1,1,717.38
0,0,0,0,1,0,1,0,1,0,1,0,1,0,705.92
0,0,0,1,1,1,0,0,0,0,0,1,1,1,712.6
1,0,0,0,1,0,1,1,0,0,1,0,1,0,710.64
1,0,0,1,0,1,0,1,1,0,0,0,1,0,713.89
0,1,1,0,0,0,1,1,1,1,1,1,0,0,712.71
1,0,1,1,0,0,0,0,1,1,1,0,1,0,711.2
0,0,0,1,1,0,0,1,0,1,1,0,1,1,709.52
1,1,1,1,1,0,0,1,1,1,0,0,1,0,716.32
1,0,1,0,0,1,1,1,1,0,1,1,0,1,706.96
0,1,0,1,1,1,0,0,1,1,0,0,1,0,714.8
0,1,1,1,1,1,1,0,1,1,1,0,1,0,710.76
0,1,0,1,0,0,1,1,1,1,1,0,0,0,706.5
1,0,1,1,1,0,1,0,1,1,0,1,1,0,722.53
1,0,0,1,1,1,1,0,0,0,1,1,1,0,713.21
1,0,0,1,0,0,1,1,0,0,0,0,0,1,708.6
1,1,1,0,0,1,0,0,1,0,1,0,1,1,707.12
0,0,1,1,0,1,0,1,1,1,0,0,0,0,718.46
1,0,0,0,1,1,0,1,0,1,1,1,1,0,725.17
1,1,1,0,0,0,0,1,0,0,0,0,0,1,716.13
0,0,1,0,1,1,1,0,0,0,1,0,0,0,708.21
1,1,1,0,0,0,0,0,0,1,1,0,0,0,707.3
0,0,0,0,0,1,1,1,1,0,0,1,1,0,719.16
0,0,1,1,1,0,1,1,0,0,1,0,0,0,706.74
0,1,0,0,0,1,1,1,1,1,0,1,1,0,709.43
0,0,0,1,0,0,0,0,0,1,1,0,0,1,713.6
1,0,0,0,1,1,0,1,0,1,1,1,0,0,710.64
0,0,1,1,0,0,1,1,0,1,1,1,1,0,718.79
0,1,1,1,1,0,1,0,0,0,1,0,1,0,708.47
0,0,0,1,0,0,0,0,0,1,0,1,1,0,714.91
0,1,0,1,0,0,1,0,0,1,1,0,1,1,712.13
0,0,1,1,1,0,1,0,1,1,1,0,1,0,716.88
0,0,0,1,1,0,1,0,1,1,0,0,1,0,701.26
