SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwrite.6
0,0,0,1,0,1,1,0,0,1,1,1,1,0,27.852
0,0,0,0,1,0,1,0,0,1,0,0,0,1,25.309
0,1,0,1,0,1,0,1,0,0,1,0,1,1,25.111
1,1,0,0,0,1,0,0,1,1,0,1,0,1,28.783
1,0,0,1,1,1,0,1,1,1,0,0,1,1,25.702
1,1,1,1,0,0,1,0,1,1,1,0,1,0,25.278
0,1,1,1,1,1,1,0,0,1,0,1,1,0,28.098
1,0,1,0,1,0,0,1,1,1,0,0,0,1,25.396
1,0,1,1,1,0,1,0,1,1,1,1,1,0,29.186
1,0,0,1,1,1,0,1,1,0,1,1,0,0,27.231
0,1,0,1,0,1,1,0,0,1,0,1,0,0,28.565
0,0,0,1,0,1,0,1,0,1,1,1,0,0,28.014
0,1,0,0,1,1,0,0,1,0,1,0,1,0,35.472
0,1,1,1,1,0,0,1,0,1,0,0,1,0,41.457
1,1,0,1,1,0,0,1,1,0,1,0,0,0,142.33
0,0,1,0,1,1,0,1,1,1,0,0,0,0,242.84
1,0,0,0,1,0,0,1,1,0,0,1,0,1,329.2
1,1,0,0,0,0,0,1,0,0,1,1,1,1,316.45
1,1,0,1,0,0,1,0,0,1,0,1,0,0,255.05
0,0,0,0,0,1,0,1,1,0,0,1,0,1,251.61
0,1,1,1,1,0,0,0,0,1,0,0,1,1,216.31
1,0,0,0,1,1,0,0,1,1,1,0,0,0,231.58
0,1,1,1,0,0,0,0,0,0,1,0,1,1,183.65
1,1,1,1,1,0,0,1,0,1,1,0,1,0,177.29
1,1,0,1,0,0,0,0,1,1,0,0,1,1,163.21
0,0,1,0,0,0,1,0,1,1,0,1,0,0,200.36
0,1,1,0,1,1,0,1,1,0,0,1,1,0,261.44
1,0,0,1,1,0,1,1,0,0,0,1,1,0,255.45
1,1,1,0,0,0,1,0,1,0,0,0,0,1,203.75
0,0,0,0,1,0,0,0,1,0,1,0,1,0,168.49
0,0,0,0,1,0,0,0,0,1,1,1,1,0,217.04
1,0,1,1,1,1,0,1,0,0,0,1,0,0,211.9
0,1,0,1,0,0,0,0,1,0,0,0,0,1,214.25
0,1,0,1,0,0,0,0,0,0,1,1,0,1,227.46
1,1,0,1,1,1,0,1,0,0,0,0,0,0,173.04
0,1,1,0,0,0,1,0,0,1,1,1,0,0,195.73
0,1,1,0,0,0,0,1,0,1,1,0,0,1,272.5
1,1,1,0,1,1,0,0,1,0,1,1,1,1,231.97
0,0,0,0,1,0,1,0,1,0,1,0,1,0,197.11
0,0,0,1,1,1,0,0,0,0,0,1,1,1,219.54
1,0,0,0,1,0,1,1,0,0,1,0,1,0,173.98
1,0,0,1,0,1,0,1,1,0,0,0,1,0,153.68
0,1,1,0,0,0,1,1,1,1,1,1,0,0,164.0
1,0,1,1,0,0,0,0,1,1,1,0,1,0,212.25
0,0,0,1,1,0,0,1,0,1,1,0,1,1,196.76
1,1,1,1,1,0,0,1,1,1,0,0,1,0,181.8
1,0,1,0,0,1,1,1,1,0,1,1,0,1,174.13
0,1,0,1,1,1,0,0,1,1,0,0,1,0,143.49
0,1,1,1,1,1,1,0,1,1,1,0,1,0,170.68
0,1,0,1,0,0,1,1,1,1,1,0,0,0,188.61
1,0,1,1,1,0,1,0,1,1,0,1,1,0,203.6
1,0,0,1,1,1,1,0,0,0,1,1,1,0,214.28
1,0,0,1,0,0,1,1,0,0,0,0,0,1,219.52
1,1,1,0,0,1,0,0,1,0,1,0,1,1,165.07
0,0,1,1,0,1,0,1,1,1,0,0,0,0,178.35
1,0,0,0,1,1,0,1,0,1,1,1,1,0,249.99
1,1,1,0,0,0,0,1,0,0,0,0,0,1,222.96
0,0,1,0,1,1,1,0,0,0,1,0,0,0,222.74
1,1,1,0,0,0,0,0,0,1,1,0,0,0,225.76
0,0,0,0,0,1,1,1,1,0,0,1,1,0,194.35
0,0,1,1,1,0,1,1,0,0,1,0,0,0,223.03
0,1,0,0,0,1,1,1,1,1,0,1,1,0,247.15
0,0,0,1,0,0,0,0,0,1,1,0,0,1,165.3
1,0,0,0,1,1,0,1,0,1,1,1,0,0,221.26
0,0,1,1,0,0,1,1,0,1,1,1,1,0,242.4
0,1,1,1,1,0,1,0,0,0,1,0,1,0,248.92
0,0,0,1,0,0,0,0,0,1,0,1,1,0,251.21
0,1,0,1,0,0,1,0,0,1,1,0,1,1,259.47
0,0,1,1,1,0,1,0,1,1,1,0,1,0,224.53
0,0,0,1,1,0,1,0,1,1,0,0,1,0,222.13
0,0,1,0,0,0,0,0,1,0,1,0,1,1,205.09
0,0,1,0,1,0,1,0,0,0,0,0,0,1,150.82
0,1,1,1,1,1,1,0,1,1,0,1,1,1,172.86
1,1,0,1,0,0,0,1,0,1,0,1,0,0,226.87
1,0,1,1,0,0,0,1,1,1,1,0,0,0,183.33
1,1,0,0,1,1,1,0,0,0,0,1,1,0,314.37
1,0,0,1,1,1,1,0,1,1,1,1,0,1,320.99
0,0,0,0,0,1,0,1,0,0,0,0,0,1,220.9
1,1,1,1,1,1,1,1,1,1,1,0,0,1,278.8
0,0,1,1,0,0,1,1,0,0,1,1,0,0,314.54
1,1,1,0,1,0,1,1,1,1,0,1,0,0,259.92
0,0,0,1,1,0,0,0,0,1,1,0,1,0,241.65
1,1,0,0,1,0,0,0,1,0,0,1,1,0,212.48
0,1,0,1,1,0,0,0,0,0,0,1,1,0,279.01
1,0,0,1,0,1,0,0,1,1,1,1,1,0,185.76
1,1,1,1,1,1,0,0,1,1,1,0,0,0,227.0
1,0,1,0,1,1,0,0,1,1,1,1,0,1,218.64
0,0,1,1,0,1,0,1,0,0,1,1,0,1,244.39
0,1,0,1,0,0,1,1,1,1,1,0,1,1,274.9
1,0,0,1,1,1,1,0,1,0,0,1,1,0,229.34
1,0,0,1,1,0,1,0,1,1,0,1,1,0,184.61
0,0,1,1,0,0,0,0,1,1,0,0,1,0,234.3
0,0,0,0,1,1,1,1,1,0,1,0,1,0,191.19
1,0,0,1,1,1,1,1,1,0,1,0,0,1,177.77
1,1,0,0,0,1,0,0,1,0,0,1,0,0,237.75
1,0,1,1,0,0,0,0,0,0,1,1,0,0,163.61
1,0,1,0,1,0,0,0,1,0,0,1,0,0,207.19
0,1,1,1,1,1,0,1,1,0,0,0,0,0,190.07
0,1,0,0,0,1,0,0,1,0,1,1,0,0,234.97
1,0,0,0,1,1,0,0,0,1,1,0,0,1,255.82
1,1,0,1,1,0,0,1,1,0,0,1,0,0,216.81
1,0,1,1,0,1,0,1,1,1,1,0,1,1,225.44
0,1,1,0,1,1,1,0,0,1,1,0,0,1,178.06
1,1,0,1,0,0,1,1,0,0,1,1,1,0,211.38
0,1,0,1,1,0,1,1,0,1,1,0,1,0,243.18
1,0,0,1,1,0,1,1,0,1,0,1,0,1,207.95
1,1,1,0,1,0,0,0,1,0,0,0,0,1,184.7
0,0,1,1,0,0,1,0,0,1,0,1,0,1,208.0
0,1,1,0,0,0,1,1,0,0,1,0,0,1,178.66
0,1,1,1,1,1,0,0,0,1,1,1,0,1,200.78
1,0,1,0,0,0,1,0,1,0,0,1,0,0,193.01
0,0,1,0,0,1,1,0,1,0,0,0,1,1,214.6
1,1,1,0,0,0,0,1,0,0,1,1,1,1,197.5
0,0,0,1,0,1,1,1,1,1,0,0,0,0,231.46
0,1,1,0,0,0,0,0,1,0,1,1,1,1,183.16
0,1,0,0,0,0,0,1,0,1,1,1,1,0,190.0
0,1,1,1,1,0,1,1,1,1,1,0,0,0,201.89
0,0,0,1,1,0,0,0,0,1,1,1,0,1,155.03
1,0,1,0,0,1,0,0,0,0,0,0,1,1,159.76
1,0,1,0,1,1,0,0,1,1,0,1,0,0,166.96
0,1,1,1,0,1,0,0,0,0,0,1,0,0,180.79
1,0,1,1,0,1,0,1,0,0,0,0,1,1,186.54
0,1,1,1,1,0,0,1,1,1,1,0,0,0,234.08
0,1,0,1,1,0,1,0,0,1,1,0,1,0,228.23
0,0,1,1,1,0,0,1,1,1,1,0,1,0,236.98
1,0,1,1,1,1,1,1,0,1,1,0,1,0,167.45
0,0,1,1,1,0,1,0,0,1,1,1,0,1,227.76
1,1,0,0,0,0,1,1,1,1,1,0,1,0,191.16
0,1,1,1,0,1,0,0,0,0,1,1,1,0,221.77
1,1,1,1,0,1,1,1,1,1,1,0,1,1,190.48
1,1,1,0,0,0,1,0,0,1,1,0,1,1,206.38
1,0,0,0,0,1,1,1,1,1,0,1,1,0,222.35
1,1,0,1,1,0,1,1,0,1,0,1,1,1,234.52
1,0,1,1,1,1,0,0,1,0,1,0,0,1,195.92
0,0,1,1,0,0,1,0,0,0,1,0,1,0,161.67
1,1,0,1,0,1,0,1,0,1,0,0,0,0,179.0
1,1,1,0,0,1,1,0,1,0,0,1,0,0,193.64
1,1,0,1,0,1,1,0,1,1,0,1,0,1,189.38
1,0,1,0,1,0,1,1,0,1,0,1,1,0,215.18
1,0,1,1,0,1,0,0,1,0,1,1,0,1,228.37
1,0,0,0,1,0,0,1,0,1,1,0,1,1,250.16
1,0,0,1,0,0,0,1,1,1,1,0,0,0,206.0
1,0,1,0,0,1,1,1,1,1,1,0,0,1,180.47
1,0,0,0,0,1,0,1,0,0,0,0,1,0,254.03
0,1,1,1,1,1,0,0,1,1,0,0,1,1,171.19
1,1,1,1,1,1,0,1,0,0,0,1,1,0,151.58
1,1,1,1,0,0,1,0,1,1,0,0,1,0,228.69
0,1,0,1,0,0,1,0,1,0,0,1,0,0,179.2
0,1,0,1,1,0,1,0,1,1,1,0,0,1,258.37
0,0,1,1,0,1,0,1,1,0,0,0,0,0,183.66
0,0,1,1,0,1,0,1,0,1,0,0,1,0,225.6
0,0,0,1,1,0,0,0,0,1,1,0,1,0,187.81
0,1,1,0,1,0,0,1,0,0,0,1,1,0,167.88
0,1,1,1,0,1,0,1,0,0,1,1,1,1,182.93
1,1,0,0,1,1,1,0,0,1,1,1,1,1,205.28
1,1,1,0,0,0,0,1,1,0,0,1,1,1,213.47
1,1,1,1,1,1,0,1,1,0,0,0,1,0,211.36
1,1,0,0,0,1,0,1,1,0,1,1,1,0,202.03
0,1,0,0,0,1,0,1,1,0,0,1,0,0,233.1
1,0,1,1,1,1,0,1,1,0,0,1,1,1,171.33
1,0,0,1,1,1,0,0,1,0,1,0,1,1,166.67
0,1,0,1,1,1,0,1,1,0,0,1,1,0,176.63
1,1,1,1,1,1,1,1,1,0,0,0,1,0,213.63
0,0,1,1,1,1,0,1,1,1,1,1,1,1,161.79
0,1,1,0,0,0,0,0,0,1,0,1,1,1,211.39
1,0,1,0,0,0,1,1,1,0,0,0,0,1,214.78
1,1,0,1,0,0,0,0,0,0,0,0,1,0,185.61
0,1,1,0,1,1,1,1,1,1,0,0,1,1,225.58
1,1,1,1,1,0,1,0,1,0,0,0,1,1,194.16
1,1,1,0,0,1,0,0,0,1,1,1,0,0,182.67
0,1,1,1,1,0,1,0,0,1,1,1,1,0,224.93
1,1,1,1,1,0,1,0,1,1,0,1,1,0,153.12
1,0,0,0,1,0,1,1,1,1,0,0,0,0,179.93
0,1,0,0,0,1,0,1,1,0,0,1,1,1,137.58
0,1,0,0,1,0,0,1,1,1,0,0,1,1,241.41
0,1,1,0,0,0,0,0,1,1,0,1,0,1,168.19
1,0,0,1,1,1,0,1,0,1,1,1,1,0,205.83
0,0,1,0,1,0,0,1,1,1,1,0,1,0,212.73
0,1,1,1,1,0,0,1,1,1,1,1,1,1,177.39
1,0,0,1,1,1,0,1,0,1,1,1,0,1,188.42
0,0,0,1,0,0,1,0,0,1,1,1,1,1,205.59
1,0,0,0,1,1,1,0,0,0,0,0,0,0,209.81
1,1,0,1,0,1,1,0,1,1,0,0,0,1,205.17
1,1,1,0,1,0,1,1,0,0,1,1,0,1,206.3
0,0,1,0,0,0,0,0,1,0,0,0,0,1,228.56
1,1,0,1,1,0,1,0,1,1,1,1,1,1,174.17
0,0,1,1,1,1,0,1,0,0,0,1,0,1,155.05
0,0,1,1,1,1,1,0,1,0,0,1,0,0,206.5
0,1,1,1,0,0,0,0,0,1,1,1,1,1,191.64
0,1,1,0,1,1,0,0,1,1,1,1,0,1,194.66
1,0,0,1,1,1,1,0,0,1,0,1,0,0,146.63
0,1,0,1,1,1,1,1,1,0,0,1,1,1,207.6
1,0,1,1,0,0,0,0,0,0,1,1,1,0,181.55
1,1,0,0,0,1,0,1,0,1,1,1,0,1,217.08
0,1,0,0,0,0,0,1,1,0,0,0,0,1,188.68
0,1,1,0,1,0,1,0,0,0,0,1,1,1,231.04
1,0,1,1,0,0,0,0,1,1,1,0,0,0,168.99
1,1,1,0,1,1,0,1,1,0,0,1,0,1,209.6
0,1,1,1,1,1,1,0,0,1,0,0,0,0,169.18
1,0,1,0,1,1,0,1,1,1,1,1,1,0,211.74
0,0,1,0,1,0,0,1,1,0,0,1,0,0,196.95
1,0,0,1,1,1,0,1,0,1,0,0,1,0,269.25
1,0,1,1,1,0,0,0,1,0,0,1,0,1,168.01
1,0,0,0,1,1,1,1,1,1,1,1,0,0,231.43
0,0,0,0,1,0,0,1,0,0,0,0,1,0,150.95
0,1,1,0,0,0,1,0,0,1,1,1,1,1,188.94
0,1,1,1,0,1,1,0,1,1,0,1,0,0,193.45
0,0,0,0,1,1,1,1,1,0,0,1,1,1,193.82
1,1,1,0,0,1,1,0,1,0,0,1,1,1,150.18
0,1,1,0,0,1,1,0,1,0,0,0,0,0,152.53
1,1,1,0,0,1,0,1,1,1,1,0,1,0,171.59
0,1,1,1,0,1,0,0,1,0,0,0,1,0,143.67
1,1,1,1,0,1,0,0,1,0,1,1,1,1,210.19
1,1,1,0,1,0,1,1,0,1,1,1,0,0,165.57
1,1,0,1,0,0,1,0,0,0,0,1,0,0,168.63
1,1,0,0,1,0,0,0,1,1,1,0,1,1,200.86
1,1,0,0,0,1,0,1,0,0,0,1,0,0,199.76
0,1,0,1,1,1,1,0,0,1,1,0,0,0,178.62
0,1,0,0,1,1,0,0,0,0,0,1,1,1,239.17
0,0,1,0,1,1,1,1,0,1,0,0,1,0,163.76
0,0,0,0,0,1,1,1,1,0,1,0,1,1,204.42
0,1,1,1,1,1,0,0,0,1,0,1,0,1,159.12
1,1,1,1,1,0,1,0,1,0,0,1,1,1,171.13
0,1,1,1,0,1,1,0,0,1,1,0,1,1,181.98
0,0,0,0,0,0,1,0,1,0,1,0,0,0,170.37
0,0,0,1,0,0,0,0,1,0,1,0,0,1,179.39
0,1,0,0,0,0,0,0,0,1,1,0,1,1,223.72
1,1,0,0,1,1,1,1,1,1,1,0,0,1,184.03
0,1,0,1,0,0,1,0,1,0,0,0,1,0,153.79
1,1,1,1,0,0,1,0,0,1,1,1,0,1,241.06
1,1,0,1,0,0,0,0,0,1,1,0,1,0,166.28
1,0,0,1,1,1,1,1,0,0,0,0,0,1,217.62
0,0,0,1,0,1,1,1,1,0,0,1,0,1,226.79
1,1,0,0,0,0,1,0,1,1,0,0,1,0,131.53
0,0,0,1,1,1,0,1,1,0,1,0,1,0,177.77
1,1,0,0,1,1,1,1,0,0,1,0,1,1,188.09
0,1,0,1,0,1,0,1,1,1,0,1,0,1,172.78
0,0,1,1,1,0,0,0,0,1,1,1,1,1,203.58
1,0,0,0,1,0,1,1,1,0,0,1,1,0,212.18
0,0,1,1,1,1,1,1,0,0,1,1,0,1,147.43
0,0,1,1,0,0,1,1,1,1,1,0,1,1,170.8
0,1,0,0,1,1,1,0,0,1,1,1,1,1,203.59
1,0,1,0,1,1,0,1,1,0,0,0,0,1,175.88
