SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqbatch.2
0,0,0,1,0,1,1,0,0,1,1,1,1,0,2.623
0,0,0,0,1,0,1,0,0,1,0,0,0,1,2.348
0,1,0,1,0,1,0,1,0,0,1,0,1,1,1.966
1,1,0,0,0,1,0,0,1,1,0,1,0,1,2.698
1,0,0,1,1,1,0,1,1,1,0,0,1,1,2.37
1,1,1,1,0,0,1,0,1,1,1,0,1,0,2.412
0,1,1,1,1,1,1,0,0,1,0,1,1,0,2.609
1,0,1,0,1,0,0,1,1,1,0,0,0,1,2.557
1,0,1,1,1,0,1,0,1,1,1,1,1,0,2.656
1,0,0,1,1,1,0,1,1,0,1,1,0,0,2.221
0,1,0,1,0,1,1,0,0,1,0,1,0,0,2.668
0,0,0,1,0,1,0,1,0,1,1,1,0,0,2.631
0,1,0,0,1,1,0,0,1,0,1,0,1,0,1.943
0,1,1,1,1,0,0,1,0,1,0,0,1,0,2.369
1,1,0,1,1,0,0,1,1,0,1,0,0,0,1.975
0,0,1,0,1,1,0,1,1,1,0,0,0,0,2.436
1,0,0,0,1,0,0,1,1,0,0,1,0,1,2.223
1,1,0,0,0,0,0,1,0,0,1,1,1,1,2.215
1,1,0,1,0,0,1,0,0,1,0,1,0,0,2.844
0,0,0,0,0,1,0,1,1,0,0,1,0,1,2.209
0,1,1,1,1,0,0,0,0,1,0,0,1,1,2.371
1,0,0,0,1,1,0,0,1,1,1,0,0,0,2.359
0,1,1,1,0,0,0,0,0,0,1,0,1,1,1.945
1,1,1,1,1,0,0,1,0,1,1,0,1,0,2.366
1,1,0,1,0,0,0,0,1,1,0,0,1,1,2.395
0,0,1,0,0,0,1,0,1,1,0,1,0,0,2.666
0,1,1,0,1,1,0,1,1,0,0,1,1,0,2.187
1,0,0,1,1,0,1,1,0,0,0,1,1,0,2.224
1,1,1,0,0,0,1,0,1,0,0,0,0,1,2.042
0,0,0,0,1,0,0,0,1,0,1,0,1,0,1.946
0,0,0,0,1,0,0,0,0,1,1,1,1,0,2.631
1,0,1,1,1,1,0,1,0,0,0,1,0,0,2.228
0,1,0,1,0,0,0,0,1,0,0,0,0,1,1.985
0,1,0,1,0,0,0,0,0,0,1,1,0,1,2.225
1,1,0,1,1,1,0,1,0,0,0,0,0,0,1.957
0,1,1,0,0,0,1,0,0,1,1,1,0,0,2.638
0,1,1,0,0,0,0,1,0,1,1,0,0,1,2.393
1,1,1,0,1,1,0,0,1,0,1,1,1,1,2.401
0,0,0,0,1,0,1,0,1,0,1,0,1,0,1.944
0,0,0,1,1,1,0,0,0,0,0,1,1,1,2.208
1,0,0,0,1,0,1,1,0,0,1,0,1,0,1.975
1,0,0,1,0,1,0,1,1,0,0,0,1,0,1.95
0,1,1,0,0,0,1,1,1,1,1,1,0,0,2.7
1,0,1,1,0,0,0,0,1,1,1,0,1,0,2.341
0,0,0,1,1,0,0,1,0,1,1,0,1,1,2.354
1,1,1,1,1,0,0,1,1,1,0,0,1,0,2.529
1,0,1,0,0,1,1,1,1,0,1,1,0,1,2.237
0,1,0,1,1,1,0,0,1,1,0,0,1,0,2.402
0,1,1,1,1,1,1,0,1,1,1,0,1,0,2.393
0,1,0,1,0,0,1,1,1,1,1,0,0,0,2.439
1,0,1,1,1,0,1,0,1,1,0,1,1,0,2.655
1,0,0,1,1,1,1,0,0,0,1,1,1,0,2.219
1,0,0,1,0,0,1,1,0,0,0,0,0,1,1.955
1,1,1,0,0,1,0,0,1,0,1,0,1,1,1.963
0,0,1,1,0,1,0,1,1,1,0,0,0,0,2.394
1,0,0,0,1,1,0,1,0,1,1,1,1,0,2.669
1,1,1,0,0,0,0,1,0,0,0,0,0,1,1.966
0,0,1,0,1,1,1,0,0,0,1,0,0,0,1.957
1,1,1,0,0,0,0,0,0,1,1,0,0,0,2.348
0,0,0,0,0,1,1,1,1,0,0,1,1,0,2.187
0,0,1,1,1,0,1,1,0,0,1,0,0,0,1.976
0,1,0,0,0,1,1,1,1,1,0,1,1,0,2.676
0,0,0,1,0,0,0,0,0,1,1,0,0,1,2.383
1,0,0,0,1,1,0,1,0,1,1,1,0,0,2.646
0,0,1,1,0,0,1,1,0,1,1,1,1,0,2.624
0,1,1,1,1,0,1,0,0,0,1,0,1,0,1.943
0,0,0,1,0,0,0,0,0,1,0,1,1,0,2.656
0,1,0,1,0,0,1,0,0,1,1,0,1,1,2.355
0,0,1,1,1,0,1,0,1,1,1,0,1,0,2.353
0,0,0,1,1,0,1,0,1,1,0,0,1,0,2.427
0,0,1,0,0,0,0,0,1,0,1,0,1,1,1.932
0,0,1,0,1,0,1,0,0,0,0,0,0,1,1.961
0,1,1,1,1,1,1,0,1,1,0,1,1,1,2.62
1,1,0,1,0,0,0,1,0,1,0,1,0,0,2.691
1,0,1,1,0,0,0,1,1,1,1,0,0,0,2.441
1,1,0,0,1,1,1,0,0,0,0,1,1,0,2.208
1,0,0,1,1,1,1,0,1,1,1,1,0,1,2.695
0,0,0,0,0,1,0,1,0,0,0,0,0,1,1.972
1,1,1,1,1,1,1,1,1,1,1,0,0,1,2.379
0,0,1,1,0,0,1,1,0,0,1,1,0,0,2.219
1,1,1,0,1,0,1,1,1,1,0,1,0,0,2.667
0,0,0,1,1,0,0,0,0,1,1,0,1,0,2.36
1,1,0,0,1,0,0,0,1,0,0,1,1,0,2.253
0,1,0,1,1,0,0,0,0,0,0,1,1,0,2.186
